locale=to
ab:lea fakaʻapakasi
af:lea fakaʻafilikana
am:lea ʻameliki
ar:lea fakaʻalepea
art:lea faʻu
as:lea ʻasamisi
ay:lea ʻaimala
az:lea fakaʻasapaisani
be:lea fakapelelusi
bg:lea fakapokalia
bn:lea fakapengila
bo:lea fakataipeti
bs:lea fakaposinia
ca:lea fakaketalani
cs:lea fakaseki
cy:lea fakauēlesi
da:lea fakatenimaʻake
de:lea fakasiamane
dv:lea tivehi
dz:lea fakaputeni
efi:lea ʻefiki
el:lea fakakalisi
en:lea fakapālangi
eo:lea fakaʻesipulanito
es:lea fakasīpenisi
et:lea fakaʻesitōnia
eu:lea pasiki
fa:lea fakapēsia
fi:lea fakafinilani
fil:lea fakafilipaini
fj:lea fakafisi
fr:lea fakafalanisē
ga:lea fakaʻaelani
gil:lea fakakilipasi
gl:lea kalisieni
gn:lea kualani
grc:lea fakakalisimuʻa
gsw:lea fakasiamani suitisālani
gu:lea kutalati
ha:lea hausa
haw:lea fakahauaiʻi
he:lea fakahepelū
hi:lea fakahinitī
hr:lea fakakuloisia
ht:lea fakahaiti
hu:lea fakahangakalia
hy:lea fakaʻaminiume
id:lea fakaʻinitōnesia
ig:lea ʻikipō
is:lea fakaʻaisilani
it:lea fakaʻītali
ja:lea fakasiapani
jv:lea fakasava
ka:lea fakasōsia
kk:lea fakakasakiteni
km:lea fakakemipōtia
kn:lea kanata
ko:lea fakakōlea
ks:lea fakakesimia
ku:lea kētisi
ky:lea fakakekisiteni
la:lea fakalatina
lah:lea lanita
lb:lea fakalakisimipeki
ln:lea lingikala
lo:lea fakalau
lt:lea fakalifiuenia
lv:lea fakalativia
mg:lea fakamatakasika
mh:lea fakamāsolo
mi:lea fakamauli
mis:lea kehekehe
mk:lea fakamasitōnia
ml:lea fakaʻinitia malāialemi
mn:lea fakamongokōlia
mr:lea malati
ms:lea fakamalei
mt:lea fakamolota
mul:lea tuifio
my:lea fakapema
na:lea fakanaulu
nb:lea fakanouei pokimali
nd:lea netepele fakatokelau
ne:lea fakanepali
niu:lea fakaniuē
nl:lea fakahōlani
nn:lea fakanouei nosiki
no:lea fakanouē
nso:lea sofo fakatokelau
ny:lea sua
or:lea fakaʻinitia ʻolāea
os:lea ʻosetiki
pa:lea punusapi
pl:lea fakapōlani
ps:lea pasito
pt:lea fakapotukali
qu:lea kuetisa
rap:lea fakalapanui
rar:lea fakalalotonga
rm:lea laito-lomēnia
rn:lea luaniti
ro:lea fakalōmenia
ru:lea fakalūsia
rw:lea fakaluanita
sa:lea sanisukuliti
sco:lea fakasikotilani
sd:lea siniti
se:lea sami fakatokelau
sg:lea sango
sgn:lea fakaʻilonga
sh:lea sēpia-kuloisia
si:lea fakaselengika
sk:lea fakasolāvaki
sl:lea fakasolovenia
sm:lea fakahaʻamoa
sn:lea sona
so:lea fakasomali
