、	,
。	.
「	"
」	"
『	"
』	"
ァ	a
ア	a
ィ	i
イ	i
イェ	ye
ゥ	u
ウ	u
ェ	e
エ	e
ォ	o
オ	o
カ	ka
ガ	ga
キ	ki
キェ	kye
キャ	kya
キュ	kyu
キョ	kyo
ギ	gi
ギェ	gye
ギャ	gya
ギュ	gyu
ギョ	gyo
ク	ku
クィ	kwi
クェ	kwe
クォ	kwo
クヮ	kwa
グ	gu
グィ	gwi
グェ	gwe
グォgwo
グヮ	gwa
ケ	ke
ゲ	ge
コ	ko
ゴ	go
サ	sa
ザ	za
シ	shi
シェ	she
シャ	sha
シュ	shu
ショ	sho
ジ	ji
ジェ	je
ジャ	ja
ジュ	ju
ジョ	jo
ス	su
ズ	zu
セ	se
ゼ	ze
ソ	so
ゾ	zo
タ	ta
ダ	da
チ	chi
チェ	che
チャ	cha
チュ	chu
チョ	cho
ヂ	ji
ヂェ	je
ヂャ	ja
ヂュ	ju
ヂョ	jo
ッ	
ッイェ	yye
ッカ	kka
ッガ	gga
ッキ	kki
ッキェ	kkye
ッキャ	kkya
ッキュ	kkyu
ッキョ	kkyo
ッギ	ggi
ッギェ	ggye
ッギャ	ggya
ッギュ	ggyu
ッギョ	ggyo
ック	kku
ックィ	kkwi
ックェ	kkwe
ックォ	kkwo
ックヮ	kkwa
ッグ	ggu
ッグィ	ggwi
ッグェ	ggwe
ッグォ	ggwo
ッグヮ	ggwa
ッケ	kke
ッゲ	gge
ッコ	kko
ッゴ	ggo
ッサ	ssa
ッザ	za
ッシ	sshi
ッシェ	sshe
ッシャ	ssha
ッシュ	sshu
ッショ	ssho
ッジ	zzi
ッジェ	jje
ッジャ	jja
ッジュ	jju
ッジョ	jjo
ッス	ssu
ッズ	zzu
ッセ	sse
ッゼ	zze
ッソ	sso
ッゾ	zzo
ッタ	tta
ッダ	dda
ッチ	tchi
ッチェ	tche
ッチャ	tcha
ッチュ	tchu
ッチョ	tcho
ッヂ	jji
ッヂェ	jje
ッヂャ	jja
ッヂュ	jju
ッヂョ	jjo
ッツ	tz
ッツァ	ttsa
ッツィ	ttsi
ッツェ	ttse
ッツォ	ttso
ッヅ	zzu
ッテ	tte
ッティ	tti
ッデ	dde
ッディ	ddi
ット	tto
ットゥ	ttu
ッド	ddo
ッドゥ	ddu
ッナ	nna
ッニ	nni
ッニェ	nnye
ッニャ	nnya
ッニュ	nnyu
ッニョ	nnyo
ッヌ	nnu
ッネ	nne
ッノ	nno
ッハ	hha
ッバ	bba
ッパ	ppa
ッヒ	hhi
ッヒェ	hhye
ッヒャ	hhya
ッヒュ	hhyu
ッヒョ	hhyo
ッビ	bbi
ッビェ	bbye
ッビャ	bbya
ッビュ	bbyu
ッビョ	bbyo
ッピ	ppi
ッピェ	ppye
ッピャ	ppya
ッピュ	ppyu
ッピョ	ppyo
ッフ	ffu
ッファ	ffa
ッフィ	ffi
ッフェ	ffe
ッフォ	ffo
ッブ	bbu
ップ	ppu
ッヘ	hhe
ッベ	bbe
ッペ	ppe
ッホ	hho
ッボ	bbo
ッポ	ppo
ッマ	mma
ッミ	mmi
ッミェ	mmye
ッミャ	mmya
ッミュ	mmyu
ッミョ	mmyo
ッム	mmu
ッメ	mme
ッモ	mmo
ッヤ	yya
ッユ	yyu
ッヨ	yyo
ッラ	rra
ッリ	rri
ッリェ	rrye
ッリャ	rrya
ッリュ	rryu
ッリョ	rryo
ッル	rru
ッレ	rre
ッロ	rro
ッワ	wwa
ッヴ	vvu
ッヴァ	vva
ッヴィ	vvi
ッヴェ	vve
ッヴォ	vvo
ツ	tsu
ツァ	tsa
ツィ	tsi
ツェ	tse
ツォ	tso
ヅ	zu
テ	te
ティ	ti
デ	de
ディ	di
ト	to
トゥ	tu
ド	do
ドゥ	du
ナ	na
ニ	ni
ニェ	nye
ニャ	nya
ニュ	nyu
ニョ	nyo
ヌ	nu
ネ	ne
ノ	no
ハ	ha
バ	ba
パ	pa
ヒ	hi
ヒェ	hye
ヒャ	hya
ヒュ	hyu
ヒョ	hyo
ビ	bi
ビェ	bye
ビャ	bya
ビュ	byu
ビョ	byo
ピ	pi
ピェ	pye
ピャ	pya
ピュ	pyu
ピョ	pyo
フ	fu
ファ	fa
フィ	fi
フェ	fe
フォ	fo
ブ	bu
プ	pu
ヘ	he
ベ	be
ペ	pe
ホ	ho
ボ	bo
ポ	po
マ	ma
ミ	mi
ミェ	mye
ミャ	mya
ミュ	myu
ミョ	myo
ム	mu
メ	me
モ	mo
ャ	
ヤ	ya
ュ	
ユ	yu
ョ	
ヨ	yo
ラ	ra
リ	ri
リェ	rye
リャ	rya
リュ	ryu
リョ	ryo
ル	ru
レ	re
ロ	ro
ワ	wa
ヰ	i
ヱ	e
ヲ	o
ン	n
ヴ	vu
ヴァ	va
ヴィ	vi
ヴェ	ve
ヴォ	vo
・	-
ー	
