
、	,
。	.
「	“
」	”
『	“
』	”
ァ	a
ア	a
アー	â
ィ	i
イ	i
イー	î
ゥ	u
ウ	u
ウー	û
ェ	e
エ	e
エー	ê
ォ	o
オ	o
オー	ô
カ	ka
カー	kâ
ガ	ga
ガー	gâ
キ	ki
キェ	kye
キェー	kyê
キャ	kya
キャー	kyâ
キュ	kyu
キュー	kyû
キョ	kyo
キョー	kyô
キー	kî
ギ	gi
ギェ	gye
ギェー	gyê
ギャ	gya
ギャー	gyâ
ギュ	gyu
ギュー	gyû
ギョ	gyo
ギョー	gyô
ギー	gî
ク	ku
クィ	kwi
クィー	kwî
クェ	kwe
クェー	kwê
クョ	kwo
クョー	kwô
クヮ	kwa
クヮー	kwâ
クー	kû
グ	gu
グィ	gwi
グィー	gwî
グェ	gwe
グェー	gwê
グョ	gwo
グョー	gwô
グヮ	gwa
グヮー	gwâ
グー	gû
ケ	ke
ケー	kê
ゲ	ge
ゲー	gê
コ	ko
コー	kô
ゴ	go
ゴー	gô
サ	sa
サー	sâ
ザ	za
ザー	zâ
シ	si
シェ	sye
シェー	syê
シャ	sya
シャー	syâ
シュ	syu
シュー	syû
ショ	syo
ショー	syô
シー	sî
ジ	zi
ジェ	zye
ジェー	zyê
ジャ	zya
ジャー	zyâ
ジュ	zyu
ジュー	zyû
ジョ	zyo
ジョー	zyô
ジー	zî
ス	su
スー	sû
ズ	zu
ズー	zû
セ	se
セー	sê
ゼ	ze
ゼー	zê
ソ	so
ソー	sô
ゾ	zo
ゾー	zô
タ	ta
ター	tâ
ダ	da
ダー	dâ
チ	ti
チェ	tye
チェー	tyê
チャ	tya
チャー	tyâ
チュ	tyu
チュー	tyû
チョ	tyo
チョー	tyô
チー	tî
ヂ	di
ヂェ	dye
ヂェー	dyê
ヂャ	dya
ヂャー	dyâ
ヂュ	dyu
ヂュー	dyû
ヂョ	dyo
ヂョー	dyô
ヂー	dî
ッ	
ッカ	kka
ッカー	kkâ
ッガ	gga
ッガー	ggâ
ッキ	kki
ッキェ	kkye
ッキェー	kkyê
ッキャ	kkya
ッキャー	kkyâ
ッキュ	kkyu
ッキュー	kkyû
ッキョ	kkyo
ッキョー	kkyô
ッキー	kkî
ッギ	ggi
ッギェ	ggye
ッギェー	ggyê
ッギャ	ggya
ッギャー	ggyâ
ッギュ	ggyu
ッギュー	ggyû
ッギョ	ggyo
ッギョー	ggyô
ッギー	ggî
ック	kku
ックィ	kkwi
ックィー	kkwî
ックェ	kkwe
ックェー	kkwê
ックョ	kkwo
ックョー	kkwô
ックヮ	kkwa
ックヮー	kkwâ
ックー	kkû
ッグ	ggu
ッグィ	ggwi
ッグィー	ggwî
ッグェ	ggwe
ッグェー	ggwê
ッグョ	ggwo
ッグョー	ggwô
ッグヮ	ggwa
ッグヮー	ggwâ
ッグー	ggû
ッケ	kke
ッケー	kkê
ッゲ	gge
ッゲー	ggê
ッコ	kko
ッコー	kkô
ッゴ	ggo
ッゴー	ggô
ッサ	ssa
ッサー	ssâ
ッザ	zza
ッザー	zzâ
ッシ	ssi
ッシェ	ssye
ッシェー	ssyê
ッシャ	ssya
ッシャー	ssyâ
ッシュ	ssyu
ッシュー	ssyû
