=Africa/Algiers
8000000000000000 732 0 LMT
fffffdbd06609300 561 0 PMT
fffffe4fe039b498 0 0 WET
fffffe768f306980 3600 1 WEST
fffffe78c0859580 0 0 WET
fffffe7c40981d80 3600 1 WEST
fffffe80371ce980 0 0 WET
fffffe834b09e580 3600 1 WEST
fffffe8789a7b980 0 0 WET
fffffe8a79883180 3600 1 WEST
fffffe8edc328980 0 0 WET
fffffe9183f9f980 3600 1 WEST
fffffe9695bc8980 0 0 WET
fffffe9971039180 3600 1 WEST
fffffe9b6ed92580 0 0 WET
ffffff2154312580 3600 1 WEST
ffffff22b2988400 0 0 WET
ffffff24abb59900 3600 0 CET
ffffff42d31b5e80 7200 1 CEST
ffffff469b100000 3600 0 CET
ffffff4a25a62e80 7200 1 CEST
ffffff4d813e5580 3600 0 CET
ffffff5545150d80 0 0 WET
ffffff99afe83800 3600 0 CET
ffffffcea2132980 0 0 WET
00000009a7b59180 3600 1 WEST
0000000cc0c8e980 0 0 WET
00000035f3dfd800 3600 1 WEST
00000039550c3800 3600 0 CET
0000003c6e1f9000 7200 1 CEST
00000040179be680 3600 0 CET
000000481df76d80 0 0 WET
0000004bc773c400 3600 1 WEST
0000004f94fc9e80 0 0 WET
000000533e0b1800 3600 0 CET
