=Africa/Cairo
8000000000000000 7500 0 LMT
fffffe032b778720 7200 0 EET
ffffff2780fa8b00 10800 1 EEST
ffffff291273a480 7200 0 EET
ffffff2d04090300 10800 1 EEST
ffffff301ce56c80 7200 0 EET
ffffff3413a12700 10800 1 EEST
ffffff3847bb5480 7200 0 EET
ffffff3b6b525300 10800 1 EEST
ffffff3fb92c4c80 7200 0 EET
ffffff42c829db00 10800 1 EEST
ffffff471603d480 7200 0 EET
ffffff4a6d1a6b00 10800 1 EEST
ffffff4e6db50080 7200 0 EET
ffffffa314742f00 10800 1 EEST
ffffffa5f9d10080 7200 0 EET
ffffffaa3dcc1f00 10800 1 EEST
ffffffad51822c80 7200 0 EET
ffffffb195b43980 10800 1 EEST
ffffffb4a4b1c800 7200 0 EET
ffffffb8f28bc180 10800 1 EEST
ffffffbc01895000 7200 0 EET
ffffffc04a3ced80 10800 1 EEST
ffffffc3593a7c00 7200 0 EET
ffffffc7a1ee1980 10800 1 EEST
ffffffcab0eba800 7200 0 EET
ffffffcef99f4580 10800 1 EEST
ffffffd2089cd400 7200 0 EET
ffffffd65676cd80 10800 1 EEST
ffffffd965745c00 7200 0 EET
ffffffddae27f980 10800 1 EEST
ffffffe0bd258800 7200 0 EET
ffffffe505d92580 10800 1 EEST
ffffffe819fd1000 7200 0 EET
ffffffec5d8a5180 10800 1 EEST
ffffffef71ae3c00 7200 0 EET
fffffff3ba61d980 10800 1 EEST
fffffff6ce85c400 7200 0 EET
fffffffb12130580 10800 1 EEST
fffffffe2636f000 7200 0 EET
0000000269c43180 10800 1 EEST
000000057de81c00 7200 0 EET
00000009c1755d80 10800 1 EEST
0000000cd5994800 7200 0 EET
000000111e4ce580 10800 1 EEST
000000143270d000 7200 0 EET
0000001875fe1180 10800 1 EEST
0000001b8a21fc00 7200 0 EET
0000001fcdaf3d80 10800 1 EEST
00000022e1d32800 7200 0 EET
0000002725606980 10800 1 EEST
0000002a39845400 7200 0 EET
0000002e8237f180 10800 1 EEST
00000031965bdc00 7200 0 EET
00000035d9e91d80 10800 1 EEST
00000038ee0d0800 7200 0 EET
0000003d319a4980 10800 1 EEST
0000004045be3400 7200 0 EET
00000044894b7580 10800 1 EEST
000000479d6f6000 7200 0 EET
0000004be622fd80 10800 1 EEST
0000004efa46e800 7200 0 EET
000000533dd42980 10800 1 EEST
0000005651f81400 7200 0 EET
0000005c4b41e180 10800 1 EEST
0000005da9a94000 7200 0 EET
0000006360006180 10800 1 EEST
00000065015a6c00 7200 0 EET
000000694a0e0980 10800 1 EEST
0000006c5e31f400 7200 0 EET
00000070a1bf3580 10800 1 EEST
00000073b5e32000 7200 0 EET
00000077f9706180 10800 1 EEST
0000007b0d944c00 7200 0 EET
0000007f51218d80 10800 1 EEST
0000008265457800 7200 0 EET
00000086adf91580 10800 1 EEST
00000089c21d0000 7200 0 EET
0000008e1f6a0d80 10800 1 EEST
0000009119ce2c00 7200 0 EET
000000955d5b6d80 10800 1 EEST
00000098717f5800 7200 0 EET
0000009cb50c9980 10800 1 EEST
0000009fc9308400 7200 0 EET
000000a411e42180 10800 1 EEST
000000a726080c00 7200 0 EET
000000ab69954d80 10800 1 EEST
000000ae7db93800 7200 0 EET
000000b2c1467980 10800 1 EEST
000000b5d56a6400 7200 0 EET
000000ba094da300 10800 1 EEST
000000bd222a0c80 7200 0 EET
000000c15bd87300 10800 1 EEST
000000c474b4dc80 7200 0 EET
000000c8ae634300 10800 1 EEST
000000cbc73fac80 7200 0 EET
000000d000ee1300 10800 1 EEST
000000d319ca7c80 7200 0 EET
000000d777856700 10800 1 EEST
000000da9061d080 7200 0 EET
000000deca103700 10800 1 EEST
000000e1e2eca080 7200 0 EET
000000e61c9b0700 10800 1 EEST
000000e935777080 7200 0 EET
000000ed6f25d700 10800 1 EEST
000000f088024080 7200 0 EET
000000f4c1b0a700 10800 1 EEST
000000f7da8d1080 7200 0 EET
000000fc3847fb00 10800 1 EEST
000000ff51246480 7200 0 EET
000001038ad2cb00 10800 1 EEST
00000106a3af3480 7200 0 EET
0000010add5d9b00 10800 1 EEST
0000010dd22d8080 7200 0 EET
000001122fe86b00 10800 1 EEST
00000114dc9f4880 7200 0 EET
0000011982733b00 10800 1 EEST
0000011c0b1d9480 7200 0 EET
00000120d4fe0b00 10800 1 EEST
00000123399be080 7200 0 EET
000001284b955f00 10800 1 EEST
0000012a5dcd7480 7200 0 EET
0000012af8832b00 10800 1 EEST
0000012b6471c880 7200 0 EET
