=Africa/Casablanca
8000000000000000 -1820 0 LMT
fffffe6330370960 0 0 WET
ffffff2154681400 3600 1 WEST
ffffff22b2619580 0 0 WET
ffffff24ab47bc00 3600 1 WEST
ffffff4ec5aef980 0 0 WET
ffffff704988a000 3600 1 WEST
ffffff731a4c0180 0 0 WET
ffffffed0a464a00 3600 1 WEST
ffffffef71774d80 0 0 WET
00000020e3fd9400 3600 1 WEST
00000022471d7180 0 0 WET
0000002e826ee000 3600 1 WEST
000000305c010180 0 0 WET
00000035da200c00 3600 1 WEST
00000038de630580 0 0 WET
0000003dd1765c00 3600 1 WEST
0000003f1ad66d80 0 0 WET
000000685d607000 3600 0 CET
000000758f754180 0 0 WET
0000011a416c6400 3600 1 WEST
0000011c1afe8580 0 0 WET
00000121991d9000 3600 1 WEST
000001233a09bd80 0 0 WET
00000128564ff400 3600 1 WEST
0000012a4ec83d80 0 0 WET
0000012f18a8b400 3600 1 WEST
000001317d468980 0 0 WET
00000136fbd37100 3600 1 WEST
00000138a21ce900 0 0 WET
0000013941c20d00 3600 1 WEST
0000013a14e6c900 0 0 WET
0000013e4e5e4100 3600 1 WEST
0000014167719900 0 0 WET
00000145a0e91100 3600 1 WEST
00000148b9fc6900 0 0 WET
0000014cf373e100 3600 1 WEST
000001500c873900 0 0 WET
0000015445feb100 3600 1 WEST
000001575f120900 0 0 WET
0000015bbc960500 3600 1 WEST
0000015eb19cd900 0 0 WET
000001630f20d500 3600 1 WEST
0000016628342d00 0 0 WET
0000016a61aba500 3600 1 WEST
0000016d7abefd00 0 0 WET
00000171b4367500 3600 1 WEST
00000174cd49cd00 0 0 WET
0000017906c14500 3600 1 WEST
0000017c1fd49d00 0 0 WET
00000180594c1500 3600 1 WEST
00000183725f6d00 0 0 WET
00000187cfe36900 3600 1 WEST
0000018ac4ea3d00 0 0 WET
0000018f226e3900 3600 1 WEST
000001923b819100 0 0 WET
0000019674f90900 3600 1 WEST
000001998e0c6100 0 0 WET
0000019dc783d900 3600 1 WEST
000001a0e0973100 0 0 WET
000001a51a0ea900 3600 1 WEST
000001a833220100 0 0 WET
000001ac90a5fd00 3600 1 WEST
000001af85acd100 0 0 WET
000001b3e330cd00 3600 1 WEST
000001b6fc442500 0 0 WET
000001bb35bb9d00 3600 1 WEST
000001be4ecef500 0 0 WET
000001c288466d00 3600 1 WEST
000001c5a159c500 0 0 WET
000001c9dad13d00 3600 1 WEST
000001ccf3e49500 0 0 WET
000001d12d5c0d00 3600 1 WEST
000001d4466f6500 0 0 WET
000001d8a3f36100 3600 1 WEST
000001db98fa3500 0 0 WET
000001dff67e3100 3600 1 WEST
000001e30f918900 0 0 WET
000001e749090100 3600 1 WEST
000001ea621c5900 0 0 WET
000001ee9b93d100 3600 1 WEST
000001f1b4a72900 0 0 WET
000001f5ee1ea100 3600 1 WEST
000001f90731f900 0 0 WET
000001fd40a97100 3600 1 WEST
0000020059bcc900 0 0 WET
00000204b740c500 3600 1 WEST
00000207d0541d00 0 0 WET
0000020c09cb9500 3600 1 WEST
0000020f22deed00 0 0 WET
000002135c566500 3600 1 WEST
000002167569bd00 0 0 WET
0000021aaee13500 3600 1 WEST
0000021dc7f48d00 0 0 WET
00000222016c0500 3600 1 WEST
000002251a7f5d00 0 0 WET
0000022978035900 3600 1 WEST
0000022c6d0a2d00 0 0 WET
00000230ca8e2900 3600 1 WEST
00000233e3a18100 0 0 WET
000002381d18f900 3600 1 WEST
0000023b362c5100 0 0 WET
0000023f6fa3c900 3600 1 WEST
0000024288b72100 0 0 WET
00000246c22e9900 3600 1 WEST
00000249db41f100 0 0 WET
0000024e14b96900 3600 1 WEST
000002512dccc100 0 0 WET
000002558b50bd00 3600 1 WEST
0000025880579100 0 0 WET
0000025cdddb8d00 3600 1 WEST
0000025ff6eee500 0 0 WET
