=Africa/Juba
8000000000000000 7584 0 LMT
fffffee1700efb00 7200 0 CAT
00000002698d4300 10800 1 CAST
00000005c55c5880 7200 0 CAT
00000009bc181300 10800 1 CAST
0000000d1d0d8480 7200 0 CAT
0000001118ef9b00 10800 1 CAST
0000001479e50c80 7200 0 CAT
000000186b7a6b00 10800 1 CAST
0000001bd1963880 7200 0 CAT
0000001fbe053b00 10800 1 CAST
0000002329476480 7200 0 CAT
0000002710900b00 10800 1 CAST
0000002a80f89080 7200 0 CAT
0000002e631adb00 10800 1 CAST
00000031ddd01880 7200 0 CAT
00000035b5a5ab00 10800 1 CAST
0000003935814480 7200 0 CAT
0000003d2c3cff00 10800 1 CAST
000000408d327080 7200 0 CAT
000000447ec7cf00 10800 1 CAST
00000047e4e39c80 7200 0 CAT
0000004bd1529f00 10800 1 CAST
0000004f41bb2480 7200 0 CAT
0000005323dd6f00 10800 1 CAST
00000056996c5080 7200 0 CAT
0000005a76683f00 10800 1 CAST
0000005df11d7c80 7200 0 CAT
00000061c8f30f00 10800 1 CAST
0000006548cea880 7200 0 CAT
000000693f8a6300 10800 1 CAST
0000006ca5a63080 7200 0 CAT
0000007092153300 10800 1 CAST
00000073fd575c80 7200 0 CAT
000000dcb50e0500 10800 0 EAT
