=Africa/Tripoli
8000000000000000 3164 0 LMT
fffffe909c4274a0 3600 0 CET
ffffff7a252ba680 7200 1 CEST
ffffff88bff48e80 7200 1 CEST
ffffff97408fcd80 7200 1 CEST
ffffffaf2bb91980 7200 0 EET
000000582b534700 3600 0 CET
00000059fb068d80 7200 1 CEST
0000005da93b6300 3600 0 CET
0000006152b7b980 7200 1 CEST
0000006500ec8f00 3600 0 CET
00000068af8f4180 7200 1 CEST
0000006c5dc41700 3600 0 CET
0000007021003980 7200 1 CEST
00000073b5754300 3600 0 CET
000000776e64ad80 7200 1 CEST
0000007b17732700 3600 0 CET
0000007eb6a2c580 7200 1 CEST
0000008264d79b00 3600 0 CET
00000086137a4d80 7200 1 CEST
00000089c1af2300 3600 0 CET
0000008d6b2b7980 7200 1 CEST
0000009119604f00 3600 0 CET
000000956cce8180 7200 0 EET
000000c4845edf00 3600 0 CET
000000c84274a580 7200 1 CEST
000000cbf0a97b00 7200 0 EET
