=Africa/Tunis
8000000000000000 2444 0 LMT
fffffd74b9bdf120 561 0 PMT
fffffe4fe039b498 3600 0 CET
ffffff1e54a6ab00 7200 1 CEST
ffffff22b22aa700 3600 0 CET
ffffff24b0003b00 7200 1 CEST
ffffff30841b8b00 3600 0 CET
ffffff339d65d180 7200 1 CEST
ffffff38677d3680 3600 0 CET
ffffff3b5c840a80 7200 1 CEST
ffffff3bbe25f000 3600 0 CET
ffffff3be78fbe80 7200 1 CEST
ffffff3f299f0800 3600 0 CET
ffffff42d31b5e80 7200 1 CEST
ffffff469aa22300 3600 0 CET
ffffff4a25a62e80 7200 1 CEST
ffffff4d81076700 3600 0 CET
00000035d4c2c180 7200 1 CEST
00000038c9c99580 3600 0 CET
0000003d319a4980 7200 1 CEST
0000004045874580 3600 0 CET
000000874d9e3980 7200 1 CEST
00000089a2ffe980 3600 0 CET
0000008d4c455180 7200 1 CEST
00000090f58ab980 3600 0 CET
000000955d5b6d80 7200 1 CEST
000000986c220d80 3600 0 CET
0000010395567180 7200 1 CEST
00000106a4540000 3600 0 CET
0000010a34108a80 7200 1 CEST
0000010e91948680 3600 0 CET
00000111869b5a80 7200 1 CEST
00000115e41f5680 3600 0 CET
00000118fd32ae80 7200 1 CEST
0000011d36aa2680 3600 0 CET
