=Africa/Windhoek
8000000000000000 4104 0 LMT
fffffdc3a99eccc0 5400 0 SWAT
fffffe14e49a2e40 7200 0 SAST
ffffff3789d4d400 10800 1 SAST
ffffff3b32e34d80 7200 0 SAST
0000009489ffc300 7200 0 CAT
000000b230dd7b00 3600 0 WAT
000000b54a959e80 7200 1 WAST
000000b983d62800 3600 0 WAT
000000bc9d206e80 7200 1 WAST
000000c0fa6d7c00 3600 0 WAT
000000c3efab3e80 7200 1 WAST
000000c84cf84c00 3600 0 WAT
000000cb66429280 7200 1 WAST
000000cf9f831c00 3600 0 WAT
000000d2b8cd6280 7200 1 WAST
000000d6f20dec00 3600 0 WAT
000000da0b583280 7200 1 WAST
000000de4498bc00 3600 0 WAT
000000e15de30280 7200 1 WAST
000000e597238c00 3600 0 WAT
000000e8b06dd280 7200 1 WAST
000000ed0dbae000 3600 0 WAT
000000f002f8a280 7200 1 WAST
000000f46045b000 3600 0 WAT
000000f7798ff680 7200 1 WAST
000000fbb2d08000 3600 0 WAT
000000fecc1ac680 7200 1 WAST
00000103055b5000 3600 0 WAT
000001061ea59680 7200 1 WAST
0000010a57e62000 3600 0 WAT
0000010d71306680 7200 1 WAST
00000111aa70f000 3600 0 WAT
00000114c3bb3680 7200 1 WAST
0000011921084400 3600 0 WAT
0000011c3a528a80 7200 1 WAST
0000012073931400 3600 0 WAT
000001238cdd5a80 7200 1 WAST
00000127c61de400 3600 0 WAT
0000012adf682a80 7200 1 WAST
0000012f18a8b400 3600 0 WAT
0000013231f2fa80 7200 1 WAST
000001366b338400 3600 0 WAT
00000139847dca80 7200 1 WAST
0000013de1cad800 3600 0 WAT
00000140d7089a80 7200 1 WAST
000001453455a800 3600 0 WAT
000001484d9fee80 7200 1 WAST
0000014c86e07800 3600 0 WAT
0000014fa02abe80 7200 1 WAST
00000153d96b4800 3600 0 WAT
00000156f2b58e80 7200 1 WAST
0000015b2bf61800 3600 0 WAT
0000015e45405e80 7200 1 WAST
000001627e80e800 3600 0 WAT
0000016597cb2e80 7200 1 WAST
00000169f5183c00 3600 0 WAT
0000016cea55fe80 7200 1 WAST
0000017147a30c00 3600 0 WAT
0000017460ed5280 7200 1 WAST
000001789a2ddc00 3600 0 WAT
0000017bb3782280 7200 1 WAST
0000017fecb8ac00 3600 0 WAT
000001830602f280 7200 1 WAST
000001873f437c00 3600 0 WAT
0000018a588dc280 7200 1 WAST
0000018eb5dad000 3600 0 WAT
00000191ab189280 7200 1 WAST
000001960865a000 3600 0 WAT
0000019921afe680 7200 1 WAST
0000019d5af07000 3600 0 WAT
000001a0743ab680 7200 1 WAST
000001a4ad7b4000 3600 0 WAT
000001a7c6c58680 7200 1 WAST
000001ac00061000 3600 0 WAT
000001af19505680 7200 1 WAST
000001b35290e000 3600 0 WAT
000001b66bdb2680 7200 1 WAST
000001bac9283400 3600 0 WAT
000001bdbe65f680 7200 1 WAST
000001c21bb30400 3600 0 WAT
000001c534fd4a80 7200 1 WAST
000001c96e3dd400 3600 0 WAT
000001cc87881a80 7200 1 WAST
000001d0c0c8a400 3600 0 WAT
000001d3da12ea80 7200 1 WAST
000001d813537400 3600 0 WAT
000001db2c9dba80 7200 1 WAST
000001df65de4400 3600 0 WAT
000001e27f288a80 7200 1 WAST
000001e6dc759800 3600 0 WAT
000001e9f5bfde80 7200 1 WAST
000001ee2f006800 3600 0 WAT
000001f1484aae80 7200 1 WAST
000001f5818b3800 3600 0 WAT
000001f89ad57e80 7200 1 WAST
000001fcd4160800 3600 0 WAT
000001ffed604e80 7200 1 WAST
0000020426a0d800 3600 0 WAT
000002073feb1e80 7200 1 WAST
0000020b9d382c00 3600 0 WAT
0000020e9275ee80 7200 1 WAST
00000212efc2fc00 3600 0 WAT
00000216090d4280 7200 1 WAST
0000021a424dcc00 3600 0 WAT
0000021d5b981280 7200 1 WAST
0000022194d89c00 3600 0 WAT
00000224ae22e280 7200 1 WAST
00000228e7636c00 3600 0 WAT
0000022c00adb280 7200 1 WAST
0000023039ee3c00 3600 0 WAT
0000023353388280 7200 1 WAST
00000237b0859000 3600 0 WAT
0000023aa5c35280 7200 1 WAST
0000023f03106000 3600 0 WAT
000002421c5aa680 7200 1 WAST
00000246559b3000 3600 0 WAT
000002496ee57680 7200 1 WAST
0000024da8260000 3600 0 WAT
00000250c1704680 7200 1 WAST
00000254fab0d000 3600 0 WAT
0000025813fb1680 7200 1 WAST
0000025c71482400 3600 0 WAT
0000025f6685e680 7200 1 WAST
00000263c3d2f400 3600 0 WAT
00000266dd1d3a80 7200 1 WAST
0000026b165dc400 3600 0 WAT
0000026e2fa80a80 7200 1 WAST
0000027268e89400 3600 0 WAT
000002758232da80 7200 1 WAST
00000279bb736400 3600 0 WAT
0000027cd4bdaa80 7200 1 WAST
000002810dfe3400 3600 0 WAT
0000028427487a80 7200 1 WAST
0000028884958800 3600 0 WAT
0000028b79d34a80 7200 1 WAST
0000028fd7205800 3600 0 WAT
00000292f06a9e80 7200 1 WAST
0000029729ab2800 3600 0 WAT
0000029a42f56e80 7200 1 WAST
0000029e7c35f800 3600 0 WAT
000002a195803e80 7200 1 WAST
000002a5cec0c800 3600 0 WAT
000002a8e80b0e80 7200 1 WAST
000002ad214b9800 3600 0 WAT
000002b03a95de80 7200 1 WAST
000002b497e2ec00 3600 0 WAT
000002b7b12d3280 7200 1 WAST
000002bbea6dbc00 3600 0 WAT
000002bf03b80280 7200 1 WAST
000002c33cf88c00 3600 0 WAT
000002c65642d280 7200 1 WAST
000002ca8f835c00 3600 0 WAT
000002cda8cda280 7200 1 WAST
000002d1e20e2c00 3600 0 WAT
000002d4fb587280 7200 1 WAST
000002d958a58000 3600 0 WAT
000002dc4de34280 7200 1 WAST
000002e0ab305000 3600 0 WAT
000002e3c47a9680 7200 1 WAST
000002e7fdbb2000 3600 0 WAT
000002eb17056680 7200 1 WAST
000002ef5045f000 3600 0 WAT
000002f269903680 7200 1 WAST
000002f6a2d0c000 3600 0 WAT
000002f9bc1b0680 7200 1 WAST
000002fdf55b9000 3600 0 WAT
000003010ea5d680 7200 1 WAST
000003056bf2e400 3600 0 WAT
000003086130a680 7200 1 WAST
0000030cbe7db400 3600 0 WAT
0000030fd7c7fa80 7200 1 WAST
0000031411088400 3600 0 WAT
000003172a52ca80 7200 1 WAST
0000031b63935400 3600 0 WAT
0000031e7cdd9a80 7200 1 WAST
00000322b61e2400 3600 0 WAT
