=America/Argentina/Buenos_Aires
8000000000000000 -14028 0 LMT
fffffdd7b3f168e0 -15408 0 CMT
fffffe930c7f5380 -14400 0 ART
fffffee0d1b94a00 -10800 0 ARST
fffffee340a3d780 -14400 0 ART
fffffee7375f9200 -10800 1 ARST
fffffee9fdd63b80 -14400 0 ART
fffffeeeebc33600 -10800 1 ARST
fffffef155876780 -14400 0 ART
fffffef643746200 -10800 1 ARST
fffffef8ad389380 -14400 0 ART
fffffefd9b258e00 -10800 1 ARST
ffffff0004e9bf80 -14400 0 ART
ffffff04f2d6ba00 -10800 1 ARST
ffffff0761c14780 -14400 0 ART
ffffff0c4fae4200 -10800 1 ARST
ffffff0eb9727380 -14400 0 ART
ffffff13a75f6e00 -10800 1 ARST
ffffff1611239f80 -14400 0 ART
ffffff1aff109a00 -10800 1 ARST
ffffff1d68d4cb80 -14400 0 ART
ffffff2256c1c600 -10800 1 ARST
ffffff24c5ac5380 -14400 0 ART
ffffff273a2b1a00 -10800 1 ARST
ffffff2e3f3f9780 -14400 0 ART
ffffff30b3be5e00 -10800 1 ARST
ffffff3de0acd380 -14400 0 ART
ffffff3f6320b600 -10800 1 ARST
ffffff50d8f9b780 -14400 0 ART
ffffff5527418e00 -10800 1 ARST
ffffffd20e67fb80 -14400 0 ART
ffffffd390dbde00 -10800 1 ARST
ffffffd51d2e9b80 -14400 0 ART
ffffffd9b38f7a00 -10800 1 ARST
ffffffdc74dfc780 -14400 0 ART
ffffffe10b40a600 -10800 1 ARST
ffffffe3cc90f380 -14400 0 ART
ffffffe862f1d200 -10800 1 ARST
ffffffebc90d9f80 -14400 0 ART
ffffffef7289f600 -10800 1 ARST
fffffff33fa4f380 -14400 0 ART
fffffff6e9214a00 -10800 1 ARST
fffffffa922fc380 -14400 0 ART
fffffffe3bac1a00 -10800 0 ART
0000001dd5dbbf80 -7200 1 ARST
0000001fce540900 -10800 0 ART
0000008afce5b780 -7200 1 ARST
0000008ce0c49100 -10800 0 ART
00000091628bff80 -7200 1 ARST
00000094334f6100 -10800 0 ART
00000098d9235380 -7200 1 ARST
0000009b85da3100 -10800 0 ART
000000a02bae2380 -7200 1 ARST
000000a2d8650100 -10800 0 ART
000000a77e38f380 -7200 1 ARST
000000aa4efc5500 -10800 0 ART
000000da9bc13100 -10800 0 ART
000000da9bf81f80 -10800 1 ARST
000000ddaaf5ae00 -10800 0 ART
0000011728fdd780 -7200 1 ARST
00000118b5509500 -10800 0 ART
0000011d130b7f80 -7200 1 ARST
0000012007db6500 -10800 0 ART
