=America/Asuncion
8000000000000000 -13840 0 LMT
fffffdb4379c9a80 -13840 0 AMT
fffffee71d973a80 -14400 0 PYT
00000014334c8a00 -10800 0 PYT
0000001f340c2f80 -14400 0 PYT
00000025ec4f2600 -14400 0 PYT
0000002a3a600e00 -10800 1 PYST
0000002d48efbf80 -14400 0 PYT
0000003197379600 -10800 1 PYST
00000034a0a0eb80 -14400 0 PYT
00000038eee8c200 -10800 1 PYST
0000003bf8521780 -14400 0 PYT
000000404699ee00 -10800 1 PYST
00000043efa86780 -14400 0 PYT
000000479e4b1a00 -10800 1 PYST
0000004b4c7fef80 -14400 0 PYT
0000004efb22a200 -10800 1 PYST
00000052a4311b80 -14400 0 PYT
0000005652d3ce00 -10800 1 PYST
00000059fbe24780 -14400 0 PYT
0000005daa84fa00 -10800 1 PYST
0000006153937380 -14400 0 PYT
0000006502362600 -10800 1 PYST
00000068b06afb80 -14400 0 PYT
0000006c5f0dae00 -10800 1 PYST
00000070081c2780 -14400 0 PYT
00000073b6beda00 -10800 1 PYST
000000775fcd5380 -14400 0 PYT
0000007b0e700600 -10800 1 PYST
0000007eb77e7f80 -14400 0 PYT
0000008266213200 -10800 1 PYST
0000008614560780 -14400 0 PYT
00000089c2f8ba00 -10800 1 PYST
0000008d6c073380 -14400 0 PYT
0000009186cf7200 -10800 1 PYST
00000094c3b85f80 -14400 0 PYT
00000098725b1200 -10800 1 PYST
0000009c1b698b80 -14400 0 PYT
0000009fe3cc0a00 -10800 1 PYST
000000a2d89bef80 -14400 0 PYT
000000a73b7d3600 -10800 1 PYST
000000aacacbe380 -14400 0 PYT
000000ae7e94f200 -10800 1 PYST
000000b17db18f80 -14400 0 PYT
000000b5d6461e00 -10800 1 PYST
000000b8d03c5f80 -14400 0 PYT
000000bd2df74a00 -10800 1 PYST
000000c03c86fb80 -14400 0 PYT
000000c4a48e9e00 -10800 1 PYST
000000c77551ff80 -14400 0 PYT
000000cbf7196e00 -10800 1 PYST
000000ceebe95380 -14400 0 PYT
000000d349a43e00 -10800 1 PYST
000000d66280a780 -14400 0 PYT
000000da9c2f0e00 -10800 1 PYST
000000ddb50b7780 -14400 0 PYT
000000e1eeb9de00 -10800 1 PYST
000000e507964780 -14400 0 PYT
000000e965513200 -10800 1 PYST
000000ed0e5fab80 -14400 0 PYT
000000f0039d6e00 -10800 1 PYST
000000f460ea7b80 -14400 0 PYT
000000f77a34c200 -10800 1 PYST
000000fbb3754b80 -14400 0 PYT
000000ffa50aaa00 -10800 1 PYST
0000010299da8f80 -14400 0 PYT
00000106f7957a00 -10800 1 PYST
00000109ec655f80 -14400 0 PYT
0000010e4a204a00 -10800 1 PYST
000001113ef02f80 -14400 0 PYT
00000115c0b79e00 -10800 1 PYST
