=America/Bahia
8000000000000000 -9244 0 LMT
fffffe6489b26560 -10800 0 BRT
fffffee6fbb89300 -7200 1 BRST
fffffeea9d447100 -10800 0 BRT
fffffeee5633db80 -7200 1 BRST
fffffef1f4f59d00 -10800 0 BRT
ffffff6c6d686b80 -7200 1 BRST
ffffff6f29c94b80 -10800 0 BRT
ffffff73c5199780 -7200 1 BRST
ffffff7634042500 -10800 0 BRT
ffffff7b1ccac380 -7200 1 BRST
ffffff7d90dbad00 -10800 0 BRT
ffffff8279a24b80 -7200 1 BRST
ffffff8448e7b500 -10800 0 BRT
ffffffd371bec780 -7200 1 BRST
ffffffd51cf7ad00 -10800 0 BRT
ffffffdbdf875b80 -7200 1 BRST
ffffffdd0f27a100 -10800 0 BRT
ffffffe1fd149b80 -7200 1 BRST
ffffffe3cc5a0500 -10800 0 BRT
ffffffe8ba46ff80 -7200 1 BRST
ffffffeb240b3100 -10800 0 BRT
fffffff011f82b80 -7200 1 BRST
fffffff280e2b900 -10800 0 BRT
000000745b536b80 -7200 1 BRST
00000077080a4900 -10800 0 BRT
0000007b89d1b780 -7200 1 BRST
0000007dca630900 -10800 0 BRT
00000082e182e380 -7200 1 BRST
00000084fe07b100 -10800 0 BRT
0000008a10012f80 -7200 1 BRST
0000008c2c85fd00 -10800 0 BRT
00000091628bff80 -7200 1 BRST
00000093c729d500 -10800 0 BRT
00000098d9235380 -7200 1 BRST
0000009b3dc12900 -10800 0 BRT
000000a02bae2380 -7200 1 BRST
000000a26c3f7500 -10800 0 BRT
000000a7a2457780 -7200 1 BRST
000000a99abdc100 -10800 0 BRT
000000aed0c3c380 -7200 1 BRST
000000b1596e1d00 -10800 0 BRT
000000b6234e9380 -7200 1 BRST
000000b8abf8ed00 -10800 0 BRT
000000bd75d96380 -7200 1 BRST
000000bfda773900 -10800 0 BRT
000000c4a457af80 -7200 1 BRST
000000c7510e8d00 -10800 0 BRT
000000cbfc08db80 -7200 1 BRST
000000ceebb26500 -10800 0 BRT
000000d36d79d380 -7200 1 BRST
000000d61a30b100 -10800 0 BRT
000000da9bf81f80 -7200 1 BRST
000000dd90c80500 -10800 0 BRT
000000e2128f7380 -7200 1 BRST
000000e4bf465100 -10800 0 BRT
000000e98926c780 -7200 1 BRST
000000ec11d12100 -10800 0 BRT
000000f147d72380 -7200 1 BRST
000000f3645bf100 -10800 0 BRT
000000f7d1530100 -10800 0 BRT
000001330aabef80 -7200 0 BRST
00000135b762cd00 -10800 0 BRT
0000013a810c5500 -10800 0 BRT
