=America/Boa_Vista
8000000000000000 -14560 0 LMT
fffffe648a038300 -14400 0 AMT
fffffee6fbef8180 -10800 1 AMST
fffffeea9d7b5f80 -14400 0 AMT
fffffeee566aca00 -10800 1 AMST
fffffef1f52c8b80 -14400 0 AMT
ffffff6c6d9f5a00 -10800 1 AMST
ffffff6f2a003a00 -14400 0 AMT
ffffff73c5508600 -10800 1 AMST
ffffff76343b1380 -14400 0 AMT
ffffff7b1d01b200 -10800 1 AMST
ffffff7d91129b80 -14400 0 AMT
ffffff8279d93a00 -10800 1 AMST
ffffff84491ea380 -14400 0 AMT
ffffffd371f5b600 -10800 1 AMST
ffffffd51d2e9b80 -14400 0 AMT
ffffffdbdfbe4a00 -10800 1 AMST
ffffffdd0f5e8f80 -14400 0 AMT
ffffffe1fd4b8a00 -10800 1 AMST
ffffffe3cc90f380 -14400 0 AMT
ffffffe8ba7dee00 -10800 1 AMST
ffffffeb24421f80 -14400 0 AMT
fffffff0122f1a00 -10800 1 AMST
fffffff28119a780 -14400 0 AMT
000000745b8a5a00 -10800 1 AMST
0000007708413780 -14400 0 AMT
0000007b8a08a600 -10800 1 AMST
0000007dca99f780 -14400 0 AMT
00000082e1b9d200 -10800 1 AMST
00000084fe3e9f80 -14400 0 AMT
0000008960e8f780 -14400 0 AMT
000000da8cbbfa00 -14400 0 AMT
000000da9c2f0e00 -10800 1 AMST
000000dd90fef380 -14400 0 AMT
000000e212c66200 -10800 1 AMST
000000e2369bf780 -14400 0 AMT
