=America/Cambridge_Bay
8000000000000000 0 0 zzz
fffffe909c72bc00 -25200 0 MST
ffffff330f591280 -21600 1 MWT
ffffff4cdc72d580 -21600 1 MPT
ffffff4dcb45c000 -25200 0 MST
ffffffdd90f94580 -18000 1 MDDT
ffffffe15e4b3180 -25200 0 MST
0000004bd3aede80 -21600 1 MDT
0000004f7cbd5800 -25200 0 MST
000000532639ae80 -21600 1 MDT
00000056cf482800 -25200 0 MST
0000005a78c47e80 -21600 1 MDT
0000005e45df7c00 -25200 0 MST
00000061cb4f4e80 -21600 1 MDT
00000065986a4c00 -25200 0 MST
0000006941e6a280 -21600 1 MDT
0000006ceaf51c00 -25200 0 MST
0000007094717280 -21600 1 MDT
000000743d7fec00 -25200 0 MST
00000077e6fc4280 -21600 1 MDT
0000007b900abc00 -25200 0 MST
0000007ecd618680 -21600 1 MDT
00000082e2958c00 -25200 0 MST
000000861fec5680 -21600 1 MDT
0000008a592ce000 -25200 0 MST
0000008d72772680 -21600 1 MDT
00000091abb7b000 -25200 0 MST
00000094c501f680 -21600 1 MDT
00000098fe428000 -25200 0 MST
0000009c3b994a80 -21600 1 MDT
000000a050cd5000 -25200 0 MST
000000a38e241a80 -21600 1 MDT
000000a7a3582000 -25200 0 MST
000000aae0aeea80 -21600 1 MDT
000000af19ef7400 -25200 0 MST
000000b23339ba80 -21600 1 MDT
000000b66c7a4400 -25200 0 MST
000000b985c48a80 -21600 1 MDT
000000bdbf051400 -25200 0 MST
000000c0fc5bde80 -21600 1 MDT
000000c5118fe400 -25200 0 MST
000000c84ee6ae80 -21600 1 MDT
000000cc641ab400 -25200 0 MST
000000cfa1717e80 -21600 1 MDT
000000d3b6a58400 -25200 0 MST
000000d6f3fc4e80 -21600 1 MDT
000000db2d73c680 -21600 0 CST
000000de46503000 -18000 1 CDT
000000e27fc7a800 -18000 0 EST
000000e2a32f6080 -21600 0 CST
000000e59911ee80 -21600 0 MDT
000000e9d2527800 -25200 0 MST
000000ed0fa94280 -21600 1 MDT
000000f124dd4800 -25200 0 MST
000000f462341280 -21600 1 MDT
000000f877681800 -25200 0 MST
000000fbb4bee280 -21600 1 MDT
000000ffedff6c00 -25200 0 MST
000001030749b280 -21600 1 MDT
00000107408a3c00 -25200 0 MST
0000010a59d48280 -21600 1 MDT
0000010e93150c00 -25200 0 MST
000001114039c680 -21600 1 MDT
0000011609ac6000 -25200 0 MST
0000011892c49680 -21600 1 MDT
0000011d5c373000 -25200 0 MST
0000011fe54f6680 -21600 1 MDT
00000124aec20000 -25200 0 MST
000001275be6ba80 -21600 1 MDT
0000012c25595400 -25200 0 MST
0000012eae718a80 -21600 1 MDT
0000013377e42400 -25200 0 MST
0000013600fc5a80 -21600 1 MDT
0000013aca6ef400 -25200 0 MST
0000013d53872a80 -21600 1 MDT
000001421cf9c400 -25200 0 MST
00000144a611fa80 -21600 1 MDT
000001496f849400 -25200 0 MST
0000014bf89cca80 -21600 1 MDT
00000150c20f6400 -25200 0 MST
000001536f341e80 -21600 1 MDT
0000015838a6b800 -25200 0 MST
0000015ac1beee80 -21600 1 MDT
0000015f8b318800 -25200 0 MST
000001621449be80 -21600 1 MDT
00000166ddbc5800 -25200 0 MST
0000016966d48e80 -21600 1 MDT
0000016e30472800 -25200 0 MST
