=America/Cuiaba
8000000000000000 -13460 0 LMT
fffffe6489f2ba20 -14400 0 AMT
fffffee6fbef8180 -10800 1 AMST
fffffeea9d7b5f80 -14400 0 AMT
fffffeee566aca00 -10800 1 AMST
fffffef1f52c8b80 -14400 0 AMT
ffffff6c6d9f5a00 -10800 1 AMST
ffffff6f2a003a00 -14400 0 AMT
ffffff73c5508600 -10800 1 AMST
ffffff76343b1380 -14400 0 AMT
ffffff7b1d01b200 -10800 1 AMST
ffffff7d91129b80 -14400 0 AMT
ffffff8279d93a00 -10800 1 AMST
ffffff84491ea380 -14400 0 AMT
ffffffd371f5b600 -10800 1 AMST
ffffffd51d2e9b80 -14400 0 AMT
ffffffdbdfbe4a00 -10800 1 AMST
ffffffdd0f5e8f80 -14400 0 AMT
ffffffe1fd4b8a00 -10800 1 AMST
ffffffe3cc90f380 -14400 0 AMT
ffffffe8ba7dee00 -10800 1 AMST
ffffffeb24421f80 -14400 0 AMT
fffffff0122f1a00 -10800 1 AMST
fffffff28119a780 -14400 0 AMT
000000745b8a5a00 -10800 1 AMST
0000007708413780 -14400 0 AMT
0000007b8a08a600 -10800 1 AMST
0000007dca99f780 -14400 0 AMT
00000082e1b9d200 -10800 1 AMST
00000084fe3e9f80 -14400 0 AMT
0000008a10381e00 -10800 1 AMST
0000008c2cbceb80 -14400 0 AMT
0000009162c2ee00 -10800 1 AMST
00000093c760c380 -14400 0 AMT
00000098d95a4200 -10800 1 AMST
0000009b3df81780 -14400 0 AMT
000000a02be51200 -10800 1 AMST
000000a26c766380 -14400 0 AMT
000000a7a27c6600 -10800 1 AMST
000000a99af4af80 -14400 0 AMT
000000aed0fab200 -10800 1 AMST
000000b159a50b80 -14400 0 AMT
000000b623858200 -10800 1 AMST
000000b8ac2fdb80 -14400 0 AMT
000000bd76105200 -10800 1 AMST
000000bfdaae2780 -14400 0 AMT
000000c4a48e9e00 -10800 1 AMST
000000c751457b80 -14400 0 AMT
000000cbfc3fca00 -10800 1 AMST
000000ceebe95380 -14400 0 AMT
000000d36db0c200 -10800 1 AMST
000000d61a679f80 -14400 0 AMT
000000da9c2f0e00 -10800 1 AMST
000000dd90fef380 -14400 0 AMT
000000e212c66200 -10800 1 AMST
000000e4bf7d3f80 -14400 0 AMT
000000e9895db600 -10800 1 AMST
000000ec12080f80 -14400 0 AMT
000000f1480e1200 -10800 1 AMST
000000f36492df80 -14400 0 AMT
000000f7d189ef80 -14400 0 AMT
000000ff52a4ea00 -14400 0 AMT
000000fff7706a00 -10800 1 AMST
000001022db50380 -14400 0 AMT
00000106f7957a00 -10800 1 AMST
00000109803fd380 -14400 0 AMT
0000010eb645d600 -10800 1 AMST
00000110f6d72780 -14400 0 AMT
000001159cab1a00 -10800 1 AMST
0000011825557380 -14400 0 AMT
0000011d13426e00 -10800 1 AMST
0000011f77e04380 -14400 0 AMT
0000012465cd3e00 -10800 1 AMST
00000126ee779780 -14400 0 AMT
0000012bb8580e00 -10800 1 AMST
0000012e41026780 -14400 0 AMT
000001330ae2de00 -10800 1 AMST
00000135b799bb80 -14400 0 AMT
0000013a817a3200 -10800 1 AMST
0000013ce6180780 -14400 0 AMT
00000141d4050200 -10800 1 AMST
0000014438a2d780 -14400 0 AMT
00000149268fd200 -10800 1 AMST
0000014baf3a2b80 -14400 0 AMT
00000150791aa200 -10800 1 AMST
0000015301c4fb80 -14400 0 AMT
00000157cba57200 -10800 1 AMST
0000015a544fcb80 -14400 0 AMT
0000015f1e304200 -10800 1 AMST
00000161a6da9b80 -14400 0 AMT
0000016694c79600 -10800 1 AMST
00000168f9656b80 -14400 0 AMT
0000016de7526600 -10800 1 AMST
000001704bf03b80 -14400 0 AMT
0000017539dd3600 -10800 1 AMST
00000177c2878f80 -14400 0 AMT
0000017c8c680600 -10800 1 AMST
0000017f15125f80 -14400 0 AMT
00000183def2d600 -10800 1 AMST
000001868ba9b380 -14400 0 AMT
0000018b317da600 -10800 1 AMST
0000018dba27ff80 -14400 0 AMT
00000192a814fa00 -10800 1 AMST
000001950cb2cf80 -14400 0 AMT
00000199fa9fca00 -10800 1 AMST
0000019c834a2380 -14400 0 AMT
000001a14d2a9a00 -10800 1 AMST
000001a3d5d4f380 -14400 0 AMT
000001a89fb56a00 -10800 1 AMST
000001ab285fc380 -14400 0 AMT
000001aff2403a00 -10800 1 AMST
000001b27aea9380 -14400 0 AMT
000001b768d78e00 -10800 1 AMST
000001b9cd756380 -14400 0 AMT
000001bebb625e00 -10800 1 AMST
000001c120003380 -14400 0 AMT
000001c60ded2e00 -10800 1 AMST
000001c8728b0380 -14400 0 AMT
000001cd6077fe00 -10800 1 AMST
000001cfe9225780 -14400 0 AMT
000001d4b302ce00 -10800 1 AMST
000001d75fb9ab80 -14400 0 AMT
000001dc058d9e00 -10800 1 AMST
000001de8e37f780 -14400 0 AMT
000001e37c24f200 -10800 1 AMST
000001e5e0c2c780 -14400 0 AMT
000001eaceafc200 -10800 1 AMST
000001ed575a1b80 -14400 0 AMT
000001f2213a9200 -10800 1 AMST
000001f4a9e4eb80 -14400 0 AMT
000001f973c56200 -10800 1 AMST
000001fbfc6fbb80 -14400 0 AMT
00000200c6503200 -10800 1 AMST
000002034efa8b80 -14400 0 AMT
000002083ce78600 -10800 1 AMST
0000020aa1855b80 -14400 0 AMT
0000020f8f725600 -10800 1 AMST
00000211f4102b80 -14400 0 AMT
00000216e1fd2600 -10800 1 AMST
00000219469afb80 -14400 0 AMT
0000021e3487f600 -10800 1 AMST
00000220bd324f80 -14400 0 AMT
000002258712c600 -10800 1 AMST
000002280fbd1f80 -14400 0 AMT
0000022cd99d9600 -10800 1 AMST
0000022f6247ef80 -14400 0 AMT
000002345034ea00 -10800 1 AMST
00000236b4d2bf80 -14400 0 AMT
0000023ba2bfba00 -10800 1 AMST
0000023e075d8f80 -14400 0 AMT
00000242f54a8a00 -10800 1 AMST
000002457df4e380 -14400 0 AMT
0000024a47d55a00 -10800 1 AMST
0000024cd07fb380 -14400 0 AMT
000002519a602a00 -10800 1 AMST
00000254230a8380 -14400 0 AMT
00000258eceafa00 -10800 1 AMST
0000025b75955380 -14400 0 AMT
0000026063824e00 -10800 1 AMST
00000262c8202380 -14400 0 AMT
00000267b60d1e00 -10800 1 AMST
0000026a1aaaf380 -14400 0 AMT
0000026f0897ee00 -10800 1 AMST
0000027191424780 -14400 0 AMT
000002765b22be00 -10800 1 AMST
00000278e3cd1780 -14400 0 AMT
0000027dadad8e00 -10800 1 AMST
000002803657e780 -14400 0 AMT
