=America/Danmarkshavn
8000000000000000 -4480 0 LMT
fffffe776d1d2800 -10800 0 WGT
0000004b66ad9880 -7200 0 WGST
0000004eeb0ac280 -10800 0 WGT
0000005294502a80 -7200 1 WGST
000000563d959280 -10800 0 WGT
00000059e6dafa80 -7200 1 WGST
0000005d90206280 -10800 0 WGT
000000613965ca80 -7200 1 WGST
00000064e2ab3280 -10800 0 WGT
000000688bf09a80 -7200 1 WGST
0000006c59428680 -10800 0 WGT
000000700287ee80 -7200 1 WGST
00000073abcd5680 -10800 0 WGT
000000775512be80 -7200 1 WGST
0000007afe582680 -10800 0 WGT
0000007ea79d8e80 -7200 1 WGST
0000008250e2f680 -10800 0 WGT
00000085fa285e80 -7200 1 WGST
00000089a36dc680 -10800 0 WGT
0000008d4cb32e80 -7200 1 WGST
00000090f5f89680 -10800 0 WGT
000000949f3dfe80 -7200 1 WGST
000000986c8fea80 -10800 0 WGT
0000009c15d55280 -7200 1 WGST
0000009fbf1aba80 -10800 0 WGT
000000a368602280 -7200 1 WGST
000000a711a58a80 -10800 0 WGT
000000aabaeaf280 -7200 1 WGST
000000ae64305a80 -10800 0 WGT
000000b20d75c280 -7200 1 WGST
000000b5b6bb2a80 -10800 0 WGT
000000b960009280 -7200 1 WGST
000000bd0945fa80 -10800 0 WGT
000000bf07896b80 0 0 GMT
