=America/Dawson_Creek
8000000000000000 -28856 0 LMT
fffffd88200dfac0 -28800 0 PST
fffffe8401a4b900 -25200 1 PDT
fffffe87f2cc3a80 -28800 0 PST
ffffff330f900100 -25200 1 PWT
ffffff4cdc72d580 -25200 1 PPT
ffffff4dcb7cae80 -28800 0 PST
ffffff5701e65800 -28800 0 PST
ffffff5957b5e500 -25200 1 PDT
ffffff5c70924e80 -28800 0 PST
ffffff60aa40b500 -25200 1 PDT
ffffff63c31d1e80 -28800 0 PST
ffffff67fccb8500 -25200 1 PDT
ffffff6b15a7ee80 -28800 0 PST
ffffff6f7362d900 -25200 1 PDT
ffffff726832be80 -28800 0 PST
ffffff76c5eda900 -25200 1 PDT
ffffff79deca1280 -28800 0 PST
ffffff7e18787900 -25200 1 PDT
ffffff813154e280 -28800 0 PST
ffffff856b034900 -25200 1 PDT
ffffff8883dfb280 -28800 0 PST
ffffff8cbd8e1900 -25200 1 PDT
ffffff8fd66a8280 -28800 0 PST
ffffff941018e900 -25200 1 PDT
ffffff9728f55280 -28800 0 PST
ffffff9b86b03d00 -25200 1 PDT
ffffff9e9f8ca680 -28800 0 PST
ffffffa2d93b0d00 -25200 1 PDT
ffffffa5f2177680 -28800 0 PST
ffffffaa2bc5dd00 -25200 1 PDT
ffffffad44a24680 -28800 0 PST
ffffffb17e50ad00 -25200 1 PDT
ffffffb4972d1680 -28800 0 PST
ffffffb8d0db7d00 -25200 1 PDT
ffffffbbe9b7e680 -28800 0 PST
ffffffc04772d100 -25200 1 PDT
ffffffc33c42b680 -28800 0 PST
ffffffc799fda100 -25200 1 PDT
ffffffcb430c1a80 -28800 0 PST
ffffffceec887100 -25200 1 PDT
ffffffd29596ea80 -28800 0 PST
ffffffd63f134100 -25200 1 PDT
ffffffd9e821ba80 -28800 0 PST
ffffffdd919e1100 -25200 1 PDT
ffffffe15eb90e80 -28800 0 PST
ffffffe4e428e100 -25200 1 PDT
ffffffe8b143de80 -28800 0 PST
ffffffec5ac03500 -25200 1 PDT
fffffff003ceae80 -28800 0 PST
fffffff3ad4b0500 -25200 1 PDT
fffffff756597e80 -28800 0 PST
fffffffaffd5d500 -25200 1 PDT
fffffffea8e44e80 -28800 0 PST
000000025260a500 -25200 1 PDT
00000005fb6f1e80 -28800 0 PST
00000009a4eb7500 -25200 1 PDT
0000000d72067280 -28800 0 PST
000000111b82c900 -25200 1 PDT
000000138fcaa100 -25200 0 MST
