=America/Glace_Bay
8000000000000000 -14388 0 LMT
fffffe0faff90b20 -14400 0 AST
fffffe8400c8ff00 -10800 1 ADT
fffffe87f1f08080 -14400 0 AST
ffffff330eb44700 -10800 1 AWT
ffffff4cdc72d580 -10800 1 APT
ffffff4dcaa0f480 -14400 0 AST
ffffff83197e5e00 -14400 0 AST
ffffff856a278f00 -10800 1 ADT
ffffff888303f880 -14400 0 AST
ffffff8a712f8a00 -14400 0 AST
0000000eb03e1200 -14400 0 AST
000000111aa70f00 -10800 1 ADT
00000014c3b58880 -14400 0 AST
000000186d31df00 -10800 1 ADT
0000001c16405880 -14400 0 AST
0000001d64c6c600 -14400 0 AST
0000001fbfbcaf00 -10800 1 ADT
0000002368cb2880 -14400 0 AST
0000002712477f00 -10800 1 ADT
0000002abb55f880 -14400 0 AST
0000002e64d24f00 -10800 1 ADT
0000003231ed4c80 -14400 0 AST
00000035b75d1f00 -10800 1 ADT
0000003984781c80 -14400 0 AST
0000003d2df47300 -10800 1 ADT
00000040d702ec80 -14400 0 AST
00000044807f4300 -10800 1 ADT
00000048298dbc80 -14400 0 AST
0000004bd30a1300 -10800 1 ADT
0000004f7c188c80 -14400 0 AST
000000532594e300 -10800 1 ADT
00000056cea35c80 -14400 0 AST
0000005a781fb300 -10800 1 ADT
0000005e453ab080 -14400 0 AST
00000061caaa8300 -10800 1 ADT
0000006597c58080 -14400 0 AST
000000694141d700 -10800 1 ADT
0000006cea505080 -14400 0 AST
0000007093cca700 -10800 1 ADT
000000743cdb2080 -14400 0 AST
00000077e6577700 -10800 1 ADT
0000007b8f65f080 -14400 0 AST
0000007eccbcbb00 -10800 1 ADT
00000082e1f0c080 -14400 0 AST
000000861f478b00 -10800 1 ADT
0000008a58881480 -14400 0 AST
0000008d71d25b00 -10800 1 ADT
00000091ab12e480 -14400 0 AST
00000094c45d2b00 -10800 1 ADT
00000098fd9db480 -14400 0 AST
0000009c3af47f00 -10800 1 ADT
000000a050288480 -14400 0 AST
000000a38d7f4f00 -10800 1 ADT
000000a7a2b35480 -14400 0 AST
000000aae00a1f00 -10800 1 ADT
000000af194aa880 -14400 0 AST
000000b23294ef00 -10800 1 ADT
000000b66bd57880 -14400 0 AST
000000b9851fbf00 -10800 1 ADT
000000bdbe604880 -14400 0 AST
000000c0fbb71300 -10800 1 ADT
000000c510eb1880 -14400 0 AST
000000c84e41e300 -10800 1 ADT
000000cc6375e880 -14400 0 AST
000000cfa0ccb300 -10800 1 ADT
000000d3b600b880 -14400 0 AST
000000d6f3578300 -10800 1 ADT
000000db2c980c80 -14400 0 AST
000000de45e25300 -10800 1 ADT
000000e27f22dc80 -14400 0 AST
000000e5986d2300 -10800 1 ADT
000000e9d1adac80 -14400 0 AST
000000ed0f047700 -10800 1 ADT
000000f124387c80 -14400 0 AST
000000f4618f4700 -10800 1 ADT
000000f876c34c80 -14400 0 AST
000000fbb41a1700 -10800 1 ADT
000000ffed5aa080 -14400 0 AST
0000010306a4e700 -10800 1 ADT
000001073fe57080 -14400 0 AST
0000010a592fb700 -10800 1 ADT
0000010e92704080 -14400 0 AST
000001113f94fb00 -10800 1 ADT
0000011609079480 -14400 0 AST
00000118921fcb00 -10800 1 ADT
0000011d5b926480 -14400 0 AST
0000011fe4aa9b00 -10800 1 ADT
00000124ae1d3480 -14400 0 AST
000001275b41ef00 -10800 1 ADT
0000012c24b48880 -14400 0 AST
0000012eadccbf00 -10800 1 ADT
00000133773f5880 -14400 0 AST
0000013600578f00 -10800 1 ADT
0000013ac9ca2880 -14400 0 AST
0000013d52e25f00 -10800 1 ADT
000001421c54f880 -14400 0 AST
00000144a56d2f00 -10800 1 ADT
000001496edfc880 -14400 0 AST
0000014bf7f7ff00 -10800 1 ADT
00000150c16a9880 -14400 0 AST
000001536e8f5300 -10800 1 ADT
000001583801ec80 -14400 0 AST
0000015ac11a2300 -10800 1 ADT
0000015f8a8cbc80 -14400 0 AST
0000016213a4f300 -10800 1 ADT
00000166dd178c80 -14400 0 AST
00000169662fc300 -10800 1 ADT
0000016e2fa25c80 -14400 0 AST
00000170b8ba9300 -10800 1 ADT
00000175822d2c80 -14400 0 AST
000001782f51e700 -10800 1 ADT
0000017cf8c48080 -14400 0 AST
0000017f81dcb700 -10800 1 ADT
000001844b4f5080 -14400 0 AST
00000186d4678700 -10800 1 ADT
0000018b9dda2080 -14400 0 AST
0000018e26f25700 -10800 1 ADT
00000192f064f080 -14400 0 AST
00000195797d2700 -10800 1 ADT
0000019a42efc080 -14400 0 AST
0000019ccc07f700 -10800 1 ADT
000001a1957a9080 -14400 0 AST
000001a4429f4b00 -10800 1 ADT
000001a90c11e480 -14400 0 AST
000001ab952a1b00 -10800 1 ADT
000001b05e9cb480 -14400 0 AST
000001b2e7b4eb00 -10800 1 ADT
000001b7b1278480 -14400 0 AST
000001ba3a3fbb00 -10800 1 ADT
000001bf03b25480 -14400 0 AST
000001c18cca8b00 -10800 1 ADT
000001c6563d2480 -14400 0 AST
000001c90361df00 -10800 1 ADT
000001cdccd47880 -14400 0 AST
000001d055ecaf00 -10800 1 ADT
000001d51f5f4880 -14400 0 AST
000001d7a8777f00 -10800 1 ADT
000001dc71ea1880 -14400 0 AST
000001defb024f00 -10800 1 ADT
000001e3c474e880 -14400 0 AST
000001e64d8d1f00 -10800 1 ADT
000001eb16ffb880 -14400 0 AST
000001eda017ef00 -10800 1 ADT
000001f2698a8880 -14400 0 AST
000001f516af4300 -10800 1 ADT
000001f9e021dc80 -14400 0 AST
000001fc693a1300 -10800 1 ADT
