=America/Goose_Bay
8000000000000000 -14500 0 LMT
fffffd881f32eca0 -12652 0 NST
fffffe81edd171e0 -12652 0 NST
fffffe8400ae52e0 -9052 1 NDT
fffffe87f1d5d460 -12652 0 NST
fffffe8945829de0 -12652 0 NST
ffffff009a5e6de0 -12600 0 NST
ffffff062cdf2ec0 -12600 0 NST
ffffff08cf8042c0 -9000 1 NDT
ffffff0bc4502840 -12600 0 NST
ffffff10220b12c0 -9000 1 NDT
ffffff1316daf840 -12600 0 NST
ffffff177495e2c0 -9000 1 NDT
ffffff1a6965c840 -12600 0 NST
ffffff1eeb2d36c0 -9000 1 NDT
ffffff21bbf09840 -12600 0 NST
ffffff263db806c0 -9000 1 NDT
ffffff293287ec40 -12600 0 NST
ffffff2d9042d6c0 -9000 1 NDT
ffffff308512bc40 -12600 0 NST
ffffff34e2cda6c0 -9000 0 NWT
ffffff4cdc72d580 -9000 1 NPT
ffffff4dca857d40 -12600 0 NST
ffffff4fa93dfac0 -12600 0 NST
ffffff524c4cebc0 -9000 1 NDT
ffffff55411cd140 -12600 0 NST
ffffff599ed7bbc0 -9000 1 NDT
ffffff5c93a7a140 -12600 0 NST
ffffff60f1628bc0 -9000 1 NDT
ffffff63e6327140 -12600 0 NST
ffffff6843ed5bc0 -9000 1 NDT
ffffff6b38bd4140 -12600 0 NST
ffffff6fba84afc0 -9000 1 NDT
ffffff72af549540 -12600 0 NST
ffffff76c4f677c0 -9000 1 NDT
ffffff79ddd2e140 -12600 0 NST
ffffff7e178147c0 -9000 1 NDT
ffffff81305db140 -12600 0 NST
ffffff856a0c17c0 -9000 1 NDT
ffffff8882e88140 -12600 0 NST
ffffff8cbc96e7c0 -9000 1 NDT
ffffff8fd5735140 -12600 0 NST
ffffff940f21b7c0 -9000 1 NDT
ffffff9727fe2140 -12600 0 NST
ffffff9b85b90bc0 -9000 1 NDT
ffffff9e9e957540 -12600 0 NST
ffffffa2d843dbc0 -9000 1 NDT
ffffffa5f1204540 -12600 0 NST
ffffffaa2aceabc0 -9000 1 NDT
ffffffad43ab1540 -12600 0 NST
ffffffb17d597bc0 -9000 1 NDT
ffffffb49635e540 -12600 0 NST
ffffffb8cfe44bc0 -9000 1 NDT
ffffffbc9cff4940 -12600 0 NST
ffffffc0467b9fc0 -9000 1 NDT
ffffffc3ef8a1940 -12600 0 NST
ffffffc799066fc0 -9000 1 NDT
ffffffcb4214e940 -12600 0 NST
ffffffceeb913fc0 -9000 1 NDT
ffffffd2949fb940 -12600 0 NST
ffffffd63e1c0fc0 -9000 1 NDT
ffffffd9e72a8940 -12600 0 NST
ffffffdd90a6dfc0 -9000 1 NDT
ffffffe15dc1dd40 -12600 0 NST
ffffffe415334fc0 -14400 0 AST
ffffffe4e34d2700 -10800 1 ADT
ffffffe8b0682480 -14400 0 AST
ffffffec59e47b00 -10800 1 ADT
fffffff002f2f480 -14400 0 AST
fffffff3ac6f4b00 -10800 1 ADT
fffffff7557dc480 -14400 0 AST
fffffffafefa1b00 -10800 1 ADT
fffffffea8089480 -14400 0 AST
000000025184eb00 -10800 1 ADT
00000005fa936480 -14400 0 AST
00000009a40fbb00 -10800 1 ADT
0000000d712ab880 -14400 0 AST
000000111aa70f00 -10800 1 ADT
00000014c3b58880 -14400 0 AST
000000186d31df00 -10800 1 ADT
0000001c16405880 -14400 0 AST
0000001fbfbcaf00 -10800 1 ADT
0000002368cb2880 -14400 0 AST
0000002712477f00 -10800 1 ADT
0000002abb55f880 -14400 0 AST
0000002e64d24f00 -10800 1 ADT
0000003231ed4c80 -14400 0 AST
00000035b75d1f00 -10800 1 ADT
0000003984781c80 -14400 0 AST
0000003d2df47300 -10800 1 ADT
00000040d702ec80 -14400 0 AST
00000044807f4300 -10800 1 ADT
00000048298dbc80 -14400 0 AST
0000004bd30a1300 -10800 1 ADT
0000004f7c188c80 -14400 0 AST
000000532594e300 -10800 1 ADT
00000056cea35c80 -14400 0 AST
0000005a781fb300 -10800 1 ADT
0000005e453ab080 -14400 0 AST
00000061caaa8300 -10800 1 ADT
0000006597c58080 -14400 0 AST
000000694141d700 -10800 1 ADT
0000006cea505080 -14400 0 AST
0000007093cca700 -10800 1 ADT
000000743cdb2080 -14400 0 AST
00000077e6577700 -10800 1 ADT
0000007b8f65f080 -14400 0 AST
0000007ecc4fc860 -10800 1 ADT
00000082e183cde0 -14400 0 AST
000000861eda9860 -7200 1 ADDT
0000008a57e43360 -14400 0 AST
0000008d71656860 -10800 1 ADT
00000091aaa5f1e0 -14400 0 AST
00000094c3f03860 -10800 1 ADT
