=America/Havana
8000000000000000 -19768 0 LMT
fffffdb437f70ec0 -19776 0 HMT
fffffeb961c7c400 -18000 0 CST
fffffecea27b5880 -14400 1 CDT
fffffed1168c4200 -18000 0 CST
ffffff26a5099c80 -14400 1 CDT
ffffff2879756200 -18000 0 CST
ffffff2df7946c80 -14400 1 CDT
ffffff2ff00cb600 -18000 0 CST
ffffff356e2bc080 -14400 1 CDT
ffffff3742978600 -18000 0 CST
ffffff4b65cc3080 -14400 1 CDT
ffffff4d3a37f600 -18000 0 CST
ffffff52b8570080 -14400 1 CDT
ffffff548cc2c600 -18000 0 CST
ffffffde4f16b480 -14400 1 CDT
ffffffe0be014200 -18000 0 CST
ffffffe59754cc80 -14400 1 CDT
ffffffe81fff2600 -18000 0 CST
ffffffebe861a480 -14400 1 CDT
ffffffef06646a00 -18000 0 CST
fffffff3641f5480 -14400 1 CDT
fffffff658ef3a00 -18000 0 CST
fffffffafec32c80 -14400 1 CDT
fffffffea7d1a600 -18000 0 CST
00000002514dfc80 -14400 1 CDT
00000005fa5c7600 -18000 0 CST
00000009a3d8cc80 -14400 1 CDT
0000000d70f3ca00 -18000 0 CST
000000111a702080 -14400 1 CDT
0000001457590e00 -18000 0 CST
000000186cfaf080 -14400 1 CDT
0000001baf0a3a00 -18000 0 CST
0000001fbf85c080 -14400 1 CDT
0000002306bb6600 -18000 0 CST
0000002712109080 -14400 1 CDT
0000002abb1f0a00 -18000 0 CST
0000002e649b6080 -14400 1 CDT
0000003231b65e00 -18000 0 CST
00000035b7263080 -14400 1 CDT
0000003984412e00 -18000 0 CST
0000003d51ca0880 -14400 1 CDT
000000406aa67200 -18000 0 CST
00000043a7fd3c80 -14400 1 CDT
00000047e13dc600 -18000 0 CST
0000004afa880c80 -14400 1 CDT
0000004f33c89600 -18000 0 CST
000000536d76fc80 -14400 1 CDT
0000005686536600 -18000 0 CST
0000005ac001cc80 -14400 1 CDT
0000005dd8de3600 -18000 0 CST
00000062128c9c80 -14400 1 CDT
000000652b690600 -18000 0 CST
0000006965176c80 -14400 1 CDT
0000006ca2005a00 -18000 0 CST
00000070b7a23c80 -14400 1 CDT
00000073f48b2a00 -18000 0 CST
000000770dd57080 -14400 1 CDT
0000007b4715fa00 -18000 0 CST
0000007e60604080 -14400 1 CDT
0000008299a0ca00 -18000 0 CST
00000085d6f79480 -14400 1 CDT
00000089ec2b9a00 -18000 0 CST
0000008d29826480 -14400 1 CDT
000000913eb66a00 -18000 0 CST
00000094c4263c80 -14400 1 CDT
00000098b54dbe00 -18000 0 CST
0000009c3abd9080 -14400 1 CDT
000000a0080f7c80 -18000 0 CST
000000a38d486080 -14400 1 CDT
000000a75a9a4c80 -18000 0 CST
000000aadfd33080 -14400 1 CDT
000000aead251c80 -18000 0 CST
000000b2325e0080 -14400 1 CDT
000000b5ffafec80 -18000 0 CST
000000b984e8d080 -14400 1 CDT
000000bd523abc80 -18000 0 CST
000000c0fb802480 -14400 1 CDT
000000c4a4c58c80 -18000 0 CST
000000c84e0af480 -14400 1 CDT
000000cc1b5ce080 -18000 0 CST
000000cf7c894080 -14400 1 CDT
000000d3b600b880 -18000 0 CST
000000d6cf141080 -14400 1 CDT
000000db2c980c80 -18000 0 CST
000000de45ab6480 -14400 1 CDT
000000e27f22dc80 -18000 0 CST
000000e598363480 -14400 1 CDT
000000e9d1adac80 -18000 0 CST
000000ed0ecd8880 -14400 1 CDT
000000f124387c80 -18000 0 CST
000000f461585880 -14400 1 CDT
000000f876c34c80 -18000 0 CST
000000fbb3e32880 -14400 1 CDT
0000010e92704080 -18000 0 CST
000001113f5e0c80 -14400 1 CDT
00000115e4fb1080 -18000 0 CST
00000118b5f56080 -14400 1 CDT
0000011d3785e080 -18000 0 CST
0000011fe473ac80 -14400 1 CDT
000001248a10b080 -18000 0 CST
000001275b0b0080 -14400 1 CDT
0000012c00a80480 -18000 0 CST
0000012ed1a25480 -14400 1 CDT
000001339b4bdc80 -18000 0 CST
000001366c462c80 -14400 1 CDT
0000013ac9ca2880 -18000 0 CST
0000013d52ab7080 -14400 1 CDT
000001421c54f880 -18000 0 CST
00000144a5364080 -14400 1 CDT
000001496edfc880 -18000 0 CST
0000014bf7c11080 -14400 1 CDT
00000150c16a9880 -18000 0 CST
000001536e586480 -14400 1 CDT
000001583801ec80 -18000 0 CST
0000015ac0e33480 -14400 1 CDT
0000015f8a8cbc80 -18000 0 CST
00000162136e0480 -14400 1 CDT
00000166dd178c80 -18000 0 CST
0000016965f8d480 -14400 1 CDT
0000016e2fa25c80 -18000 0 CST
00000170b883a480 -14400 1 CDT
00000175822d2c80 -18000 0 CST
000001782f1af880 -14400 1 CDT
0000017cf8c48080 -18000 0 CST
0000017f81a5c880 -14400 1 CDT
000001844b4f5080 -18000 0 CST
00000186d4309880 -14400 1 CDT
0000018b9dda2080 -18000 0 CST
0000018e26bb6880 -14400 1 CDT
00000192f064f080 -18000 0 CST
0000019579463880 -14400 1 CDT
0000019a42efc080 -18000 0 CST
0000019ccbd10880 -14400 1 CDT
000001a1957a9080 -18000 0 CST
000001a442685c80 -14400 1 CDT
000001a90c11e480 -18000 0 CST
000001ab94f32c80 -14400 1 CDT
000001b05e9cb480 -18000 0 CST
000001b2e77dfc80 -14400 1 CDT
000001b7b1278480 -18000 0 CST
000001ba3a08cc80 -14400 1 CDT
000001bf03b25480 -18000 0 CST
000001c18c939c80 -14400 1 CDT
000001c6563d2480 -18000 0 CST
000001c9032af080 -14400 1 CDT
000001cdccd47880 -18000 0 CST
000001d055b5c080 -14400 1 CDT
000001d51f5f4880 -18000 0 CST
000001d7a8409080 -14400 1 CDT
000001dc71ea1880 -18000 0 CST
000001defacb6080 -14400 1 CDT
000001e3c474e880 -18000 0 CST
000001e64d563080 -14400 1 CDT
000001eb16ffb880 -18000 0 CST
000001ed9fe10080 -14400 1 CDT
000001f2698a8880 -18000 0 CST
000001f516785480 -14400 1 CDT
000001f9e021dc80 -18000 0 CST
000001fc69032480 -14400 1 CDT
0000020132acac80 -18000 0 CST
00000203bb8df480 -14400 1 CDT
0000020885377c80 -18000 0 CST
0000020b0e18c480 -14400 1 CDT
0000020fd7c24c80 -18000 0 CST
0000021260a39480 -14400 1 CDT
000002172a4d1c80 -18000 0 CST
00000219b32e6480 -14400 1 CDT
0000021e7cd7ec80 -18000 0 CST
0000022129c5b880 -14400 1 CDT
00000225f36f4080 -18000 0 CST
000002287c508880 -14400 1 CDT
0000022d45fa1080 -18000 0 CST
0000022fcedb5880 -14400 1 CDT
000002349884e080 -18000 0 CST
0000023721662880 -14400 1 CDT
0000023beb0fb080 -18000 0 CST
0000023e73f0f880 -14400 1 CDT
000002433d9a8080 -18000 0 CST
00000245ea884c80 -14400 1 CDT
0000024ab431d480 -18000 0 CST
0000024d3d131c80 -14400 1 CDT
0000025206bca480 -18000 0 CST
000002548f9dec80 -14400 1 CDT
0000025959477480 -18000 0 CST
0000025be228bc80 -14400 1 CDT
00000260abd24480 -18000 0 CST
0000026334b38c80 -14400 1 CDT
00000267fe5d1480 -18000 0 CST
0000026a873e5c80 -14400 1 CDT
0000026f50e7e480 -18000 0 CST
00000271fdd5b080 -14400 1 CDT
00000276c77f3880 -18000 0 CST
0000027950608080 -14400 1 CDT
0000027e1a0a0880 -18000 0 CST
00000280a2eb5080 -14400 1 CDT
000002856c94d880 -18000 0 CST
00000287f5762080 -14400 1 CDT
0000028cbf1fa880 -18000 0 CST
0000028f4800f080 -14400 1 CDT
0000029411aa7880 -18000 0 CST
00000296be984480 -14400 1 CDT
0000029b8841cc80 -18000 0 CST
0000029e11231480 -14400 1 CDT
000002a2dacc9c80 -18000 0 CST
000002a563ade480 -14400 1 CDT
000002aa2d576c80 -18000 0 CST
000002acb638b480 -14400 1 CDT
000002b17fe23c80 -18000 0 CST
000002b408c38480 -14400 1 CDT
000002b8d26d0c80 -18000 0 CST
000002bb5b4e5480 -14400 1 CDT
000002c024f7dc80 -18000 0 CST
000002c2d1e5a880 -14400 1 CDT
000002c79b8f3080 -18000 0 CST
000002ca24707880 -14400 1 CDT
000002ceee1a0080 -18000 0 CST
000002d176fb4880 -14400 1 CDT
000002d640a4d080 -18000 0 CST
000002d8c9861880 -14400 1 CDT
000002dd932fa080 -18000 0 CST
000002e01c10e880 -14400 1 CDT
000002e4e5ba7080 -18000 0 CST
000002e76e9bb880 -14400 1 CDT
000002ec38454080 -18000 0 CST
000002eee5330c80 -14400 1 CDT
000002f3aedc9480 -18000 0 CST
000002f637bddc80 -14400 1 CDT
000002fb01676480 -18000 0 CST
000002fd8a48ac80 -14400 1 CDT
0000030253f23480 -18000 0 CST
00000304dcd37c80 -14400 1 CDT
00000309a67d0480 -18000 0 CST
0000030c2f5e4c80 -14400 1 CDT
00000310f907d480 -18000 0 CST
00000313a5f5a080 -14400 1 CDT
000003186f9f2880 -18000 0 CST
0000031af8807080 -14400 1 CDT
0000031fc229f880 -18000 0 CST
000003224b0b4080 -14400 1 CDT
0000032714b4c880 -18000 0 CST
000003299d961080 -14400 1 CDT
0000032e673f9880 -18000 0 CST
00000330f020e080 -14400 1 CDT
00000335b9ca6880 -18000 0 CST
0000033842abb080 -14400 1 CDT
0000033d0c553880 -18000 0 CST
0000033fb9430480 -14400 1 CDT
0000034482ec8c80 -18000 0 CST
000003470bcdd480 -14400 1 CDT
0000034bd5775c80 -18000 0 CST
0000034e5e58a480 -14400 1 CDT
0000035328022c80 -18000 0 CST
00000355b0e37480 -14400 1 CDT
0000035a7a8cfc80 -18000 0 CST
0000035d036e4480 -14400 1 CDT
00000361cd17cc80 -18000 0 CST
000003647a059880 -14400 1 CDT
0000036943af2080 -18000 0 CST
0000036bcc906880 -14400 1 CDT
000003709639f080 -18000 0 CST
000003731f1b3880 -14400 1 CDT
00000377e8c4c080 -18000 0 CST
0000037a71a60880 -14400 1 CDT
0000037f3b4f9080 -18000 0 CST
00000381c430d880 -14400 1 CDT
000003868dda6080 -18000 0 CST
0000038916bba880 -14400 1 CDT
0000038de0653080 -18000 0 CST
000003908d52fc80 -14400 1 CDT
0000039556fc8480 -18000 0 CST
00000397dfddcc80 -14400 1 CDT
0000039ca9875480 -18000 0 CST
0000039f32689c80 -14400 1 CDT
000003a3fc122480 -18000 0 CST
000003a684f36c80 -14400 1 CDT
000003ab4e9cf480 -18000 0 CST
000003add77e3c80 -14400 1 CDT
000003b2a127c480 -18000 0 CST
000003b52a090c80 -14400 1 CDT
000003b9f3b29480 -18000 0 CST
