=America/Hermosillo
8000000000000000 -26632 0 LMT
fffffe9f527bf580 -25200 0 MST
fffffec74b011b00 -21600 0 CST
fffffee07fc16700 -25200 0 MST
fffffee3e0edc700 -21600 0 CST
fffffee6efb46700 -25200 0 MST
fffffeea9e571980 -21600 0 CST
ffffff348bcadf00 -25200 0 MST
ffffff65f92ac980 -28800 0 PST
0000000001b77400 -25200 0 MST
000000c0fc5bde80 -21600 1 MDT
000000c5118fe400 -25200 0 MST
000000c84ee6ae80 -21600 1 MDT
000000cc641ab400 -25200 0 MST
000000cfa1717e80 -21600 1 MDT
000000d3b6a58400 -25200 0 MST
000000d5149f0580 -25200 0 MST
