=America/Indiana/Tell_City
8000000000000000 -20823 0 LMT
fffffd873f9aa100 -21600 0 CST
fffffe83b91dd400 -18000 1 CDT
fffffe87f25e5d80 -21600 0 CST
fffffe8b0ba8a400 -18000 1 CDT
fffffe8f44e92d80 -21600 0 CST
ffffff330f222400 -18000 1 CWT
ffffff4cdc72d580 -18000 1 CPT
ffffff4dcb0ed180 -21600 0 CST
ffffff4fa9c74f00 -21600 0 CST
ffffff5204bd3800 -18000 1 CDT
ffffff551d99a180 -21600 0 CST
ffffff856a956c00 -18000 1 CDT
ffffff888371d580 -21600 0 CST
ffffff8cbd203c00 -18000 1 CDT
ffffff8fd5fca580 -21600 0 CST
ffffff943349b300 -18000 1 CDT
ffffff9728877580 -21600 0 CST
ffffff9b86426000 -18000 1 CDT
ffffff9e9f1ec980 -21600 0 CST
ffffffa2d8cd3000 -18000 1 CDT
ffffffa5f1a99980 -21600 0 CST
ffffffaa2b580000 -18000 1 CDT
ffffffad44346980 -21600 0 CST
ffffffb17de2d000 -18000 1 CDT
ffffffb496bf3980 -21600 0 CST
ffffffb8d06da000 -18000 1 CDT
ffffffbc9d889d80 -21600 0 CST
ffffffc04704f400 -18000 1 CDT
ffffffc33bd4d980 -21600 0 CST
ffffffc7998fc400 -18000 1 CDT
ffffffcb429e3d80 -21600 0 CST
ffffffceec1a9400 -18000 1 CDT
ffffffd295290d80 -21600 0 CST
ffffffd63ea56400 -18000 0 EST
fffffff8a9617c80 -18000 0 EST
fffffffaff310980 -14400 1 EDT
fffffffea83f8300 -18000 0 EST
0000000251bbd980 -14400 1 EDT
00000005faca5300 -18000 0 EST
0000000758c3d480 -18000 0 EST
0000010a5966a580 -21600 0 CST
0000010a599d9400 -18000 1 CDT
0000010e92de1d80 -21600 0 CST
000001114002d800 -18000 1 CDT
0000011609757180 -21600 0 CST
00000118928da800 -18000 1 CDT
0000011d5c004180 -21600 0 CST
0000011fe5187800 -18000 1 CDT
00000124ae8b1180 -21600 0 CST
