=America/Jamaica
8000000000000000 -18432 0 LMT
fffffdb437e2ac00 -18432 0 KMT
fffffe56755b0800 -18000 0 EST
0000001fbff39d80 -14400 0 EDT
0000002369021700 -18000 0 EST
00000025ce0dc980 -14400 1 EDT
0000002abb8ce700 -18000 0 EST
0000002e65093d80 -14400 1 EDT
0000003232243b00 -18000 0 EST
00000035b7940d80 -14400 1 EDT
0000003984af0b00 -18000 0 EST
0000003d2e2b6180 -14400 1 EDT
00000040d739db00 -18000 0 EST
0000004480b63180 -14400 1 EDT
0000004829c4ab00 -18000 0 EST
0000004bd3410180 -14400 1 EDT
0000004f7c4f7b00 -18000 0 EST
0000005325cbd180 -14400 1 EDT
00000056ceda4b00 -18000 0 EST
0000005a7856a180 -14400 1 EDT
0000005e45719f00 -18000 0 EST
00000061cae17180 -14400 1 EDT
0000006597fc6f00 -18000 0 EST
00000066dc362480 -18000 0 EST
