=America/Managua
8000000000000000 -20708 0 LMT
fffffdb4380566a0 -20712 0 MMT
fffffefaf8e4ca40 -21600 0 CST
00000018777e9700 -18000 0 EST
00000025a9936880 -21600 0 CST
00000043a8342b00 -18000 1 CDT
00000045a5d2d080 -21600 0 CST
0000004afabefb00 -18000 1 CDT
0000004cf85da080 -21600 0 CST
000000a1a51ee500 -18000 0 EST
000000a7030e3080 -21600 0 CST
000000a9011ab300 -18000 0 EST
000000c664ced080 -21600 0 CST
000001032ab16b00 -18000 1 CDT
00000106afb36080 -21600 0 CST
0000010ae9cfa400 -18000 1 CDT
0000010e02751f00 -21600 0 CST
