=America/Mazatlan
8000000000000000 -25540 0 LMT
fffffe9f527bf580 -25200 0 MST
fffffec74b011b00 -21600 0 CST
fffffee07fc16700 -25200 0 MST
fffffee3e0edc700 -21600 0 CST
fffffee6efb46700 -25200 0 MST
fffffeea9e571980 -21600 0 CST
ffffff348bcadf00 -25200 0 MST
ffffff65f92ac980 -28800 0 PST
0000000001b77400 -25200 0 MST
000000c0fc5bde80 -21600 1 MDT
000000c5118fe400 -25200 0 MST
000000c84ee6ae80 -21600 1 MDT
000000cc641ab400 -25200 0 MST
000000cfa1717e80 -21600 1 MDT
000000d3b6a58400 -25200 0 MST
000000d6f3fc4e80 -21600 1 MDT
000000db2d3cd800 -25200 0 MST
000000de46871e80 -21600 1 MDT
000000e27fc7a800 -25200 0 MST
000000e64d508280 -21600 1 MDT
000000e942206800 -25200 0 MST
000000ed0fa94280 -21600 1 MDT
000000f124dd4800 -25200 0 MST
000000f462341280 -21600 1 MDT
000000f877681800 -25200 0 MST
000000fbb4bee280 -21600 1 MDT
000000ffedff6c00 -25200 0 MST
000001030749b280 -21600 1 MDT
00000107408a3c00 -25200 0 MST
0000010a59d48280 -21600 1 MDT
0000010e93150c00 -25200 0 MST
00000111ac5f5280 -21600 1 MDT
00000115e59fdc00 -25200 0 MST
0000011922f6a680 -21600 1 MDT
0000011d382aac00 -25200 0 MST
0000012075817680 -21600 1 MDT
000001248ab57c00 -25200 0 MST
00000127c80c4680 -21600 1 MDT
0000012c014cd000 -25200 0 MST
0000012f1a971680 -21600 1 MDT
0000013353d7a000 -25200 0 MST
000001366d21e680 -21600 1 MDT
0000013aa6627000 -25200 0 MST
0000013de3b93a80 -21600 1 MDT
00000141f8ed4000 -25200 0 MST
0000014536440a80 -21600 1 MDT
000001494b781000 -25200 0 MST
0000014c88ceda80 -21600 1 MDT
000001509e02e000 -25200 0 MST
00000153db59aa80 -21600 1 MDT
00000158149a3400 -25200 0 MST
0000015b2de47a80 -21600 1 MDT
0000015f67250400 -25200 0 MST
00000162806f4a80 -21600 1 MDT
00000166b9afd400 -25200 0 MST
00000169f7069e80 -21600 1 MDT
0000016e0c3aa400 -25200 0 MST
0000017149916e80 -21600 1 MDT
000001755ec57400 -25200 0 MST
000001789c1c3e80 -21600 1 MDT
0000017cd55cc800 -25200 0 MST
0000017feea70e80 -21600 1 MDT
0000018427e79800 -25200 0 MST
000001874131de80 -21600 1 MDT
0000018b7a726800 -25200 0 MST
0000018eb7c93280 -21600 1 MDT
00000192ccfd3800 -25200 0 MST
000001960a540280 -21600 1 MDT
0000019a1f880800 -25200 0 MST
0000019d5cded280 -21600 1 MDT
000001a17212d800 -25200 0 MST
000001a4af69a280 -21600 1 MDT
000001a8e8aa2c00 -25200 0 MST
000001ac01f47280 -21600 1 MDT
000001b03b34fc00 -25200 0 MST
000001b3547f4280 -21600 1 MDT
000001b78dbfcc00 -25200 0 MST
000001bacb169680 -21600 1 MDT
000001bee04a9c00 -25200 0 MST
000001c21da16680 -21600 1 MDT
000001c632d56c00 -25200 0 MST
000001c9702c3680 -21600 1 MDT
000001cda96cc000 -25200 0 MST
000001d0c2b70680 -21600 1 MDT
000001d4fbf79000 -25200 0 MST
000001d81541d680 -21600 1 MDT
