=America/Mexico_City
8000000000000000 -23796 0 LMT
fffffe9f527bf580 -25200 0 MST
fffffec74b011b00 -21600 0 CST
fffffee07fc16700 -25200 0 MST
fffffee3e0edc700 -21600 0 CST
fffffee6efb46700 -25200 0 MST
fffffeea9e571980 -21600 0 CST
ffffff1cede0f700 -18000 1 CDT
ffffff1fbea45880 -21600 0 CST
ffffff2a77b8d300 -18000 1 CDT
ffffff2cbd708080 -21600 0 CST
ffffff40a2d8db00 -18000 1 CWT
ffffff4364292880 -21600 0 CST
ffffff6de5fd7300 -18000 1 CDT
ffffff7146f2e480 -21600 0 CST
000000c0fc24f000 -18000 1 CDT
000000c51158f580 -21600 0 CST
000000c84eafc000 -18000 1 CDT
000000cc63e3c580 -21600 0 CST
000000cfa13a9000 -18000 1 CDT
000000d3b66e9580 -21600 0 CST
000000d6f3c56000 -18000 1 CDT
000000db2d05e980 -21600 0 CST
000000de46503000 -18000 1 CDT
000000e27f90b980 -21600 0 CST
000000e64d199400 -18000 1 CDT
000000e942206800 -21600 0 CST
000000ec221fef00 -21600 0 CST
000000ed0f725400 -18000 1 CDT
000000f124a65980 -21600 0 CST
000000f461fd2400 -18000 1 CDT
000000f877312980 -21600 0 CST
000000fbb487f400 -18000 1 CDT
000000ffedc87d80 -21600 0 CST
000001030712c400 -18000 1 CDT
0000010740534d80 -21600 0 CST
0000010a599d9400 -18000 1 CDT
0000010e92de1d80 -21600 0 CST
00000111ac286400 -18000 1 CDT
00000115e568ed80 -21600 0 CST
0000011922bfb800 -18000 1 CDT
0000011d37f3bd80 -21600 0 CST
00000120754a8800 -18000 1 CDT
000001248a7e8d80 -21600 0 CST
00000127c7d55800 -18000 1 CDT
0000012c0115e180 -21600 0 CST
0000012f1a602800 -18000 1 CDT
0000013353a0b180 -21600 0 CST
000001366ceaf800 -18000 1 CDT
0000013aa62b8180 -21600 0 CST
0000013de3824c00 -18000 1 CDT
00000141f8b65180 -21600 0 CST
00000145360d1c00 -18000 1 CDT
000001494b412180 -21600 0 CST
0000014c8897ec00 -18000 1 CDT
000001509dcbf180 -21600 0 CST
00000153db22bc00 -18000 1 CDT
0000015814634580 -21600 0 CST
0000015b2dad8c00 -18000 1 CDT
0000015f66ee1580 -21600 0 CST
0000016280385c00 -18000 1 CDT
00000166b978e580 -21600 0 CST
00000169f6cfb000 -18000 1 CDT
0000016e0c03b580 -21600 0 CST
00000171495a8000 -18000 1 CDT
000001755e8e8580 -21600 0 CST
000001789be55000 -18000 1 CDT
0000017cd525d980 -21600 0 CST
0000017fee702000 -18000 1 CDT
0000018427b0a980 -21600 0 CST
0000018740faf000 -18000 1 CDT
0000018b7a3b7980 -21600 0 CST
0000018eb7924400 -18000 1 CDT
00000192ccc64980 -21600 0 CST
000001960a1d1400 -18000 1 CDT
0000019a1f511980 -21600 0 CST
0000019d5ca7e400 -18000 1 CDT
000001a171dbe980 -21600 0 CST
000001a4af32b400 -18000 1 CDT
000001a8e8733d80 -21600 0 CST
000001ac01bd8400 -18000 1 CDT
000001b03afe0d80 -21600 0 CST
000001b354485400 -18000 1 CDT
000001b78d88dd80 -21600 0 CST
000001bacadfa800 -18000 1 CDT
000001bee013ad80 -21600 0 CST
000001c21d6a7800 -18000 1 CDT
