=America/Miquelon
8000000000000000 -13480 0 LMT
fffffe512fcd5040 -14400 0 AST
0000004be735a600 -10800 0 PMST
0000007ce8022780 -10800 0 PMST
0000007ecc85cc80 -7200 1 PMDT
00000082e1b9d200 -10800 0 PMST
000000861f109c80 -7200 1 PMDT
0000008a58512600 -10800 0 PMST
0000008d719b6c80 -7200 1 PMDT
00000091aadbf600 -10800 0 PMST
00000094c4263c80 -7200 1 PMDT
00000098fd66c600 -10800 0 PMST
0000009c3abd9080 -7200 1 PMDT
000000a04ff19600 -10800 0 PMST
000000a38d486080 -7200 1 PMDT
000000a7a27c6600 -10800 0 PMST
000000aadfd33080 -7200 1 PMDT
000000af1913ba00 -10800 0 PMST
000000b2325e0080 -7200 1 PMDT
000000b66b9e8a00 -10800 0 PMST
000000b984e8d080 -7200 1 PMDT
000000bdbe295a00 -10800 0 PMST
000000c0fb802480 -7200 1 PMDT
000000c510b42a00 -10800 0 PMST
000000c84e0af480 -7200 1 PMDT
000000cc633efa00 -10800 0 PMST
000000cfa095c480 -7200 1 PMDT
000000d3b5c9ca00 -10800 0 PMST
000000d6f3209480 -7200 1 PMDT
000000db2c611e00 -10800 0 PMST
000000de45ab6480 -7200 1 PMDT
000000e27eebee00 -10800 0 PMST
000000e598363480 -7200 1 PMDT
000000e9d176be00 -10800 0 PMST
000000ed0ecd8880 -7200 1 PMDT
000000f124018e00 -10800 0 PMST
000000f461585880 -7200 1 PMDT
000000f8768c5e00 -10800 0 PMST
000000fbb3e32880 -7200 1 PMDT
000000ffed23b200 -10800 0 PMST
00000103066df880 -7200 1 PMDT
000001073fae8200 -10800 0 PMST
0000010a58f8c880 -7200 1 PMDT
0000010e92395200 -10800 0 PMST
000001113f5e0c80 -7200 1 PMDT
0000011608d0a600 -10800 0 PMST
0000011891e8dc80 -7200 1 PMDT
0000011d5b5b7600 -10800 0 PMST
0000011fe473ac80 -7200 1 PMDT
00000124ade64600 -10800 0 PMST
000001275b0b0080 -7200 1 PMDT
0000012c247d9a00 -10800 0 PMST
0000012ead95d080 -7200 1 PMDT
0000013377086a00 -10800 0 PMST
000001360020a080 -7200 1 PMDT
0000013ac9933a00 -10800 0 PMST
0000013d52ab7080 -7200 1 PMDT
000001421c1e0a00 -10800 0 PMST
00000144a5364080 -7200 1 PMDT
000001496ea8da00 -10800 0 PMST
0000014bf7c11080 -7200 1 PMDT
00000150c133aa00 -10800 0 PMST
000001536e586480 -7200 1 PMDT
0000015837cafe00 -10800 0 PMST
0000015ac0e33480 -7200 1 PMDT
0000015f8a55ce00 -10800 0 PMST
00000162136e0480 -7200 1 PMDT
00000166dce09e00 -10800 0 PMST
0000016965f8d480 -7200 1 PMDT
0000016e2f6b6e00 -10800 0 PMST
00000170b883a480 -7200 1 PMDT
0000017581f63e00 -10800 0 PMST
000001782f1af880 -7200 1 PMDT
0000017cf88d9200 -10800 0 PMST
0000017f81a5c880 -7200 1 PMDT
000001844b186200 -10800 0 PMST
00000186d4309880 -7200 1 PMDT
0000018b9da33200 -10800 0 PMST
0000018e26bb6880 -7200 1 PMDT
00000192f02e0200 -10800 0 PMST
0000019579463880 -7200 1 PMDT
0000019a42b8d200 -10800 0 PMST
0000019ccbd10880 -7200 1 PMDT
000001a19543a200 -10800 0 PMST
000001a442685c80 -7200 1 PMDT
000001a90bdaf600 -10800 0 PMST
000001ab94f32c80 -7200 1 PMDT
000001b05e65c600 -10800 0 PMST
000001b2e77dfc80 -7200 1 PMDT
000001b7b0f09600 -10800 0 PMST
000001ba3a08cc80 -7200 1 PMDT
000001bf037b6600 -10800 0 PMST
000001c18c939c80 -7200 1 PMDT
000001c656063600 -10800 0 PMST
000001c9032af080 -7200 1 PMDT
000001cdcc9d8a00 -10800 0 PMST
000001d055b5c080 -7200 1 PMDT
000001d51f285a00 -10800 0 PMST
000001d7a8409080 -7200 1 PMDT
000001dc71b32a00 -10800 0 PMST
000001defacb6080 -7200 1 PMDT
000001e3c43dfa00 -10800 0 PMST
000001e64d563080 -7200 1 PMDT
000001eb16c8ca00 -10800 0 PMST
000001ed9fe10080 -7200 1 PMDT
000001f269539a00 -10800 0 PMST
000001f516785480 -7200 1 PMDT
000001f9dfeaee00 -10800 0 PMST
000001fc69032480 -7200 1 PMDT
000002013275be00 -10800 0 PMST
00000203bb8df480 -7200 1 PMDT
0000020885008e00 -10800 0 PMST
0000020b0e18c480 -7200 1 PMDT
0000020fd78b5e00 -10800 0 PMST
0000021260a39480 -7200 1 PMDT
000002172a162e00 -10800 0 PMST
00000219b32e6480 -7200 1 PMDT
0000021e7ca0fe00 -10800 0 PMST
0000022129c5b880 -7200 1 PMDT
00000225f3385200 -10800 0 PMST
000002287c508880 -7200 1 PMDT
0000022d45c32200 -10800 0 PMST
0000022fcedb5880 -7200 1 PMDT
00000234984df200 -10800 0 PMST
0000023721662880 -7200 1 PMDT
0000023bead8c200 -10800 0 PMST
0000023e73f0f880 -7200 1 PMDT
000002433d639200 -10800 0 PMST
00000245ea884c80 -7200 1 PMDT
0000024ab3fae600 -10800 0 PMST
0000024d3d131c80 -7200 1 PMDT
000002520685b600 -10800 0 PMST
000002548f9dec80 -7200 1 PMDT
0000025959108600 -10800 0 PMST
0000025be228bc80 -7200 1 PMDT
00000260ab9b5600 -10800 0 PMST
0000026334b38c80 -7200 1 PMDT
00000267fe262600 -10800 0 PMST
0000026a873e5c80 -7200 1 PMDT
0000026f50b0f600 -10800 0 PMST
00000271fdd5b080 -7200 1 PMDT
00000276c7484a00 -10800 0 PMST
0000027950608080 -7200 1 PMDT
0000027e19d31a00 -10800 0 PMST
00000280a2eb5080 -7200 1 PMDT
000002856c5dea00 -10800 0 PMST
00000287f5762080 -7200 1 PMDT
0000028cbee8ba00 -10800 0 PMST
0000028f4800f080 -7200 1 PMDT
0000029411738a00 -10800 0 PMST
00000296be984480 -7200 1 PMDT
0000029b880ade00 -10800 0 PMST
0000029e11231480 -7200 1 PMDT
000002a2da95ae00 -10800 0 PMST
000002a563ade480 -7200 1 PMDT
000002aa2d207e00 -10800 0 PMST
000002acb638b480 -7200 1 PMDT
000002b17fab4e00 -10800 0 PMST
000002b408c38480 -7200 1 PMDT
000002b8d2361e00 -10800 0 PMST
000002bb5b4e5480 -7200 1 PMDT
000002c024c0ee00 -10800 0 PMST
000002c2d1e5a880 -7200 1 PMDT
000002c79b584200 -10800 0 PMST
000002ca24707880 -7200 1 PMDT
000002ceede31200 -10800 0 PMST
000002d176fb4880 -7200 1 PMDT
000002d6406de200 -10800 0 PMST
000002d8c9861880 -7200 1 PMDT
000002dd92f8b200 -10800 0 PMST
000002e01c10e880 -7200 1 PMDT
000002e4e5838200 -10800 0 PMST
000002e76e9bb880 -7200 1 PMDT
000002ec380e5200 -10800 0 PMST
000002eee5330c80 -7200 1 PMDT
000002f3aea5a600 -10800 0 PMST
000002f637bddc80 -7200 1 PMDT
000002fb01307600 -10800 0 PMST
000002fd8a48ac80 -7200 1 PMDT
0000030253bb4600 -10800 0 PMST
00000304dcd37c80 -7200 1 PMDT
00000309a6461600 -10800 0 PMST
0000030c2f5e4c80 -7200 1 PMDT
00000310f8d0e600 -10800 0 PMST
00000313a5f5a080 -7200 1 PMDT
000003186f683a00 -10800 0 PMST
0000031af8807080 -7200 1 PMDT
0000031fc1f30a00 -10800 0 PMST
000003224b0b4080 -7200 1 PMDT
00000327147dda00 -10800 0 PMST
000003299d961080 -7200 1 PMDT
0000032e6708aa00 -10800 0 PMST
00000330f020e080 -7200 1 PMDT
00000335b9937a00 -10800 0 PMST
0000033842abb080 -7200 1 PMDT
0000033d0c1e4a00 -10800 0 PMST
0000033fb9430480 -7200 1 PMDT
0000034482b59e00 -10800 0 PMST
000003470bcdd480 -7200 1 PMDT
0000034bd5406e00 -10800 0 PMST
0000034e5e58a480 -7200 1 PMDT
0000035327cb3e00 -10800 0 PMST
00000355b0e37480 -7200 1 PMDT
0000035a7a560e00 -10800 0 PMST
0000035d036e4480 -7200 1 PMDT
00000361cce0de00 -10800 0 PMST
000003647a059880 -7200 1 PMDT
0000036943783200 -10800 0 PMST
0000036bcc906880 -7200 1 PMDT
0000037096030200 -10800 0 PMST
000003731f1b3880 -7200 1 PMDT
00000377e88dd200 -10800 0 PMST
0000037a71a60880 -7200 1 PMDT
0000037f3b18a200 -10800 0 PMST
00000381c430d880 -7200 1 PMDT
000003868da37200 -10800 0 PMST
0000038916bba880 -7200 1 PMDT
0000038de02e4200 -10800 0 PMST
000003908d52fc80 -7200 1 PMDT
0000039556c59600 -10800 0 PMST
00000397dfddcc80 -7200 1 PMDT
0000039ca9506600 -10800 0 PMST
0000039f32689c80 -7200 1 PMDT
000003a3fbdb3600 -10800 0 PMST
000003a684f36c80 -7200 1 PMDT
000003ab4e660600 -10800 0 PMST
000003add77e3c80 -7200 1 PMDT
000003b2a0f0d600 -10800 0 PMST
000003b52a090c80 -7200 1 PMDT
000003b9f37ba600 -10800 0 PMST
