=America/Moncton
8000000000000000 -15548 0 LMT
fffffd87a8d0a660 -18000 0 EST
fffffe0fb0302880 -14400 0 AST
fffffe8400c8ff00 -10800 1 ADT
fffffe87f1f08080 -14400 0 AST
fffffef025e72200 -14400 0 AST
fffffef3633dec80 -10800 1 ADT
fffffef537a9b200 -14400 0 AST
fffffefab5c8bc80 -10800 1 ADT
fffffefc8a348200 -14400 0 AST
ffffff0208538c80 -10800 1 ADT
ffffff03dcbf5200 -14400 0 AST
ffffff095ade5c80 -10800 1 ADT
ffffff0b2f4a2200 -14400 0 AST
ffffff10ad692c80 -10800 1 ADT
ffffff1281d4f200 -14400 0 AST
ffffff17fff3fc80 -10800 1 ADT
ffffff19d45fc200 -14400 0 AST
ffffff1f294bec80 -10800 1 ADT
ffffff218de9c200 -14400 0 AST
ffffff265cf09480 -10800 1 ADT
ffffff28e0749200 -14400 0 AST
ffffff2d67625c80 -10800 1 ADT
ffffff30570be600 -14400 0 AST
ffffff32456e6600 -14400 0 AST
ffffff330eb44700 -10800 1 AWT
ffffff4cdc72d580 -10800 1 APT
ffffff4dcaa0f480 -14400 0 AST
ffffff4fa9597200 -14400 0 AST
ffffff52044f5b00 -10800 1 ADT
ffffff551d2bc480 -14400 0 AST
ffffff5956da2b00 -10800 1 ADT
ffffff5c6fb69480 -14400 0 AST
ffffff60a964fb00 -10800 1 ADT
ffffff63c2416480 -14400 0 AST
ffffff67fbefcb00 -10800 1 ADT
ffffff6b14cc3480 -14400 0 AST
ffffff6f72871f00 -10800 1 ADT
ffffff7267570480 -14400 0 AST
ffffff76c511ef00 -10800 1 ADT
ffffff79ddee5880 -14400 0 AST
ffffff7e179cbf00 -10800 1 ADT
ffffff8130792880 -14400 0 AST
ffffff856a278f00 -10800 1 ADT
ffffff888303f880 -14400 0 AST
ffffff8cbcb25f00 -10800 1 ADT
ffffff8fd58ec880 -14400 0 AST
ffffff940f3d2f00 -10800 1 ADT
ffffff9728199880 -14400 0 AST
ffffff9b85d48300 -10800 1 ADT
ffffff9e9eb0ec80 -14400 0 AST
ffffffa2d85f5300 -10800 1 ADT
ffffffa6816dcc80 -14400 0 AST
ffffffaa2aea2300 -10800 1 ADT
ffffffadd3f89c80 -14400 0 AST
ffffffb17d74f300 -10800 1 ADT
ffffffb526836c80 -14400 0 AST
ffffffb8cfffc300 -10800 1 ADT
ffffffbc9d1ac080 -14400 0 AST
ffffffc046971700 -10800 1 ADT
ffffffc3efa59080 -14400 0 AST
ffffffc79921e700 -10800 1 ADT
ffffffcb42306080 -14400 0 AST
ffffffceebacb700 -10800 1 ADT
ffffffd294bb3080 -14400 0 AST
ffffffd63e378700 -10800 1 ADT
ffffffd9e7460080 -14400 0 AST
ffffffdd90c25700 -10800 1 ADT
ffffffe15ddd5480 -14400 0 AST
ffffffe4e34d2700 -10800 1 ADT
ffffffe8b0682480 -14400 0 AST
ffffffec59e47b00 -10800 1 ADT
fffffff002f2f480 -14400 0 AST
fffffff3ac6f4b00 -10800 1 ADT
fffffff7557dc480 -14400 0 AST
fffffffafefa1b00 -10800 1 ADT
fffffffea8089480 -14400 0 AST
000000025184eb00 -10800 1 ADT
00000005fa936480 -14400 0 AST
00000009a40fbb00 -10800 1 ADT
0000000d712ab880 -14400 0 AST
000000111aa70f00 -10800 1 ADT
00000014c3b58880 -14400 0 AST
000000160d159a00 -14400 0 AST
0000001fbfbcaf00 -10800 1 ADT
0000002368cb2880 -14400 0 AST
0000002712477f00 -10800 1 ADT
0000002abb55f880 -14400 0 AST
0000002e64d24f00 -10800 1 ADT
0000003231ed4c80 -14400 0 AST
00000035b75d1f00 -10800 1 ADT
0000003984781c80 -14400 0 AST
0000003d2df47300 -10800 1 ADT
00000040d702ec80 -14400 0 AST
00000044807f4300 -10800 1 ADT
00000048298dbc80 -14400 0 AST
0000004bd30a1300 -10800 1 ADT
0000004f7c188c80 -14400 0 AST
000000532594e300 -10800 1 ADT
