=America/Montevideo
8000000000000000 -13484 0 LMT
fffffdf294193be0 -13484 0 MMT
fffffe930c61f7e0 -12600 0 UYT
fffffeac2c7b56c0 -10800 1 UYHST
fffffeafd5a54780 -12600 0 UYT
fffffeb3842c82c0 -10800 1 UYHST
fffffeb72d567380 -12600 0 UYT
fffffebadbddaec0 -10800 1 UYHST
fffffebe85079f80 -12600 0 UYT
fffffef633e5d6c0 -10800 1 UYHST
fffffef94cddb780 -12600 0 UYT
fffffefd8670a6c0 -10800 1 UYHST
ffffff009f688780 -12600 0 UYT
ffffff04d8fb76c0 -10800 1 UYHST
ffffff07f1f35780 -12600 0 UYT
ffffff0c4f92cac0 -10800 1 UYHST
ffffff0f447e2780 -12600 0 UYT
ffffff13a21d9ac0 -10800 1 UYHST
ffffff169708f780 -12600 0 UYT
ffffff1af4a86ac0 -10800 1 UYHST
ffffff1de993c780 -12600 0 UYT
ffffff2247333ac0 -10800 1 UYHST
ffffff25602b1b80 -12600 0 UYT
ffffff2999be0ac0 -10800 1 UYHST
ffffff2cb2b5eb80 -12600 0 UYT
ffffff2f3165f2c0 -10800 1 UYHST
ffffff39401ab440 -10800 0 UYT
ffffff3940362b80 -7200 1 UYST
ffffff3b0f7b9500 -10800 0 UYT
ffffffb20d023780 -7200 1 UYST
ffffffb592042d00 -10800 0 UYT
ffffffb6d6abbf80 -7200 1 UYST
ffffffb7d2cc6d00 -10800 0 UYT
ffffffdd23f7ff80 -7200 1 UYST
ffffffe0a8f9f500 -10800 0 UYT
ffffffe47682cf80 -7200 1 UYST
ffffffe8b4e9b500 -10800 0 UYT
ffffffebc90d9f80 -7200 1 UYST
fffffff00c9ae100 -10800 0 UYT
fffffff44122eb80 -9000 1 UYHST
fffffff80e596040 -10800 0 UYT
fffffffb98d41780 -9000 1 UYHST
ffffffff660a8c40 -10800 0 UYT
00000002f0854380 -9000 1 UYHST
00000006bdbbb840 -10800 0 UYT
00000010fb1c1b80 -7200 1 UYST
0000001340d3c900 -10800 0 UYT
0000001ec2c04780 -9000 1 UYHST
0000002488a5f440 -7200 1 UYST
0000003196c9b900 -10800 0 UYT
0000003a3848d380 -7200 1 UYST
0000003c97c04d00 -10800 0 UYT
000000479e142b80 -7200 1 UYST
0000004be6c7c900 -10800 0 UYT
00000083e300db80 -7200 1 UYST
00000085b76ca100 -10800 0 UYT
0000008b30654f80 -7200 1 UYST
0000008d04d11500 -10800 0 UYT
00000091aaa50780 -7200 1 UYST
00000094334f6100 -10800 0 UYT
00000098d9235380 -7200 1 UYST
0000009b85da3100 -10800 0 UYT
000000a04fbaa780 -7200 1 UYST
000000a2d8650100 -10800 0 UYT
000000a77e38f380 -7200 1 UYST
000000aa2aefd100 -10800 0 UYT
000000ff14a1ab80 -7200 1 UYST
00000102e22a8600 -10800 0 UYT
00000106d3bfe480 -7200 1 UYST
00000109ec9c4e00 -10800 0 UYT
0000010e023e3080 -7200 1 UYST
000001113f271e00 -10800 0 UYT
0000011578d58480 -7200 1 UYST
0000011891b1ee00 -10800 0 UYT
0000011ccb605480 -7200 1 UYST
0000011fe43cbe00 -10800 0 UYT
000001241deb2480 -7200 1 UYST
000001275ad41200 -10800 0 UYT
0000012b7075f480 -7200 1 UYST
0000012ead5ee200 -10800 0 UYT
00000132c300c480 -7200 1 UYST
00000135ffe9b200 -10800 0 UYT
0000013a39981880 -7200 1 UYST
0000013d52748200 -10800 0 UYT
000001418c22e880 -7200 1 UYST
00000144a4ff5200 -10800 0 UYT
00000148deadb880 -7200 1 UYST
0000014bf78a2200 -10800 0 UYT
0000015031388880 -7200 1 UYST
000001536e217600 -10800 0 UYT
0000015783c35880 -7200 1 UYST
0000015ac0ac4600 -10800 0 UYT
0000015ed64e2880 -7200 1 UYST
0000016213371600 -10800 0 UYT
000001664ce57c80 -7200 1 UYST
0000016965c1e600 -10800 0 UYT
0000016d9f704c80 -7200 1 UYST
00000170b84cb600 -10800 0 UYT
00000174f1fb1c80 -7200 1 UYST
000001782ee40a00 -10800 0 UYT
0000017c4485ec80 -7200 1 UYST
0000017f816eda00 -10800 0 UYT
000001839710bc80 -7200 1 UYST
00000186d3f9aa00 -10800 0 UYT
0000018ae99b8c80 -7200 1 UYST
0000018e26847a00 -10800 0 UYT
000001926032e080 -7200 1 UYST
00000195790f4a00 -10800 0 UYT
00000199b2bdb080 -7200 1 UYST
0000019ccb9a1a00 -10800 0 UYT
000001a105488080 -7200 1 UYST
000001a442316e00 -10800 0 UYT
000001a857d35080 -7200 1 UYST
000001ab94bc3e00 -10800 0 UYT
000001afaa5e2080 -7200 1 UYST
000001b2e7470e00 -10800 0 UYT
000001b720f57480 -7200 1 UYST
000001ba39d1de00 -10800 0 UYT
000001be73804480 -7200 1 UYST
000001c18c5cae00 -10800 0 UYT
000001c5c60b1480 -7200 1 UYST
000001c902f40200 -10800 0 UYT
000001cd1895e480 -7200 1 UYST
000001d0557ed200 -10800 0 UYT
000001d46b20b480 -7200 1 UYST
000001d7a809a200 -10800 0 UYT
000001dbbdab8480 -7200 1 UYST
000001defa947200 -10800 0 UYT
000001e33442d880 -7200 1 UYST
000001e64d1f4200 -10800 0 UYT
000001ea86cda880 -7200 1 UYST
000001ed9faa1200 -10800 0 UYT
000001f1d9587880 -7200 1 UYST
000001f516416600 -10800 0 UYT
000001f92be34880 -7200 1 UYST
000001fc68cc3600 -10800 0 UYT
000002007e6e1880 -7200 1 UYST
00000203bb570600 -10800 0 UYT
00000207f5056c80 -7200 1 UYST
0000020b0de1d600 -10800 0 UYT
0000020f47903c80 -7200 1 UYST
00000212606ca600 -10800 0 UYT
000002169a1b0c80 -7200 1 UYST
00000219b2f77600 -10800 0 UYT
0000021deca5dc80 -7200 1 UYST
00000221298eca00 -10800 0 UYT
000002253f30ac80 -7200 1 UYST
000002287c199a00 -10800 0 UYT
0000022c91bb7c80 -7200 1 UYST
0000022fcea46a00 -10800 0 UYT
000002340852d080 -7200 1 UYST
00000237212f3a00 -10800 0 UYT
0000023b5adda080 -7200 1 UYST
0000023e73ba0a00 -10800 0 UYT
00000242ad687080 -7200 1 UYST
00000245ea515e00 -10800 0 UYT
00000249fff34080 -7200 1 UYST
0000024d3cdc2e00 -10800 0 UYT
00000251527e1080 -7200 1 UYST
000002548f66fe00 -10800 0 UYT
00000258a508e080 -7200 1 UYST
0000025be1f1ce00 -10800 0 UYT
000002601ba03480 -7200 1 UYST
00000263347c9e00 -10800 0 UYT
000002676e2b0480 -7200 1 UYST
0000026a87076e00 -10800 0 UYT
0000026ec0b5d480 -7200 1 UYST
00000271fd9ec200 -10800 0 UYT
000002761340a480 -7200 1 UYST
0000027950299200 -10800 0 UYT
0000027d65cb7480 -7200 1 UYST
00000280a2b46200 -10800 0 UYT
00000284dc62c880 -7200 1 UYST
00000287f53f3200 -10800 0 UYT
0000028c2eed9880 -7200 1 UYST
0000028f47ca0200 -10800 0 UYT
0000029381786880 -7200 1 UYST
00000296be615600 -10800 0 UYT
0000029ad4033880 -7200 1 UYST
0000029e10ec2600 -10800 0 UYT
000002a2268e0880 -7200 1 UYST
000002a56376f600 -10800 0 UYT
000002a97918d880 -7200 1 UYST
000002acb601c600 -10800 0 UYT
000002b0efb02c80 -7200 1 UYST
000002b4088c9600 -10800 0 UYT
000002b8423afc80 -7200 1 UYST
000002bb5b176600 -10800 0 UYT
000002bf94c5cc80 -7200 1 UYST
000002c2d1aeba00 -10800 0 UYT
000002c6e7509c80 -7200 1 UYST
000002ca24398a00 -10800 0 UYT
000002ce39db6c80 -7200 1 UYST
000002d176c45a00 -10800 0 UYT
000002d5b072c080 -7200 1 UYST
000002d8c94f2a00 -10800 0 UYT
000002dd02fd9080 -7200 1 UYST
000002e01bd9fa00 -10800 0 UYT
000002e455886080 -7200 1 UYST
000002e76e64ca00 -10800 0 UYT
000002eba8133080 -7200 1 UYST
000002eee4fc1e00 -10800 0 UYT
000002f2fa9e0080 -7200 1 UYST
000002f63786ee00 -10800 0 UYT
000002fa4d28d080 -7200 1 UYST
000002fd8a11be00 -10800 0 UYT
00000301c3c02480 -7200 1 UYST
00000304dc9c8e00 -10800 0 UYT
00000309164af480 -7200 1 UYST
0000030c2f275e00 -10800 0 UYT
0000031068d5c480 -7200 1 UYST
00000313a5beb200 -10800 0 UYT
00000317bb609480 -7200 1 UYST
0000031af8498200 -10800 0 UYT
0000031f0deb6480 -7200 1 UYST
000003224ad45200 -10800 0 UYT
0000032660763480 -7200 1 UYST
000003299d5f2200 -10800 0 UYT
0000032dd70d8880 -7200 1 UYST
00000330efe9f200 -10800 0 UYT
0000033529985880 -7200 1 UYST
000003384274c200 -10800 0 UYT
0000033c7c232880 -7200 1 UYST
0000033fb90c1600 -10800 0 UYT
00000343ceadf880 -7200 1 UYST
000003470b96e600 -10800 0 UYT
0000034b2138c880 -7200 1 UYST
0000034e5e21b600 -10800 0 UYT
0000035297d01c80 -7200 1 UYST
00000355b0ac8600 -10800 0 UYT
00000359ea5aec80 -7200 1 UYST
0000035d03375600 -10800 0 UYT
000003613ce5bc80 -7200 1 UYST
0000036479ceaa00 -10800 0 UYT
000003688f708c80 -7200 1 UYST
0000036bcc597a00 -10800 0 UYT
0000036fe1fb5c80 -7200 1 UYST
