=America/Nassau
8000000000000000 -18564 0 LMT
fffffe570fdbd3a0 -18000 0 EST
ffffffd63e6e7580 -14400 1 EDT
ffffffd9e77cef00 -18000 0 EST
ffffffdd90f94580 -14400 1 EDT
ffffffe15e144300 -18000 0 EST
ffffffe4e3841580 -14400 1 EDT
ffffffe8b09f1300 -18000 0 EST
ffffffec5a1b6980 -14400 1 EDT
fffffff00329e300 -18000 0 EST
fffffff3aca63980 -14400 1 EDT
fffffff755b4b300 -18000 0 EST
fffffffaff310980 -14400 1 EDT
fffffffea83f8300 -18000 0 EST
0000000251bbd980 -14400 1 EDT
00000005faca5300 -18000 0 EST
00000009a446a980 -14400 1 EDT
0000000d7161a700 -18000 0 EST
000000111addfd80 -14400 1 EDT
00000014c3ec7700 -18000 0 EST
000000186d68cd80 -14400 1 EDT
0000001c16774700 -18000 0 EST
0000001fbff39d80 -14400 1 EDT
0000002369021700 -18000 0 EST
00000027127e6d80 -14400 1 EDT
0000002abb8ce700 -18000 0 EST
0000002c14600c80 -18000 0 EST
0000002e65093d80 -14400 1 EDT
0000003232243b00 -18000 0 EST
00000035b7940d80 -14400 1 EDT
0000003984af0b00 -18000 0 EST
0000003d2e2b6180 -14400 1 EDT
00000040d739db00 -18000 0 EST
0000004480b63180 -14400 1 EDT
0000004829c4ab00 -18000 0 EST
0000004bd3410180 -14400 1 EDT
0000004f7c4f7b00 -18000 0 EST
0000005325cbd180 -14400 1 EDT
00000056ceda4b00 -18000 0 EST
0000005a7856a180 -14400 1 EDT
0000005e45719f00 -18000 0 EST
00000061cae17180 -14400 1 EDT
0000006597fc6f00 -18000 0 EST
000000694178c580 -14400 1 EDT
0000006cea873f00 -18000 0 EST
0000007094039580 -14400 1 EDT
000000743d120f00 -18000 0 EST
00000077e68e6580 -14400 1 EDT
0000007b8f9cdf00 -18000 0 EST
0000007eccf3a980 -14400 1 EDT
00000082e227af00 -18000 0 EST
000000861f7e7980 -14400 1 EDT
0000008a58bf0300 -18000 0 EST
0000008d72094980 -14400 1 EDT
00000091ab49d300 -18000 0 EST
00000094c4941980 -14400 1 EDT
00000098fdd4a300 -18000 0 EST
0000009c3b2b6d80 -14400 1 EDT
000000a0505f7300 -18000 0 EST
000000a38db63d80 -14400 1 EDT
000000a7a2ea4300 -18000 0 EST
000000aae0410d80 -14400 1 EDT
000000af19819700 -18000 0 EST
000000b232cbdd80 -14400 1 EDT
000000b66c0c6700 -18000 0 EST
000000b98556ad80 -14400 1 EDT
000000bdbe973700 -18000 0 EST
000000c0fbee0180 -14400 1 EDT
000000c511220700 -18000 0 EST
000000c84e78d180 -14400 1 EDT
000000cc63acd700 -18000 0 EST
000000cfa103a180 -14400 1 EDT
000000d3b637a700 -18000 0 EST
000000d6f38e7180 -14400 1 EDT
000000db2ccefb00 -18000 0 EST
000000de46194180 -14400 1 EDT
000000e27f59cb00 -18000 0 EST
000000e598a41180 -14400 1 EDT
000000e9d1e49b00 -18000 0 EST
000000ed0f3b6580 -14400 1 EDT
000000f1246f6b00 -18000 0 EST
000000f461c63580 -14400 1 EDT
000000f876fa3b00 -18000 0 EST
000000fbb4510580 -14400 1 EDT
000000ffed918f00 -18000 0 EST
0000010306dbd580 -14400 1 EDT
00000107401c5f00 -18000 0 EST
0000010a5966a580 -14400 1 EDT
0000010e92a72f00 -18000 0 EST
000001113fcbe980 -14400 1 EDT
00000116093e8300 -18000 0 EST
000001189256b980 -14400 1 EDT
0000011d5bc95300 -18000 0 EST
0000011fe4e18980 -14400 1 EDT
00000124ae542300 -18000 0 EST
000001275b78dd80 -14400 1 EDT
0000012c24eb7700 -18000 0 EST
0000012eae03ad80 -14400 1 EDT
0000013377764700 -18000 0 EST
00000136008e7d80 -14400 1 EDT
0000013aca011700 -18000 0 EST
0000013d53194d80 -14400 1 EDT
000001421c8be700 -18000 0 EST
00000144a5a41d80 -14400 1 EDT
000001496f16b700 -18000 0 EST
0000014bf82eed80 -14400 1 EDT
00000150c1a18700 -18000 0 EST
000001536ec64180 -14400 1 EDT
000001583838db00 -18000 0 EST
0000015ac1511180 -14400 1 EDT
0000015f8ac3ab00 -18000 0 EST
0000016213dbe180 -14400 1 EDT
00000166dd4e7b00 -18000 0 EST
000001696666b180 -14400 1 EDT
0000016e2fd94b00 -18000 0 EST
00000170b8f18180 -14400 1 EDT
0000017582641b00 -18000 0 EST
000001782f88d580 -14400 1 EDT
0000017cf8fb6f00 -18000 0 EST
0000017f8213a580 -14400 1 EDT
000001844b863f00 -18000 0 EST
00000186d49e7580 -14400 1 EDT
0000018b9e110f00 -18000 0 EST
0000018e27294580 -14400 1 EDT
00000192f09bdf00 -18000 0 EST
0000019579b41580 -14400 1 EDT
0000019a4326af00 -18000 0 EST
0000019ccc3ee580 -14400 1 EDT
000001a195b17f00 -18000 0 EST
000001a442d63980 -14400 1 EDT
000001a90c48d300 -18000 0 EST
000001ab95610980 -14400 1 EDT
000001b05ed3a300 -18000 0 EST
000001b2e7ebd980 -14400 1 EDT
000001b7b15e7300 -18000 0 EST
000001ba3a76a980 -14400 1 EDT
000001bf03e94300 -18000 0 EST
000001c18d017980 -14400 1 EDT
000001c656741300 -18000 0 EST
000001c90398cd80 -14400 1 EDT
000001cdcd0b6700 -18000 0 EST
000001d056239d80 -14400 1 EDT
000001d51f963700 -18000 0 EST
000001d7a8ae6d80 -14400 1 EDT
000001dc72210700 -18000 0 EST
000001defb393d80 -14400 1 EDT
000001e3c4abd700 -18000 0 EST
000001e64dc40d80 -14400 1 EDT
000001eb1736a700 -18000 0 EST
000001eda04edd80 -14400 1 EDT
000001f269c17700 -18000 0 EST
000001f516e63180 -14400 1 EDT
000001f9e058cb00 -18000 0 EST
000001fc69710180 -14400 1 EDT
0000020132e39b00 -18000 0 EST
00000203bbfbd180 -14400 1 EDT
00000208856e6b00 -18000 0 EST
0000020b0e86a180 -14400 1 EDT
0000020fd7f93b00 -18000 0 EST
0000021261117180 -14400 1 EDT
