=America/Noronha
8000000000000000 -7780 0 LMT
fffffe64899c0ea0 -7200 0 FNT
fffffee6fb81a480 -3600 1 FNST
fffffeea9d0d8280 -7200 0 FNT
fffffeee55fced00 -3600 1 FNST
fffffef1f4beae80 -7200 0 FNT
ffffff6c6d317d00 -3600 1 FNST
ffffff6f29925d00 -7200 0 FNT
ffffff73c4e2a900 -3600 1 FNST
ffffff7633cd3680 -7200 0 FNT
ffffff7b1c93d500 -3600 1 FNST
ffffff7d90a4be80 -7200 0 FNT
ffffff82796b5d00 -3600 1 FNST
ffffff8448b0c680 -7200 0 FNT
ffffffd37187d900 -3600 1 FNST
ffffffd51cc0be80 -7200 0 FNT
ffffffdbdf506d00 -3600 1 FNST
ffffffdd0ef0b280 -7200 0 FNT
ffffffe1fcddad00 -3600 1 FNST
ffffffe3cc231680 -7200 0 FNT
ffffffe8ba101100 -3600 1 FNST
ffffffeb23d44280 -7200 0 FNT
fffffff011c13d00 -3600 1 FNST
fffffff280abca80 -7200 0 FNT
000000745b1c7d00 -3600 1 FNST
0000007707d35a80 -7200 0 FNT
0000007b899ac900 -3600 1 FNST
0000007dca2c1a80 -7200 0 FNT
00000082e14bf500 -3600 1 FNST
00000084fdd0c280 -7200 0 FNT
0000008a0fca4100 -3600 1 FNST
0000008c2c4f0e80 -7200 0 FNT
0000009162551100 -3600 1 FNST
00000093c6f2e680 -7200 0 FNT
00000098299d3e80 -7200 0 FNT
000000da8c4e1d00 -7200 0 FNT
000000da9bc13100 -3600 1 FNST
000000dd90911680 -7200 0 FNT
000000e212588500 -3600 1 FNST
000000e2362e1a80 -7200 0 FNT
000000e8e94ab500 -7200 0 FNT
000000e988efd900 -3600 1 FNST
000000ec119a3280 -7200 0 FNT
000000f09d776a80 -7200 0 FNT
