=America/Port-au-Prince
8000000000000000 -17360 0 LMT
fffffdb437d25080 -17340 0 PPMT
fffffe7b0f6d4060 -18000 0 EST
00000062128c9c80 -14400 1 EDT
00000065978e9200 -18000 0 EST
00000069410ae880 -14400 1 EDT
0000006cea196200 -18000 0 EST
000000709395b880 -14400 1 EDT
000000743ca43200 -18000 0 EST
00000077e6208880 -14400 1 EDT
0000007b8f2f0200 -18000 0 EST
0000007f38ab5880 -14400 1 EDT
00000082e1b9d200 -18000 0 EST
000000861f478b00 -14400 1 EDT
0000008a58bf0300 -18000 0 EST
0000008d71d25b00 -14400 1 EDT
00000091ab49d300 -18000 0 EST
00000094c45d2b00 -14400 1 EDT
00000098fdd4a300 -18000 0 EST
0000009c3af47f00 -14400 1 EDT
000000a0505f7300 -18000 0 EST
000000a38d7f4f00 -14400 1 EDT
000000a7a2ea4300 -18000 0 EST
000000aae00a1f00 -14400 1 EDT
000000af19819700 -18000 0 EST
000000b23294ef00 -14400 1 EDT
000000b66c0c6700 -18000 0 EST
000000b9851fbf00 -14400 1 EDT
000000bdbe973700 -18000 0 EST
000000c0fbb71300 -14400 1 EDT
000000c511220700 -18000 0 EST
000000c84e41e300 -14400 1 EDT
000000cc63acd700 -18000 0 EST
00000103066df880 -14400 1 EDT
000001073fae8200 -18000 0 EST
0000010a58f8c880 -14400 1 EDT
0000010e92395200 -18000 0 EST
00000136008e7d80 -14400 1 EDT
0000013aca011700 -18000 0 EST
