=America/Regina
8000000000000000 -25116 0 LMT
fffffe274e86a560 -25200 0 MST
fffffe84016dca80 -21600 1 MDT
fffffe87f2954c00 -25200 0 MST
fffffedc93c04180 -21600 1 MDT
fffffedfac9cab00 -25200 0 MST
fffffee3e64b1180 -21600 1 MDT
fffffee6ff277b00 -25200 0 MST
fffffeeb38d5e180 -21600 1 MDT
fffffeee51b24b00 -25200 0 MST
fffffef2af6d3580 -21600 1 MDT
fffffef5a43d1b00 -25200 0 MST
fffffefa01f80580 -21600 1 MDT
fffffefd1ad46f00 -25200 0 MST
ffffff0f8d72e980 -21600 1 MDT
ffffff1336816300 -25200 0 MST
ffffff16dffdb980 -21600 1 MDT
ffffff1a64ffaf00 -25200 0 MST
ffffff1e32888980 -21600 1 MDT
ffffff21db970300 -25200 0 MST
ffffff25a91fdd80 -21600 1 MDT
ffffff29522e5700 -25200 0 MST
ffffff2cfbaaad80 -21600 1 MDT
ffffff30a4b92700 -25200 0 MST
ffffff330f591280 -21600 1 MWT
ffffff4cdc72d580 -21600 1 MPT
ffffff4dcb45c000 -25200 0 MST
ffffff51bcdb1e80 -21600 1 MDT
ffffff5565e99800 -25200 0 MST
ffffff59577ef680 -21600 1 MDT
ffffff5c705b6000 -25200 0 MST
ffffff60aa09c680 -21600 1 MDT
ffffff63c2e63000 -25200 0 MST
ffffff67fc949680 -21600 1 MDT
ffffff6b15710000 -25200 0 MST
ffffff6f732bea80 -21600 1 MDT
ffffff7267fbd000 -25200 0 MST
ffffff76c5b6ba80 -21600 1 MDT
ffffff79de932400 -25200 0 MST
ffffff7e18418a80 -21600 1 MDT
ffffff81311df400 -25200 0 MST
ffffff856acc5a80 -21600 1 MDT
ffffff8883a8c400 -25200 0 MST
ffffff8cbd572a80 -21600 1 MDT
ffffff8fd6339400 -25200 0 MST
ffffff940fe1fa80 -21600 1 MDT
ffffff9728be6400 -25200 0 MST
ffffff9b86794e80 -21600 1 MDT
ffffff9e9f55b800 -25200 0 MST
ffffffa2d9041e80 -21600 1 MDT
ffffffa5f1e08800 -25200 0 MST
ffffffb17e19be80 -21600 1 MDT
ffffffb527283800 -25200 0 MST
ffffffb8d0a48e80 -21600 0 CST
