=America/Rio_Branco
8000000000000000 -16272 0 LMT
fffffe648a1da280 -18000 0 ACT
fffffee6fc267000 -14400 1 ACST
fffffeea9db24e00 -18000 0 ACT
fffffeee56a1b880 -14400 1 ACST
fffffef1f5637a00 -18000 0 ACT
ffffff6c6dd64880 -14400 1 ACST
ffffff6f2a372880 -18000 0 ACT
ffffff73c5877480 -14400 1 ACST
ffffff7634720200 -18000 0 ACT
ffffff7b1d38a080 -14400 1 ACST
ffffff7d91498a00 -18000 0 ACT
ffffff827a102880 -14400 1 ACST
ffffff8449559200 -18000 0 ACT
ffffffd3722ca480 -14400 1 ACST
ffffffd51d658a00 -18000 0 ACT
ffffffdbdff53880 -14400 1 ACST
ffffffdd0f957e00 -18000 0 ACT
ffffffe1fd827880 -14400 1 ACST
ffffffe3ccc7e200 -18000 0 ACT
ffffffe8bab4dc80 -14400 1 ACST
ffffffeb24790e00 -18000 0 ACT
fffffff012660880 -14400 1 ACST
fffffff281509600 -18000 0 ACT
000000745bc14880 -14400 1 ACST
0000007708782600 -18000 0 ACT
0000007b8a3f9480 -14400 1 ACST
0000007dcad0e600 -18000 0 ACT
00000082e1f0c080 -14400 1 ACST
00000084fe758e00 -18000 0 ACT
00000089611fe600 -18000 0 ACT
0000011ab8f15080 -14400 0 AMT
