=America/Santa_Isabel
8000000000000000 -27568 0 LMT
fffffe9f52b2e400 -25200 0 MST
fffffeae01de4d80 -28800 0 PST
fffffec74b380980 -25200 0 MST
fffffee07ff85580 -28800 0 PST
fffffee341b68000 -25200 1 PDT
fffffee6eac4f980 -28800 0 PST
ffffff348c38bc00 -25200 1 PWT
ffffff4cdc72d580 -25200 1 PPT
ffffff4ea8804580 -28800 0 PST
ffffff6042d3a800 -25200 1 PDT
ffffff65f92ac980 -28800 0 PST
ffffff8a720b4400 -28800 0 PST
ffffff8cbd8e1900 -25200 1 PDT
ffffff8fd66a8280 -28800 0 PST
ffffff941018e900 -25200 1 PDT
ffffff9728f55280 -28800 0 PST
ffffff9b86b03d00 -25200 1 PDT
ffffff9e9f8ca680 -28800 0 PST
ffffffa2d93b0d00 -25200 1 PDT
ffffffa5f2177680 -28800 0 PST
ffffffaa2bc5dd00 -25200 1 PDT
ffffffad44a24680 -28800 0 PST
ffffffb17e50ad00 -25200 1 PDT
ffffffb4972d1680 -28800 0 PST
ffffffb8d0db7d00 -25200 1 PDT
ffffffbbe9b7e680 -28800 0 PST
ffffffbde2303000 -28800 0 PST
0000002c1504d800 -28800 0 PST
0000002e65ae0900 -25200 1 PDT
0000003232c90680 -28800 0 PST
00000035b838d900 -25200 1 PDT
000000398553d680 -28800 0 PST
0000003d2ed02d00 -25200 1 PDT
00000040d7dea680 -28800 0 PST
00000044815afd00 -25200 1 PDT
000000482a697680 -28800 0 PST
0000004bd3e5cd00 -25200 1 PDT
0000004f7cf44680 -28800 0 PST
0000005326709d00 -25200 1 PDT
00000056cf7f1680 -28800 0 PST
0000005a78fb6d00 -25200 1 PDT
0000005e46166a80 -28800 0 PST
00000061cb863d00 -25200 1 PDT
0000006598a13a80 -28800 0 PST
00000069421d9100 -25200 1 PDT
0000006ceb2c0a80 -28800 0 PST
0000007094a86100 -25200 1 PDT
000000743db6da80 -28800 0 PST
00000077e7333100 -25200 1 PDT
0000007b9041aa80 -28800 0 PST
0000007ecd987500 -25200 1 PDT
00000082e2cc7a80 -28800 0 PST
0000008620234500 -25200 1 PDT
0000008a5963ce80 -28800 0 PST
0000008d72ae1500 -25200 1 PDT
00000091abee9e80 -28800 0 PST
00000094c538e500 -25200 1 PDT
00000098fe796e80 -28800 0 PST
0000009c3bd03900 -25200 1 PDT
000000a051043e80 -28800 0 PST
000000a38e5b0900 -25200 1 PDT
000000a7a38f0e80 -28800 0 PST
000000aae0e5d900 -25200 1 PDT
000000af1a266280 -28800 0 PST
000000b23370a900 -25200 1 PDT
000000b66cb13280 -28800 0 PST
000000b985fb7900 -25200 1 PDT
000000bdbf3c0280 -28800 0 PST
000000bf089c1400 -28800 0 PST
000000c0fc92cd00 -25200 1 PDT
000000c511c6d280 -28800 0 PST
000000c84f1d9d00 -25200 1 PDT
000000cc6451a280 -28800 0 PST
000000cfa1a86d00 -25200 1 PDT
000000d3b6dc7280 -28800 0 PST
000000d6f4333d00 -25200 1 PDT
000000db2d73c680 -28800 0 PST
000000de46be0d00 -25200 1 PDT
000000e27ffe9680 -28800 0 PST
000000e3c95ea800 -28800 0 PST
000000e59948dd00 -25200 1 PDT
000000e9d2896680 -28800 0 PST
000000ec228dcc00 -28800 0 PST
000000ed0fe03100 -25200 1 PDT
000000f125143680 -28800 0 PST
000000f4626b0100 -25200 1 PDT
000000f8779f0680 -28800 0 PST
000000fbb4f5d100 -25200 1 PDT
000000ffee365a80 -28800 0 PST
000001030780a100 -25200 1 PDT
0000010740c12a80 -28800 0 PST
0000010a5a0b7100 -25200 1 PDT
0000010e934bfa80 -28800 0 PST
00000111ac964100 -25200 1 PDT
00000115e5d6ca80 -28800 0 PST
00000119232d9500 -25200 1 PDT
0000011d38619a80 -28800 0 PST
0000012075b86500 -25200 1 PDT
000001248aec6a80 -28800 0 PST
00000127c8433500 -25200 1 PDT
0000012c0183be80 -28800 0 PST
0000012f1ace0500 -25200 1 PDT
00000133540e8e80 -28800 0 PST
000001366d58d500 -25200 1 PDT
0000013aa6995e80 -28800 0 PST
0000013de3f02900 -25200 1 PDT
00000141f9242e80 -28800 0 PST
00000145367af900 -25200 1 PDT
000001494baefe80 -28800 0 PST
0000014c8905c900 -25200 1 PDT
000001509e39ce80 -28800 0 PST
00000153db909900 -25200 1 PDT
0000015814d12280 -28800 0 PST
0000015b2e1b6900 -25200 1 PDT
0000015f675bf280 -28800 0 PST
0000016280a63900 -25200 1 PDT
00000166b9e6c280 -28800 0 PST
00000169f73d8d00 -25200 1 PDT
0000016e0c719280 -28800 0 PST
0000017149c85d00 -25200 1 PDT
000001755efc6280 -28800 0 PST
000001789c532d00 -25200 1 PDT
0000017cd593b680 -28800 0 PST
0000017feeddfd00 -25200 1 PDT
00000184281e8680 -28800 0 PST
000001874168cd00 -25200 1 PDT
0000018b7aa95680 -28800 0 PST
0000018eb8002100 -25200 1 PDT
00000192cd342680 -28800 0 PST
000001960a8af100 -25200 1 PDT
0000019a1fbef680 -28800 0 PST
0000019d5d15c100 -25200 1 PDT
000001a17249c680 -28800 0 PST
000001a4afa09100 -25200 1 PDT
000001a8e8e11a80 -28800 0 PST
000001ac022b6100 -25200 1 PDT
000001b03b6bea80 -28800 0 PST
000001b354b63100 -25200 1 PDT
000001b78df6ba80 -28800 0 PST
000001bacb4d8500 -25200 1 PDT
000001bee0818a80 -28800 0 PST
000001c21dd85500 -25200 1 PDT
000001c6330c5a80 -28800 0 PST
000001c970632500 -25200 1 PDT
000001cda9a3ae80 -28800 0 PST
000001d0c2edf500 -25200 1 PDT
000001d4fc2e7e80 -28800 0 PST
000001d81578c500 -25200 1 PDT
000001dc4eb94e80 -28800 0 PST
000001df68039500 -25200 1 PDT
000001e3a1441e80 -28800 0 PST
000001e6de9ae900 -25200 1 PDT
000001eaf3ceee80 -28800 0 PST
000001ee3125b900 -25200 1 PDT
000001f24659be80 -28800 0 PST
000001f583b08900 -25200 1 PDT
000001f9bcf11280 -28800 0 PST
000001fcd63b5900 -25200 1 PDT
000002010f7be280 -28800 0 PST
0000020428c62900 -25200 1 PDT
000002086206b280 -28800 0 PST
0000020b9f5d7d00 -25200 1 PDT
0000020fb4918280 -28800 0 PST
00000212f1e84d00 -25200 1 PDT
00000217071c5280 -28800 0 PST
0000021a44731d00 -25200 1 PDT
0000021e59a72280 -28800 0 PST
0000022196fded00 -25200 1 PDT
00000225d03e7680 -28800 0 PST
00000228e988bd00 -25200 1 PDT
0000022d22c94680 -28800 0 PST
000002303c138d00 -25200 1 PDT
0000023475541680 -28800 0 PST
00000237b2aae100 -25200 1 PDT
0000023bc7dee680 -28800 0 PST
0000023f0535b100 -25200 1 PDT
000002431a69b680 -28800 0 PST
0000024657c08100 -25200 1 PDT
0000024a91010a80 -28800 0 PST
0000024daa4b5100 -25200 1 PDT
00000251e38bda80 -28800 0 PST
00000254fcd62100 -25200 1 PDT
000002593616aa80 -28800 0 PST
0000025c736d7500 -25200 1 PDT
0000026088a17a80 -28800 0 PST
