=America/Santiago
8000000000000000 -16966 0 LMT
fffffdb437cc4d70 -16966 0 SMT
fffffe47263d2d70 -18000 0 CLT
fffffe76e2dfc080 -16966 0 SMT
fffffe86d17c9970 -14400 0 CLT
fffffe8ce9bc5600 -16966 0 SMT
fffffec8f103dd70 -18000 0 CLT
fffffec8f113a480 -14400 1 CLST
fffffecd39c74200 -18000 0 CLT
fffffed04deb2c80 -14400 1 CLST
fffffed491786e00 -18000 0 CLT
fffffed7a59c5880 -14400 1 CLST
fffffedbe9299a00 -18000 0 CLT
fffffedefd4d8480 -14400 1 CLST
fffffee340dac600 -18000 0 CLT
fffffee654feb080 -14400 1 CLST
fffffeea9db24e00 -18000 0 CLT
fffffeedb1d63880 -14400 1 CLST
ffffff354f0eaa00 -18000 0 CLT
ffffff3689698480 -14400 1 CLST
ffffff5395918600 -14400 1 CLST
ffffff548c8bd780 -18000 0 CLT
ffffff58d086f600 -18000 0 CLT
ffffff59d7623880 -14400 0 CLT
fffffff779535a00 -10800 1 CLST
fffffffa6e233f80 -14400 0 CLT
ffffffff3803b600 -10800 1 CLST
00000001c0ae0f80 -14400 0 CLT
00000005b2436e00 -10800 1 CLST
00000008cb1fd780 -14400 0 CLT
0000000d04ce3e00 -10800 1 CLST
000000101daaa780 -14400 0 CLT
000000147b659200 -10800 1 CLST
0000001770357780 -14400 0 CLT
0000001b85d75a00 -10800 1 CLST
0000001ec2c04780 -14400 0 CLT
00000023207b3200 -10800 1 CLST
00000026154b1780 -14400 0 CLT
0000002a73060200 -10800 1 CLST
0000002d8be26b80 -14400 0 CLT
00000031c590d200 -10800 1 CLST
00000034de6d3b80 -14400 0 CLT
00000039181ba200 -10800 1 CLST
0000003c30f80b80 -14400 0 CLT
000000408eb2f600 -10800 1 CLST
000000438382db80 -14400 0 CLT
00000047e13dc600 -10800 1 CLST
0000004ad60dab80 -14400 0 CLT
0000004f33c89600 -10800 1 CLST
000000524ca4ff80 -14400 0 CLT
0000005686536600 -10800 1 CLST
000000599f2fcf80 -14400 0 CLT
0000005dd8de3600 -10800 1 CLST
00000060f1ba9f80 -14400 0 CLT
000000652b690600 -10800 1 CLST
0000006844456f80 -14400 0 CLT
0000006ca2005a00 -10800 1 CLST
0000006f96d03f80 -14400 0 CLT
00000073f48b2a00 -10800 1 CLST
00000076e95b0f80 -14400 0 CLT
0000007b4715fa00 -10800 1 CLST
0000007ef0247380 -14400 0 CLT
0000008299a0ca00 -10800 1 CLST
00000085b27d3380 -14400 0 CLT
00000089c81f1600 -10800 1 CLST
0000008d05080380 -14400 0 CLT
0000009162c2ee00 -10800 1 CLST
000000947b9f5780 -14400 0 CLT
00000098251bae00 -10800 1 CLST
0000009baa1da380 -14400 0 CLT
000000a007d88e00 -10800 1 CLST
000000a320b4f780 -14400 0 CLT
000000a75a635e00 -10800 1 CLST
000000aa733fc780 -14400 0 CLT
000000aeacee2e00 -10800 1 CLST
000000b1c5ca9780 -14400 0 CLT
000000b5ff78fe00 -10800 1 CLST
000000b918556780 -14400 0 CLT
000000bd76105200 -10800 1 CLST
000000c06ae03780 -14400 0 CLT
000000c4c89b2200 -10800 1 CLST
000000c829909380 -14400 0 CLT
000000cc1b25f200 -10800 1 CLST
000000cf34025b80 -14400 0 CLT
000000d32597ba00 -10800 1 CLST
000000d6f2b2b780 -14400 0 CLT
000000dac03b9200 -10800 1 CLST
000000ddd917fb80 -14400 0 CLT
