=America/Santo_Domingo
8000000000000000 -16776 0 LMT
fffffdb437c96740 -16800 0 SDMT
fffffef1f81b4700 -18000 0 EST
ffffffe8b0682480 -14400 1 EDT
ffffffeb1f52b200 -18000 0 EST
fffffffea8089480 -16200 1 EHDT
00000001079b8540 -18000 0 EST
00000005fa936480 -16200 1 EHDT
00000007ba813140 -18000 0 EST
0000000d712ab880 -16200 1 EHDT
0000000f1758b940 -18000 0 EST
00000014c3b58880 -16200 1 EHDT
0000001674304140 -18000 0 EST
0000001c16405880 -16200 1 EHDT
0000001dcbe16d40 -18000 0 EST
0000002368cb2880 -14400 0 AST
000000e333985f00 -14400 0 AST
