=America/Sao_Paulo
8000000000000000 -11188 0 LMT
fffffe6489d00f20 -10800 0 BRT
fffffee6fbb89300 -7200 1 BRST
fffffeea9d447100 -10800 0 BRT
fffffeee5633db80 -7200 1 BRST
fffffef1f4f59d00 -10800 0 BRT
ffffff6c6d686b80 -7200 1 BRST
ffffff6f29c94b80 -10800 0 BRT
ffffff73c5199780 -7200 1 BRST
ffffff7634042500 -10800 0 BRT
ffffff7b1ccac380 -7200 1 BRST
ffffff7d90dbad00 -10800 0 BRT
ffffff8279a24b80 -7200 1 BRST
ffffff8448e7b500 -10800 0 BRT
ffffffd27f7cf500 -7200 1 BRST
ffffffd3e7fa1d00 -7200 0 BRT
ffffffd51cf7ad00 -10800 0 BRT
ffffffdbdf875b80 -7200 1 BRST
ffffffdd0f27a100 -10800 0 BRT
ffffffe1fd149b80 -7200 1 BRST
ffffffe3cc5a0500 -10800 0 BRT
ffffffe8ba46ff80 -7200 1 BRST
ffffffeb240b3100 -10800 0 BRT
fffffff011f82b80 -7200 1 BRST
fffffff280e2b900 -10800 0 BRT
000000745b536b80 -7200 1 BRST
00000077080a4900 -10800 0 BRT
0000007b89d1b780 -7200 1 BRST
0000007dca630900 -10800 0 BRT
00000082e182e380 -7200 1 BRST
00000084fe07b100 -10800 0 BRT
0000008a10012f80 -7200 1 BRST
0000008c2c85fd00 -10800 0 BRT
00000091628bff80 -7200 1 BRST
00000093c729d500 -10800 0 BRT
00000098d9235380 -7200 1 BRST
0000009b3dc12900 -10800 0 BRT
000000a02bae2380 -7200 1 BRST
000000a26c3f7500 -10800 0 BRT
000000a7a2457780 -7200 1 BRST
000000a99abdc100 -10800 0 BRT
000000aed0c3c380 -7200 1 BRST
000000b1596e1d00 -10800 0 BRT
000000b6234e9380 -7200 1 BRST
000000b8abf8ed00 -10800 0 BRT
000000bd75d96380 -7200 1 BRST
000000bfda773900 -10800 0 BRT
000000c4a457af80 -7200 1 BRST
000000c7510e8d00 -10800 0 BRT
000000cbfc08db80 -7200 1 BRST
000000ceebb26500 -10800 0 BRT
000000d36d79d380 -7200 1 BRST
000000d61a30b100 -10800 0 BRT
000000da9bf81f80 -7200 1 BRST
000000dd90c80500 -10800 0 BRT
000000e2128f7380 -7200 1 BRST
000000e4bf465100 -10800 0 BRT
000000e98926c780 -7200 1 BRST
000000ec11d12100 -10800 0 BRT
000000f147d72380 -7200 1 BRST
000000f3645bf100 -10800 0 BRT
000000f85248eb80 -7200 1 BRST
000000fab6e6c100 -10800 0 BRT
000000fff7397b80 -7200 1 BRST
000001022d7e1500 -10800 0 BRT
00000106f75e8b80 -7200 1 BRST
000001098008e500 -10800 0 BRT
0000010eb60ee780 -7200 1 BRST
00000110f6a03900 -10800 0 BRT
000001159c742b80 -7200 1 BRST
00000118251e8500 -10800 0 BRT
0000011d130b7f80 -7200 1 BRST
0000011f77a95500 -10800 0 BRT
0000012465964f80 -7200 1 BRST
00000126ee40a900 -10800 0 BRT
0000012bb8211f80 -7200 1 BRST
0000012e40cb7900 -10800 0 BRT
000001330aabef80 -7200 1 BRST
00000135b762cd00 -10800 0 BRT
0000013a81434380 -7200 1 BRST
0000013ce5e11900 -10800 0 BRT
00000141d3ce1380 -7200 1 BRST
00000144386be900 -10800 0 BRT
000001492658e380 -7200 1 BRST
0000014baf033d00 -10800 0 BRT
0000015078e3b380 -7200 1 BRST
00000153018e0d00 -10800 0 BRT
00000157cb6e8380 -7200 1 BRST
0000015a5418dd00 -10800 0 BRT
0000015f1df95380 -7200 1 BRST
00000161a6a3ad00 -10800 0 BRT
000001669490a780 -7200 1 BRST
00000168f92e7d00 -10800 0 BRT
0000016de71b7780 -7200 1 BRST
000001704bb94d00 -10800 0 BRT
0000017539a64780 -7200 1 BRST
00000177c250a100 -10800 0 BRT
0000017c8c311780 -7200 1 BRST
0000017f14db7100 -10800 0 BRT
00000183debbe780 -7200 1 BRST
000001868b72c500 -10800 0 BRT
0000018b3146b780 -7200 1 BRST
0000018db9f11100 -10800 0 BRT
00000192a7de0b80 -7200 1 BRST
000001950c7be100 -10800 0 BRT
00000199fa68db80 -7200 1 BRST
0000019c83133500 -10800 0 BRT
000001a14cf3ab80 -7200 1 BRST
000001a3d59e0500 -10800 0 BRT
000001a89f7e7b80 -7200 1 BRST
000001ab2828d500 -10800 0 BRT
000001aff2094b80 -7200 1 BRST
000001b27ab3a500 -10800 0 BRT
000001b768a09f80 -7200 1 BRST
000001b9cd3e7500 -10800 0 BRT
000001bebb2b6f80 -7200 1 BRST
000001c11fc94500 -10800 0 BRT
000001c60db63f80 -7200 1 BRST
000001c872541500 -10800 0 BRT
000001cd60410f80 -7200 1 BRST
000001cfe8eb6900 -10800 0 BRT
000001d4b2cbdf80 -7200 1 BRST
000001d75f82bd00 -10800 0 BRT
000001dc0556af80 -7200 1 BRST
000001de8e010900 -10800 0 BRT
000001e37bee0380 -7200 1 BRST
000001e5e08bd900 -10800 0 BRT
000001eace78d380 -7200 1 BRST
000001ed57232d00 -10800 0 BRT
000001f22103a380 -7200 1 BRST
000001f4a9adfd00 -10800 0 BRT
000001f9738e7380 -7200 1 BRST
000001fbfc38cd00 -10800 0 BRT
00000200c6194380 -7200 1 BRST
000002034ec39d00 -10800 0 BRT
000002083cb09780 -7200 1 BRST
0000020aa14e6d00 -10800 0 BRT
0000020f8f3b6780 -7200 1 BRST
00000211f3d93d00 -10800 0 BRT
00000216e1c63780 -7200 1 BRST
0000021946640d00 -10800 0 BRT
0000021e34510780 -7200 1 BRST
00000220bcfb6100 -10800 0 BRT
0000022586dbd780 -7200 1 BRST
000002280f863100 -10800 0 BRT
0000022cd966a780 -7200 1 BRST
0000022f62110100 -10800 0 BRT
000002344ffdfb80 -7200 1 BRST
00000236b49bd100 -10800 0 BRT
0000023ba288cb80 -7200 1 BRST
0000023e0726a100 -10800 0 BRT
00000242f5139b80 -7200 1 BRST
000002457dbdf500 -10800 0 BRT
0000024a479e6b80 -7200 1 BRST
0000024cd048c500 -10800 0 BRT
000002519a293b80 -7200 1 BRST
0000025422d39500 -10800 0 BRT
00000258ecb40b80 -7200 1 BRST
0000025b755e6500 -10800 0 BRT
00000260634b5f80 -7200 1 BRST
00000262c7e93500 -10800 0 BRT
00000267b5d62f80 -7200 1 BRST
0000026a1a740500 -10800 0 BRT
0000026f0860ff80 -7200 1 BRST
00000271910b5900 -10800 0 BRT
000002765aebcf80 -7200 1 BRST
00000278e3962900 -10800 0 BRT
0000027dad769f80 -7200 1 BRST
000002803620f900 -10800 0 BRT
00000285240df380 -7200 1 BRST
0000028788abc900 -10800 0 BRT
0000028c7698c380 -7200 1 BRST
0000028edb369900 -10800 0 BRT
00000293c9239380 -7200 1 BRST
000002962dc16900 -10800 0 BRT
0000029b1bae6380 -7200 1 BRST
0000029da458bd00 -10800 0 BRT
000002a26e393380 -7200 1 BRST
000002a4f6e38d00 -10800 0 BRT
000002a9c0c40380 -7200 1 BRST
000002ac496e5d00 -10800 0 BRT
000002b1375b5780 -7200 1 BRST
000002b39bf92d00 -10800 0 BRT
000002b889e62780 -7200 1 BRST
000002baee83fd00 -10800 0 BRT
000002bfdc70f780 -7200 1 BRST
000002c2651b5100 -10800 0 BRT
000002c72efbc780 -7200 1 BRST
000002c9b7a62100 -10800 0 BRT
000002ce81869780 -7200 1 BRST
000002d10a30f100 -10800 0 BRT
000002d5f81deb80 -7200 1 BRST
000002d85cbbc100 -10800 0 BRT
000002dd4aa8bb80 -7200 1 BRST
000002dfaf469100 -10800 0 BRT
000002e49d338b80 -7200 1 BRST
000002e701d16100 -10800 0 BRT
000002ebefbe5b80 -7200 1 BRST
000002ee7868b500 -10800 0 BRT
000002f342492b80 -7200 1 BRST
000002f5caf38500 -10800 0 BRT
000002fa94d3fb80 -7200 1 BRST
000002fd1d7e5500 -10800 0 BRT
000003020b6b4f80 -7200 1 BRST
0000030470092500 -10800 0 BRT
000003095df61f80 -7200 1 BRST
0000030bc293f500 -10800 0 BRT
00000310b080ef80 -7200 1 BRST
00000313392b4900 -10800 0 BRT
00000318030bbf80 -7200 1 BRST
0000031a8bb61900 -10800 0 BRT
0000031f55968f80 -7200 1 BRST
00000321de40e900 -10800 0 BRT
00000326a8215f80 -7200 1 BRST
0000032930cbb900 -10800 0 BRT
0000032e1eb8b380 -7200 1 BRST
0000033083568900 -10800 0 BRT
0000033571438380 -7200 1 BRST
00000337d5e15900 -10800 0 BRT
0000033cc3ce5380 -7200 1 BRST
0000033f4c78ad00 -10800 0 BRT
0000034416592380 -7200 1 BRST
000003469f037d00 -10800 0 BRT
0000034b68e3f380 -7200 1 BRST
0000034df18e4d00 -10800 0 BRT
00000352df7b4780 -7200 1 BRST
0000035544191d00 -10800 0 BRT
0000035a32061780 -7200 1 BRST
