=America/St_Johns
8000000000000000 -12652 0 LMT
fffffd881f16b9e0 -12652 0 NST
fffffe7c8a16fee0 -9052 1 NDT
fffffe7fcc264860 -12652 0 NST
fffffe81edd171e0 -12652 0 NST
fffffe8400ae52e0 -9052 1 NDT
fffffe87f1d5d460 -12652 0 NST
fffffe8945829de0 -12652 0 NST
fffffe8bc9069b60 -9052 1 NDT
fffffe8dc6a540e0 -12652 0 NST
fffffe93166b0f60 -9052 1 NDT
fffffe96bf7988e0 -12652 0 NST
fffffe9a68f5df60 -9052 1 NDT
fffffe9e120458e0 -12652 0 NST
fffffea1df8d3360 -9052 1 NDT
fffffea5648f28e0 -12652 0 NST
fffffea932180360 -9052 1 NDT
fffffeacb719f8e0 -12652 0 NST
fffffeb084a2d360 -9052 1 NDT
fffffeb409a4c8e0 -12652 0 NST
fffffeb7d72da360 -9052 1 NDT
fffffebb5c2f98e0 -12652 0 NST
fffffebf29b87360 -9052 1 NDT
fffffec2d2c6ece0 -12652 0 NST
fffffec67c434360 -9052 1 NDT
fffffeca2551bce0 -12652 0 NST
fffffecdf2da9760 -9052 1 NDT
fffffed177dc8ce0 -12652 0 NST
fffffed545656760 -9052 1 NDT
fffffed8ca675ce0 -12652 0 NST
fffffedc97f03760 -9052 1 NDT
fffffee01cf22ce0 -12652 0 NST
fffffee3ea7b0760 -9052 1 NDT
fffffee76f7cfce0 -12652 0 NST
fffffeeb3d05d760 -9052 1 NDT
fffffeeee61450e0 -12652 0 NST
fffffef2b39d2b60 -9052 1 NDT
fffffef6389f20e0 -12652 0 NST
fffffefa0627fb60 -9052 1 NDT
fffffefd8b29f0e0 -12652 0 NST
ffffff009a5e6de0 -12600 0 NST
ffffff0158b20040 -9000 1 NDT
ffffff04ddb3f5c0 -12600 0 NST
ffffff08cf8042c0 -9000 1 NDT
ffffff0bc4502840 -12600 0 NST
ffffff10220b12c0 -9000 1 NDT
ffffff1316daf840 -12600 0 NST
ffffff177495e2c0 -9000 1 NDT
ffffff1a6965c840 -12600 0 NST
ffffff1eeb2d36c0 -9000 1 NDT
ffffff21bbf09840 -12600 0 NST
ffffff263db806c0 -9000 1 NDT
ffffff293287ec40 -12600 0 NST
ffffff2d9042d6c0 -9000 1 NDT
ffffff308512bc40 -12600 0 NST
ffffff34e2cda6c0 -9000 0 NWT
ffffff4cdc72d580 -9000 1 NPT
ffffff4dca857d40 -12600 0 NST
ffffff4fa93dfac0 -12600 0 NST
ffffff524c4cebc0 -9000 1 NDT
ffffff55411cd140 -12600 0 NST
ffffff599ed7bbc0 -9000 1 NDT
ffffff5c93a7a140 -12600 0 NST
ffffff60f1628bc0 -9000 1 NDT
ffffff63e6327140 -12600 0 NST
ffffff6843ed5bc0 -9000 1 NDT
ffffff6b38bd4140 -12600 0 NST
ffffff6fba84afc0 -9000 1 NDT
ffffff72af549540 -12600 0 NST
ffffff76c4f677c0 -9000 1 NDT
ffffff79ddd2e140 -12600 0 NST
ffffff7e178147c0 -9000 1 NDT
ffffff81305db140 -12600 0 NST
ffffff856a0c17c0 -9000 1 NDT
ffffff8882e88140 -12600 0 NST
ffffff8cbc96e7c0 -9000 1 NDT
ffffff8fd5735140 -12600 0 NST
ffffff940f21b7c0 -9000 1 NDT
ffffff9727fe2140 -12600 0 NST
ffffff9b85b90bc0 -9000 1 NDT
ffffff9e9e957540 -12600 0 NST
ffffffa2d843dbc0 -9000 1 NDT
ffffffa5f1204540 -12600 0 NST
ffffffaa2aceabc0 -9000 1 NDT
ffffffad43ab1540 -12600 0 NST
ffffffb17d597bc0 -9000 1 NDT
ffffffb49635e540 -12600 0 NST
ffffffb8cfe44bc0 -9000 1 NDT
ffffffbc9cff4940 -12600 0 NST
ffffffc0467b9fc0 -9000 1 NDT
ffffffc3ef8a1940 -12600 0 NST
ffffffc799066fc0 -9000 1 NDT
ffffffcb4214e940 -12600 0 NST
ffffffceeb913fc0 -9000 1 NDT
ffffffd2949fb940 -12600 0 NST
ffffffd63e1c0fc0 -9000 1 NDT
ffffffd9e72a8940 -12600 0 NST
ffffffdd90a6dfc0 -9000 1 NDT
ffffffe15dc1dd40 -12600 0 NST
ffffffe4e331afc0 -9000 1 NDT
ffffffe8b04cad40 -12600 0 NST
ffffffec59c903c0 -9000 1 NDT
fffffff002d77d40 -12600 0 NST
fffffff3ac53d3c0 -9000 1 NDT
fffffff755624d40 -12600 0 NST
fffffffafedea3c0 -9000 1 NDT
fffffffea7ed1d40 -12600 0 NST
00000002516973c0 -9000 1 NDT
00000005fa77ed40 -12600 0 NST
00000009a3f443c0 -9000 1 NDT
0000000d710f4140 -12600 0 NST
000000111a8b97c0 -9000 1 NDT
00000014c39a1140 -12600 0 NST
000000186d1667c0 -9000 1 NDT
0000001c1624e140 -12600 0 NST
0000001fbfa137c0 -9000 1 NDT
0000002368afb140 -12600 0 NST
00000027122c07c0 -9000 1 NDT
0000002abb3a8140 -12600 0 NST
0000002e64b6d7c0 -9000 1 NDT
0000003231d1d540 -12600 0 NST
00000035b741a7c0 -9000 1 NDT
00000039845ca540 -12600 0 NST
0000003d2dd8fbc0 -9000 1 NDT
00000040d6e77540 -12600 0 NST
000000448063cbc0 -9000 1 NDT
0000004829724540 -12600 0 NST
0000004bd2ee9bc0 -9000 1 NDT
0000004f7bfd1540 -12600 0 NST
0000005325796bc0 -9000 1 NDT
00000056ce87e540 -12600 0 NST
0000005a78043bc0 -9000 1 NDT
0000005e451f3940 -12600 0 NST
00000061ca8f0bc0 -9000 1 NDT
0000006597aa0940 -12600 0 NST
0000006941265fc0 -9000 1 NDT
0000006cea34d940 -12600 0 NST
0000007093b12fc0 -9000 1 NDT
000000743cbfa940 -12600 0 NST
00000077e63bffc0 -9000 1 NDT
0000007b8f4a7940 -12600 0 NST
0000007ecc345120 -9000 1 NDT
00000082e16856a0 -12600 0 NST
000000861ebf2120 -5400 1 NDDT
0000008a57c8bc20 -12600 0 NST
0000008d7149f120 -9000 1 NDT
00000091aa8a7aa0 -12600 0 NST
00000094c3d4c120 -9000 1 NDT
00000098fd154aa0 -12600 0 NST
0000009c3a6c1520 -9000 1 NDT
000000a04fa01aa0 -12600 0 NST
000000a38cf6e520 -9000 1 NDT
000000a7a22aeaa0 -12600 0 NST
000000aadf81b520 -9000 1 NDT
000000af18c23ea0 -12600 0 NST
000000b2320c8520 -9000 1 NDT
000000b66b4d0ea0 -12600 0 NST
000000b984975520 -9000 1 NDT
000000bdbdd7dea0 -12600 0 NST
000000c0fb2ea920 -9000 1 NDT
000000c51062aea0 -12600 0 NST
000000c84db97920 -9000 1 NDT
000000cc62ed7ea0 -12600 0 NST
000000cfa0444920 -9000 1 NDT
000000d3b5784ea0 -12600 0 NST
000000d6f2cf1920 -9000 1 NDT
000000db2c0fa2a0 -12600 0 NST
000000de4559e920 -9000 1 NDT
000000e27e9a72a0 -12600 0 NST
000000e597e4b920 -9000 1 NDT
000000e9d12542a0 -12600 0 NST
000000ed0e7c0d20 -9000 1 NDT
000000f123b012a0 -12600 0 NST
000000f46106dd20 -9000 1 NDT
000000f8763ae2a0 -12600 0 NST
000000fbb391ad20 -9000 1 NDT
000000ffecd236a0 -12600 0 NST
00000103061c7d20 -9000 1 NDT
