=America/Swift_Current
8000000000000000 -25880 0 LMT
fffffe274e924dc0 -25200 0 MST
fffffe84016dca80 -21600 1 MDT
fffffe87f2954c00 -25200 0 MST
ffffff330f591280 -21600 1 MWT
ffffff4cdc72d580 -21600 1 MPT
ffffff4dcb45c000 -25200 0 MST
ffffff5204f42680 -21600 0 MDT
ffffff5565e99800 -25200 0 MST
ffffff59577ef680 -21600 1 MDT
ffffff5c705b6000 -25200 0 MST
ffffff60aa09c680 -21600 1 MDT
ffffff63c2e63000 -25200 0 MST
ffffff67fc949680 -21600 1 MDT
ffffff6b15710000 -25200 0 MST
ffffff6d0de94980 -25200 0 MST
ffffffa2d9041e80 -21600 1 MDT
ffffffa682129800 -25200 0 MST
ffffffb17e19be80 -21600 1 MDT
ffffffb527283800 -25200 0 MST
ffffffb8d0a48e80 -21600 1 MDT
ffffffbbe980f800 -25200 0 MST
ffffffc0473be280 -21600 1 MDT
ffffffc33c0bc800 -25200 0 MST
000000111b4bda80 -21600 0 CST
