=America/Tijuana
8000000000000000 -28084 0 LMT
fffffe9f52b2e400 -25200 0 MST
fffffeae01de4d80 -28800 0 PST
fffffec74b380980 -25200 0 MST
fffffee07ff85580 -28800 0 PST
fffffee341b68000 -25200 1 PDT
fffffee6eac4f980 -28800 0 PST
ffffff348c38bc00 -25200 1 PWT
ffffff4cdc72d580 -25200 1 PPT
ffffff4ea8804580 -28800 0 PST
ffffff6042d3a800 -25200 1 PDT
ffffff65f92ac980 -28800 0 PST
ffffff8a720b4400 -28800 0 PST
ffffff8cbd8e1900 -25200 1 PDT
ffffff8fd66a8280 -28800 0 PST
ffffff941018e900 -25200 1 PDT
ffffff9728f55280 -28800 0 PST
ffffff9b86b03d00 -25200 1 PDT
ffffff9e9f8ca680 -28800 0 PST
ffffffa2d93b0d00 -25200 1 PDT
ffffffa5f2177680 -28800 0 PST
ffffffaa2bc5dd00 -25200 1 PDT
ffffffad44a24680 -28800 0 PST
ffffffb17e50ad00 -25200 1 PDT
ffffffb4972d1680 -28800 0 PST
ffffffb8d0db7d00 -25200 1 PDT
ffffffbbe9b7e680 -28800 0 PST
ffffffbde2303000 -28800 0 PST
0000002c1504d800 -28800 0 PST
0000002e65ae0900 -25200 1 PDT
0000003232c90680 -28800 0 PST
00000035b838d900 -25200 1 PDT
000000398553d680 -28800 0 PST
0000003d2ed02d00 -25200 1 PDT
00000040d7dea680 -28800 0 PST
00000044815afd00 -25200 1 PDT
000000482a697680 -28800 0 PST
0000004bd3e5cd00 -25200 1 PDT
0000004f7cf44680 -28800 0 PST
0000005326709d00 -25200 1 PDT
00000056cf7f1680 -28800 0 PST
0000005a78fb6d00 -25200 1 PDT
0000005e46166a80 -28800 0 PST
00000061cb863d00 -25200 1 PDT
0000006598a13a80 -28800 0 PST
00000069421d9100 -25200 1 PDT
0000006ceb2c0a80 -28800 0 PST
0000007094a86100 -25200 1 PDT
000000743db6da80 -28800 0 PST
00000077e7333100 -25200 1 PDT
0000007b9041aa80 -28800 0 PST
0000007ecd987500 -25200 1 PDT
00000082e2cc7a80 -28800 0 PST
0000008620234500 -25200 1 PDT
0000008a5963ce80 -28800 0 PST
0000008d72ae1500 -25200 1 PDT
00000091abee9e80 -28800 0 PST
00000094c538e500 -25200 1 PDT
00000098fe796e80 -28800 0 PST
0000009c3bd03900 -25200 1 PDT
000000a051043e80 -28800 0 PST
000000a38e5b0900 -25200 1 PDT
000000a7a38f0e80 -28800 0 PST
000000aae0e5d900 -25200 1 PDT
000000af1a266280 -28800 0 PST
000000b23370a900 -25200 1 PDT
000000b66cb13280 -28800 0 PST
000000b985fb7900 -25200 1 PDT
000000bdbf3c0280 -28800 0 PST
000000bf089c1400 -28800 0 PST
000000c0fc92cd00 -25200 1 PDT
000000c511c6d280 -28800 0 PST
000000c84f1d9d00 -25200 1 PDT
000000cc6451a280 -28800 0 PST
000000cfa1a86d00 -25200 1 PDT
000000d3b6dc7280 -28800 0 PST
000000d6f4333d00 -25200 1 PDT
000000db2d73c680 -28800 0 PST
000000de46be0d00 -25200 1 PDT
000000e27ffe9680 -28800 0 PST
000000e3c95ea800 -28800 0 PST
000000e59948dd00 -25200 1 PDT
000000e9d2896680 -28800 0 PST
000000ec228dcc00 -28800 0 PST
000000ed0fe03100 -25200 1 PDT
000000f125143680 -28800 0 PST
000000f4626b0100 -25200 1 PDT
000000f8779f0680 -28800 0 PST
000000fbb4f5d100 -25200 1 PDT
000000ffee365a80 -28800 0 PST
000001030780a100 -25200 1 PDT
0000010740c12a80 -28800 0 PST
0000010a5a0b7100 -25200 1 PDT
0000010e934bfa80 -28800 0 PST
00000111ac964100 -25200 1 PDT
00000115e5d6ca80 -28800 0 PST
00000119232d9500 -25200 1 PDT
0000011d38619a80 -28800 0 PST
0000012075b86500 -25200 1 PDT
000001248aec6a80 -28800 0 PST
00000125e8e5ec00 -28800 0 PST
000001275c1da900 -25200 1 PDT
0000012c25904280 -28800 0 PST
0000012eaea87900 -25200 1 PDT
00000133781b1280 -28800 0 PST
0000013601334900 -25200 1 PDT
0000013acaa5e280 -28800 0 PST
0000013d53be1900 -25200 1 PDT
000001421d30b280 -28800 0 PST
00000144a648e900 -25200 1 PDT
000001496fbb8280 -28800 0 PST
0000014bf8d3b900 -25200 1 PDT
00000150c2465280 -28800 0 PST
000001536f6b0d00 -25200 1 PDT
0000015838dda680 -28800 0 PST
0000015ac1f5dd00 -25200 1 PDT
0000015f8b687680 -28800 0 PST
000001621480ad00 -25200 1 PDT
00000166ddf34680 -28800 0 PST
00000169670b7d00 -25200 1 PDT
0000016e307e1680 -28800 0 PST
00000170b9964d00 -25200 1 PDT
000001758308e680 -28800 0 PST
00000178302da100 -25200 1 PDT
0000017cf9a03a80 -28800 0 PST
0000017f82b87100 -25200 1 PDT
000001844c2b0a80 -28800 0 PST
00000186d5434100 -25200 1 PDT
0000018b9eb5da80 -28800 0 PST
0000018e27ce1100 -25200 1 PDT
00000192f140aa80 -28800 0 PST
000001957a58e100 -25200 1 PDT
0000019a43cb7a80 -28800 0 PST
0000019ccce3b100 -25200 1 PDT
000001a196564a80 -28800 0 PST
000001a4437b0500 -25200 1 PDT
000001a90ced9e80 -28800 0 PST
000001ab9605d500 -25200 1 PDT
000001b05f786e80 -28800 0 PST
000001b2e890a500 -25200 1 PDT
000001b7b2033e80 -28800 0 PST
000001ba3b1b7500 -25200 1 PDT
000001bf048e0e80 -28800 0 PST
000001c18da64500 -25200 1 PDT
000001c65718de80 -28800 0 PST
000001c9043d9900 -25200 1 PDT
000001cdcdb03280 -28800 0 PST
000001d056c86900 -25200 1 PDT
000001d5203b0280 -28800 0 PST
000001d7a9533900 -25200 1 PDT
000001dc72c5d280 -28800 0 PST
000001defbde0900 -25200 1 PDT
000001e3c550a280 -28800 0 PST
000001e64e68d900 -25200 1 PDT
000001eb17db7280 -28800 0 PST
000001eda0f3a900 -25200 1 PDT
000001f26a664280 -28800 0 PST
000001f5178afd00 -25200 1 PDT
000001f9e0fd9680 -28800 0 PST
000001fc6a15cd00 -25200 1 PDT
0000020133886680 -28800 0 PST
00000203bca09d00 -25200 1 PDT
0000020886133680 -28800 0 PST
0000020b0f2b6d00 -25200 1 PDT
0000020fd89e0680 -28800 0 PST
0000021261b63d00 -25200 1 PDT
000002172b28d680 -28800 0 PST
00000219b4410d00 -25200 1 PDT
0000021e7db3a680 -28800 0 PST
000002212ad86100 -25200 1 PDT
00000225f44afa80 -28800 0 PST
000002287d633100 -25200 1 PDT
0000022d46d5ca80 -28800 0 PST
0000022fcfee0100 -25200 1 PDT
0000023499609a80 -28800 0 PST
000002372278d100 -25200 1 PDT
0000023bebeb6a80 -28800 0 PST
0000023e7503a100 -25200 1 PDT
000002433e763a80 -28800 0 PST
00000245eb9af500 -25200 1 PDT
0000024ab50d8e80 -28800 0 PST
0000024d3e25c500 -25200 1 PDT
0000025207985e80 -28800 0 PST
0000025490b09500 -25200 1 PDT
000002595a232e80 -28800 0 PST
0000025be33b6500 -25200 1 PDT
