=Asia/Almaty
8000000000000000 18468 0 LMT
fffffeb0738bd360 18000 0 ALMT
fffffedd885e5380 21600 0 ALMT
00000052a242b900 25200 1 ALMST
0000005650778e80 21600 0 ALMT
00000059f9f3e500 25200 1 ALMST
0000005da828ba80 21600 0 ALMT
0000006151a51100 25200 1 ALMST
00000064ffd9e680 21600 0 ALMT
00000068ae7c9900 25200 1 ALMST
0000006c582fde00 21600 0 ALMT
0000007001754600 25200 1 ALMST
00000073aabaae00 21600 0 ALMT
0000007754001600 25200 1 ALMST
0000007afd457e00 21600 0 ALMT
0000007ea68ae600 25200 1 ALMST
000000824fd04e00 21600 0 ALMT
00000085f915b600 25200 1 ALMST
00000089a25b1e00 21600 0 ALMT
0000008d4ba08600 25200 1 ALMST
00000090f4e5ee00 21600 0 ALMT
000000949e2b5600 25200 1 ALMST
000000986b7d4200 21600 0 ALMT
0000009a49fed100 21600 0 ALMT
000000a1a1affd00 21600 0 ALMT
000000a366a8ae80 25200 1 ALMST
000000a70fb72800 21600 0 ALMT
000000aab9d84a00 25200 1 ALMST
000000ae631db200 21600 0 ALMT
000000b20c631a00 25200 1 ALMST
000000b5b5a88200 21600 0 ALMT
000000b95eedea00 25200 1 ALMST
000000bd08335200 21600 0 ALMT
000000c0d5853e00 25200 1 ALMST
000000c50efcb600 21600 0 ALMT
000000c828100e00 25200 1 ALMST
000000cc61878600 21600 0 ALMT
000000cf7a9ade00 25200 1 ALMST
000000d3b4125600 21600 0 ALMT
000000d6cd25ae00 25200 1 ALMST
000000db2aa9aa00 21600 0 ALMT
000000de1fb07e00 25200 1 ALMST
000000e27d347a00 21600 0 ALMT
000000e5723b4e00 25200 1 ALMST
000000e9cfbf4a00 21600 0 ALMT
000000ece8d2a200 25200 1 ALMST
000000f1224a1a00 21600 0 ALMT
000000f43b5d7200 25200 1 ALMST
000000f874d4ea00 21600 0 ALMT
000000fb8de84200 25200 1 ALMST
000000ffeb6c3e00 21600 0 ALMT
00000102a238e500 21600 0 ALMT
