=Asia/Amman
8000000000000000 8624 0 LMT
fffffee16fff1c80 7200 0 EET
000000192f2c1300 10800 1 EEST
0000001b897d3080 7200 0 EET
0000001fcd784f00 10800 1 EEST
00000022e12e5c80 7200 0 EET
0000002725297b00 10800 1 EEST
0000002a38df8880 7200 0 EET
0000002e82010300 10800 1 EEST
00000032355c3480 7200 0 EET
00000035d9b22f00 10800 1 EEST
00000038ed683c80 7200 0 EET
0000003d2c3cff00 10800 1 EEST
000000403ff30c80 7200 0 EET
0000007007097f00 10800 1 EEST
00000073b53e5480 7200 0 EET
000000776e2dbf00 10800 1 EEST
0000007b173c3880 7200 0 EET
0000007ec0b88f00 10800 1 EEST
0000008269c70880 7200 0 EET
0000008613435f00 10800 1 EEST
00000089e05e5c80 7200 0 EET
0000008e297fd700 10800 1 EEST
0000009132e92c80 7200 0 EET
00000095488b0f00 10800 1 EEST
000000988573fc80 7200 0 EET
0000009c6cbca300 10800 1 EEST
0000009fb3f24880 7200 0 EET
000000a3a587a700 10800 1 EEST
000000a72a899c80 7200 0 EET
000000aad405f300 10800 1 EEST
000000ae7d146c80 7200 0 EET
000000b22690c300 10800 1 EEST
000000b587863480 7200 0 EET
000000b99d281700 10800 1 EEST
000000bcda47f300 7200 0 EET
000000c0efb2e700 10800 1 EEST
000000c450df4700 7200 0 EET
000000c8423db700 10800 1 EEST
000000cba36a1700 7200 0 EET
000000cf94c88700 10800 1 EEST
000000d2f5f4e700 7200 0 EET
000000d8b6cfaf00 10800 1 EEST
000000da6c8c3b00 7200 0 EET
000000de34b7cb00 10800 1 EEST
000000e1e3238f00 7200 0 EET
000000e587429b00 10800 1 EEST
000000e935ae5f00 7200 0 EET
000000ecdef3c700 10800 1 EEST
000000f088392f00 7200 0 EET
000000f4317e9700 10800 1 EEST
000000f86af60f00 7200 0 EET
000000fb84096700 10800 1 EEST
000000ff99745b00 7200 0 EET
00000102faa0bb00 10800 1 EEST
00000106a3e62300 7200 0 EET
0000010a4d2b8b00 10800 1 EEST
0000010e86a30300 7200 0 EET
000001119fb65b00 10800 1 EEST
00000115d92dd300 7200 0 EET
00000118f2412b00 10800 1 EEST
0000011d4fc52700 7200 0 EET
0000012044cbfb00 10800 1 EEST
00000124a24ff700 7200 0 EET
000001279756cb00 10800 1 EEST
0000012bf4dac700 7200 0 EET
0000012f0dee1f00 10800 1 EEST
0000013347659700 7200 0 EET
000001366078ef00 10800 1 EEST
0000013db2ccd080 10800 1 EEST
00000141ec7b3700 7200 0 EET
00000145058e8f00 10800 1 EEST
0000014963128b00 7200 0 EET
0000014c58195f00 10800 1 EEST
00000150b59d5b00 7200 0 EET
00000153ceb0b300 10800 1 EEST
0000015808282b00 7200 0 EET
0000015b213b8300 10800 1 EEST
0000015f5ab2fb00 7200 0 EET
0000016273c65300 10800 1 EEST
00000166ad3dcb00 7200 0 EET
00000169c6512300 10800 1 EEST
0000016dffc89b00 7200 0 EET
0000017118dbf300 10800 1 EEST
00000175765fef00 7200 0 EET
000001786b66c300 10800 1 EEST
0000017cc8eabf00 7200 0 EET
0000017fe1fe1700 10800 1 EEST
000001841b758f00 7200 0 EET
000001873488e700 10800 1 EEST
0000018b6e005f00 7200 0 EET
0000018e8713b700 10800 1 EEST
00000192c08b2f00 7200 0 EET
00000195d99e8700 10800 1 EEST
0000019a37228300 7200 0 EET
0000019d2c295700 10800 1 EEST
000001a189ad5300 7200 0 EET
000001a47eb42700 10800 1 EEST
000001a8dc382300 7200 0 EET
000001abf54b7b00 10800 1 EEST
000001b02ec2f300 7200 0 EET
000001b347d64b00 10800 1 EEST
000001b7814dc300 7200 0 EET
000001ba9a611b00 10800 1 EEST
000001bed3d89300 7200 0 EET
000001c1ecebeb00 10800 1 EEST
000001c64a6fe700 7200 0 EET
000001c93f76bb00 10800 1 EEST
000001cd9cfab700 7200 0 EET
000001d0b60e0f00 10800 1 EEST
000001d4ef858700 7200 0 EET
000001d80898df00 10800 1 EEST
000001dc42105700 7200 0 EET
000001df5b23af00 10800 1 EEST
000001e3949b2700 7200 0 EET
000001e6adae7f00 10800 1 EEST
000001eb0b327b00 7200 0 EET
000001ee00394f00 10800 1 EEST
000001f25dbd4b00 7200 0 EET
000001f552c41f00 10800 1 EEST
000001f9b0481b00 7200 0 EET
000001fcc95b7300 10800 1 EEST
0000020102d2eb00 7200 0 EET
000002041be64300 10800 1 EEST
00000208555dbb00 7200 0 EET
0000020b6e711300 10800 1 EEST
0000020fa7e88b00 7200 0 EET
00000212c0fbe300 10800 1 EEST
000002171e7fdf00 7200 0 EET
0000021a1386b300 10800 1 EEST
0000021e710aaf00 7200 0 EET
000002218a1e0700 10800 1 EEST
00000225c3957f00 7200 0 EET
00000228dca8d700 10800 1 EEST
0000022d16204f00 7200 0 EET
000002302f33a700 10800 1 EEST
0000023468ab1f00 7200 0 EET
0000023781be7700 10800 1 EEST
0000023bbb35ef00 7200 0 EET
0000023ed4494700 10800 1 EEST
0000024331cd4300 7200 0 EET
0000024626d41700 10800 1 EEST
0000024a84581300 7200 0 EET
0000024d9d6b6b00 10800 1 EEST
00000251d6e2e300 7200 0 EET
00000254eff63b00 10800 1 EEST
00000259296db300 7200 0 EET
0000025c42810b00 10800 1 EEST
000002607bf88300 7200 0 EET
00000263950bdb00 10800 1 EEST
00000267f28fd700 7200 0 EET
0000026ae796ab00 10800 1 EEST
0000026f451aa700 7200 0 EET
000002723a217b00 10800 1 EEST
0000027697a57700 7200 0 EET
