=Asia/Aqtau
8000000000000000 12064 0 LMT
fffffeb073ed8b00 14400 0 FORT
fffffedd88954200 18000 0 FORT
ffffffcc8ec86b80 18000 0 SHET
0000005650e56b80 21600 0 SHET
00000059f9f3e500 18000 0 SHET
00000059fa2ad380 21600 1 SHEST
0000005da85fa900 18000 0 SHET
0000006151dbff80 21600 1 SHEST
000000650010d500 18000 0 SHET
00000068aeb38780 21600 1 SHEST
0000006c5866cc80 18000 0 SHET
0000007001ac3480 21600 1 SHEST
00000073aaf19c80 18000 0 SHET
0000007754370480 21600 1 SHEST
0000007afd7c6c80 18000 0 SHET
0000007ea6c1d480 21600 1 SHEST
0000008250073c80 18000 0 SHET
00000085f94ca480 21600 1 SHEST
00000089a2920c80 18000 0 SHET
0000008d4bd77480 21600 1 SHEST
00000090f51cdc80 18000 0 SHET
000000949e624480 21600 1 SHEST
000000986bb43080 18000 0 SHET
0000009a4a35bf80 18000 0 SHET
000000a14f812b80 18000 0 AQTT
000000a366df9d00 21600 1 AQTST
000000a70fee1680 18000 0 AQTT
000000aaba0f3880 21600 1 AQTST
000000ae6354a080 18000 0 AQTT
000000b20c9a0880 21600 1 AQTST
000000b5b5df7080 18000 0 AQTT
000000b95f24d880 14400 0 AQTT
000000b95f5bc700 18000 1 AQTST
000000bd08a12f00 14400 0 AQTT
000000c0d5f31b00 18000 1 AQTST
000000c50f6a9300 14400 0 AQTT
000000c8287deb00 18000 1 AQTST
000000cc61f56300 14400 0 AQTT
000000cf7b08bb00 18000 1 AQTST
000000d3b4803300 14400 0 AQTT
000000d6cd938b00 18000 1 AQTST
000000db2b178700 14400 0 AQTT
000000de201e5b00 18000 1 AQTST
000000e27da25700 14400 0 AQTT
000000e572a92b00 18000 1 AQTST
000000e9d02d2700 14400 0 AQTT
000000ece9407f00 18000 1 AQTST
000000f122b7f700 14400 0 AQTT
000000f43bcb4f00 18000 1 AQTST
000000f87542c700 14400 0 AQTT
000000fb8e561f00 18000 1 AQTST
000000ffebda1b00 14400 0 AQTT
00000102a2a6c200 18000 0 AQTT
