=Asia/Aqtobe
8000000000000000 13720 0 LMT
fffffeb073d44640 14400 0 AKTT
fffffedd88954200 18000 0 AKTT
00000052a279a780 21600 1 AKTST
0000005650ae7d00 21600 0 AKTT
00000059f9f3e500 18000 0 AKTT
00000059fa2ad380 21600 1 AKTST
0000005da85fa900 18000 0 AKTT
0000006151dbff80 21600 1 AKTST
000000650010d500 18000 0 AKTT
00000068aeb38780 21600 1 AKTST
0000006c5866cc80 18000 0 AKTT
0000007001ac3480 21600 1 AKTST
00000073aaf19c80 18000 0 AKTT
0000007754370480 21600 1 AKTST
0000007afd7c6c80 18000 0 AKTT
0000007ea6c1d480 21600 1 AKTST
0000008250073c80 18000 0 AKTT
00000085f94ca480 21600 1 AKTST
00000089a2920c80 18000 0 AKTT
0000008d4bd77480 21600 1 AKTST
00000090f51cdc80 18000 0 AKTT
000000949e624480 21600 1 AKTST
000000986bb43080 18000 0 AKTT
0000009a4a35bf80 18000 0 AKTT
000000a14f812b80 18000 0 AQTT
000000a366df9d00 21600 1 AQTST
000000a70fee1680 18000 0 AQTT
000000aaba0f3880 21600 1 AQTST
000000ae6354a080 18000 0 AQTT
000000b20c9a0880 21600 1 AQTST
000000b5b5df7080 18000 0 AQTT
000000b95f24d880 21600 1 AQTST
000000bd086a4080 18000 0 AQTT
000000c0d5bc2c80 21600 1 AQTST
000000c50f33a480 18000 0 AQTT
000000c82846fc80 21600 1 AQTST
000000cc61be7480 18000 0 AQTT
000000cf7ad1cc80 21600 1 AQTST
000000d3b4494480 18000 0 AQTT
000000d6cd5c9c80 21600 1 AQTST
000000db2ae09880 18000 0 AQTT
000000de1fe76c80 21600 1 AQTST
000000e27d6b6880 18000 0 AQTT
000000e572723c80 21600 1 AQTST
000000e9cff63880 18000 0 AQTT
000000ece9099080 21600 1 AQTST
000000f122810880 18000 0 AQTT
000000f43b946080 21600 1 AQTST
000000f8750bd880 18000 0 AQTT
000000fb8e1f3080 21600 1 AQTST
000000ffeba32c80 18000 0 AQTT
00000102a26fd380 18000 0 AQTT
