=Asia/Ashgabat
8000000000000000 14012 0 LMT
fffffeb073cfd1a0 14400 0 ASHT
fffffedd88954200 18000 0 ASHT
00000052a279a780 21600 1 ASHST
0000005650ae7d00 18000 0 ASHT
00000059fa2ad380 21600 1 ASHST
0000005da85fa900 18000 0 ASHT
0000006151dbff80 21600 1 ASHST
000000650010d500 18000 0 ASHT
00000068aeb38780 21600 1 ASHST
0000006c5866cc80 18000 0 ASHT
0000007001ac3480 21600 1 ASHST
00000073aaf19c80 18000 0 ASHT
0000007754370480 21600 1 ASHST
0000007afd7c6c80 18000 0 ASHT
0000007ea6c1d480 21600 1 ASHST
0000008250073c80 18000 0 ASHT
00000085f94ca480 21600 1 ASHST
00000089a2920c80 18000 0 ASHT
0000008d4bd77480 21600 1 ASHST
00000090f51cdc80 18000 0 ASHT
000000949e624480 21600 1 ASHST
000000986bb43080 18000 0 ASHT
0000009c14f99880 14400 0 ASHT
0000009c15308700 18000 1 ASHST
0000009fbe75ef00 14400 0 ASHT
000000a1ff3e2f00 18000 0 TMT
