=Asia/Baku
8000000000000000 11964 0 LMT
fffffeb073ef11a0 10800 0 BAKT
ffffffa1abc01880 14400 0 BAKT
00000052a2b09600 18000 1 BAKST
0000005650e56b80 14400 0 BAKT
00000059fa61c200 18000 1 BAKST
0000005da8969780 14400 0 BAKT
000000615212ee00 18000 1 BAKST
000000650047c380 14400 0 BAKT
00000068aeea7600 18000 1 BAKST
0000006c589dbb00 14400 0 BAKT
0000007001e32300 18000 1 BAKST
00000073ab288b00 14400 0 BAKT
00000077546df300 18000 1 BAKST
0000007afdb35b00 14400 0 BAKT
0000007ea6f8c300 18000 1 BAKST
00000082503e2b00 14400 0 BAKT
00000085f9839300 18000 1 BAKST
00000089a2c8fb00 14400 0 BAKT
0000008d4c0e6300 18000 1 BAKST
00000090f553cb00 14400 0 BAKT
000000949e993300 18000 1 BAKST
000000986beb1f00 14400 0 BAKT
0000009c15308700 14400 1 BAKST
0000009f23894a00 14400 0 AZST
0000009fbeacdd80 10800 0 AZT
000000a3674d7a00 14400 1 AZST
000000a71092e200 14400 0 AZT
000000bf0608e600 14400 0 AZT
000000c0d697e680 18000 1 AZST
000000c5100f5e80 14400 0 AZT
000000c662e06e00 14400 0 AZT
000000c828ebc800 18000 1 AZST
000000cc62634000 14400 0 AZT
000000cf7b769800 18000 1 AZST
000000d3b4ee1000 14400 0 AZT
000000d6ce016800 18000 1 AZST
000000db2b856400 14400 0 AZT
000000de208c3800 18000 1 AZST
000000e27e103400 14400 0 AZT
000000e573170800 18000 1 AZST
000000e9d09b0400 14400 0 AZT
000000ece9ae5c00 18000 1 AZST
000000f12325d400 14400 0 AZT
000000f43c392c00 18000 1 AZST
000000f875b0a400 14400 0 AZT
000000fb8ec3fc00 18000 1 AZST
000000ffec47f800 14400 0 AZT
00000102e14ecc00 18000 1 AZST
000001073ed2c800 14400 0 AZT
0000010a33d99c00 18000 1 AZST
0000010e915d9800 14400 0 AZT
0000011186646c00 18000 1 AZST
00000115e3e86800 14400 0 AZT
00000118fcfbc000 18000 1 AZST
0000011d36733800 14400 0 AZT
000001204f869000 18000 1 AZST
0000012488fe0800 14400 0 AZT
00000127a2116000 18000 1 AZST
0000012bff955c00 14400 0 AZT
0000012ef49c3000 18000 1 AZST
0000013352202c00 14400 0 AZT
0000013647270000 18000 1 AZST
0000013aa4aafc00 14400 0 AZT
0000013dbdbe5400 18000 1 AZST
00000141f735cc00 14400 0 AZT
0000014510492400 18000 1 AZST
0000014949c09c00 14400 0 AZT
0000014c62d3f400 18000 1 AZST
000001509c4b6c00 14400 0 AZT
00000153b55ec400 18000 1 AZST
0000015812e2c000 14400 0 AZT
0000015b07e99400 18000 1 AZST
0000015f656d9000 14400 0 AZT
000001625a746400 18000 1 AZST
00000166b7f86000 14400 0 AZT
00000169d10bb800 18000 1 AZST
0000016e0a833000 14400 0 AZT
0000017123968800 18000 1 AZST
000001755d0e0000 14400 0 AZT
0000017876215800 18000 1 AZST
0000017cd3a55400 14400 0 AZT
0000017fc8ac2800 18000 1 AZST
0000018426302400 14400 0 AZT
000001871b36f800 18000 1 AZST
0000018b78baf400 14400 0 AZT
0000018e91ce4c00 18000 1 AZST
00000192cb45c400 14400 0 AZT
00000195e4591c00 18000 1 AZST
0000019a1dd09400 14400 0 AZT
0000019d36e3ec00 18000 1 AZST
000001a1705b6400 14400 0 AZT
000001a4896ebc00 18000 1 AZST
000001a8e6f2b800 14400 0 AZT
000001abdbf98c00 18000 1 AZST
000001b0397d8800 14400 0 AZT
000001b32e845c00 18000 1 AZST
000001b78c085800 14400 0 AZT
000001baa51bb000 18000 1 AZST
000001bede932800 14400 0 AZT
000001c1f7a68000 18000 1 AZST
000001c6311df800 14400 0 AZT
000001c94a315000 18000 1 AZST
000001cda7b54c00 14400 0 AZT
000001d09cbc2000 18000 1 AZST
000001d4fa401c00 14400 0 AZT
000001d7ef46f000 18000 1 AZST
000001dc4ccaec00 14400 0 AZT
000001df41d1c000 18000 1 AZST
000001e39f55bc00 14400 0 AZT
000001e6b8691400 18000 1 AZST
000001eaf1e08c00 14400 0 AZT
000001ee0af3e400 18000 1 AZST
000001f2446b5c00 14400 0 AZT
000001f55d7eb400 18000 1 AZST
000001f9bb02b000 14400 0 AZT
000001fcb0098400 18000 1 AZST
000002010d8d8000 14400 0 AZT
0000020402945400 18000 1 AZST
0000020860185000 14400 0 AZT
0000020b792ba800 18000 1 AZST
0000020fb2a32000 14400 0 AZT
00000212cbb67800 18000 1 AZST
00000217052df000 14400 0 AZT
0000021a1e414800 18000 1 AZST
0000021e57b8c000 14400 0 AZT
0000022170cc1800 18000 1 AZST
00000225ce501400 14400 0 AZT
00000228c356e800 18000 1 AZST
0000022d20dae400 14400 0 AZT
0000023015e1b800 18000 1 AZST
000002347365b400 14400 0 AZT
000002378c790c00 18000 1 AZST
0000023bc5f08400 14400 0 AZT
0000023edf03dc00 18000 1 AZST
00000243187b5400 14400 0 AZT
00000246318eac00 18000 1 AZST
0000024a8f12a800 14400 0 AZT
0000024d84197c00 18000 1 AZST
00000251e19d7800 14400 0 AZT
00000254d6a44c00 18000 1 AZST
0000025934284800 14400 0 AZT
0000025c4d3ba000 18000 1 AZST
0000026086b31800 14400 0 AZT
000002639fc67000 18000 1 AZST
00000267d93de800 14400 0 AZT
0000026af2514000 18000 1 AZST
0000026f2bc8b800 14400 0 AZT
0000027244dc1000 18000 1 AZST
00000276a2600c00 14400 0 AZT
000002799766e000 18000 1 AZST
0000027df4eadc00 14400 0 AZT
00000280e9f1b000 18000 1 AZST
