=Asia/Beirut
8000000000000000 8520 0 LMT
fffffd6ab9e89ec0 7200 0 EET
fffffe925c0e2300 10800 1 EEST
fffffe969a750880 7200 0 EET
fffffe99d2a57700 10800 1 EEST
fffffe9d80da4c80 7200 0 EET
fffffea10123c300 10800 1 EEST
fffffea4f24b4480 7200 0 EET
fffffea8e3e0a300 10800 1 EEST
fffffeabd8b08880 7200 0 EET
ffffffa2e61af300 10800 1 EEST
ffffffa5f9d10080 7200 0 EET
ffffffaa3dcc1f00 10800 1 EEST
ffffffad51822c80 7200 0 EET
ffffffb1957d4b00 10800 1 EEST
ffffffb4a9335880 7200 0 EET
ffffffb8f254d300 10800 1 EEST
ffffffbc060ae080 7200 0 EET
ffffffc04a05ff00 10800 1 EEST
ffffffc35dbc0c80 7200 0 EET
0000001229e0a700 10800 1 EEST
0000001431cc0480 7200 0 EET
0000001875c72300 10800 1 EEST
0000001b897d3080 7200 0 EET
0000001fcd784f00 10800 1 EEST
00000022e12e5c80 7200 0 EET
0000002725297b00 10800 1 EEST
0000002a38df8880 7200 0 EET
0000002e82010300 10800 1 EEST
0000003195b71080 7200 0 EET
00000035d9b22f00 10800 1 EEST
00000038ed683c80 7200 0 EET
0000003d2c3cff00 10800 1 EEST
000000403ff30c80 7200 0 EET
0000006949d71b00 10800 1 EEST
0000006caacc8c80 7200 0 EET
00000070a1884700 10800 1 EEST
00000074027db880 7200 0 EET
00000077f9397300 10800 1 EEST
0000007b5a2ee480 7200 0 EET
0000007f50ea9f00 10800 1 EEST
00000082b1e01080 7200 0 EET
000000874d674b00 10800 1 EEST
0000008a0eb79880 7200 0 EET
0000008e33cc8f00 10800 1 EEST
000000916668c480 7200 0 EET
000000955d247f00 10800 1 EEST
00000098be19f080 7200 0 EET
0000009cb4d5ab00 10800 1 EEST
000000a015cb1c80 7200 0 EET
000000a411ad3300 10800 1 EEST
000000a734d65480 7200 0 EET
000000aaba462700 10800 1 EEST
000000ae6354a080 7200 0 EET
000000b20cd0f700 10800 1 EEST
000000b5b5df7080 7200 0 EET
000000b95f5bc700 10800 1 EEST
000000bd086a4080 7200 0 EET
000000c0d5f31b00 10800 1 EEST
000000c47f019480 7200 0 EET
000000c8287deb00 10800 1 EEST
000000cbd18c6480 7200 0 EET
