=Asia/Bishkek
8000000000000000 17904 0 LMT
fffffeb073946e80 18000 0 FRUT
fffffedd885e5380 21600 0 FRUT
00000052a242b900 25200 1 FRUST
0000005650778e80 21600 0 FRUT
00000059f9f3e500 25200 1 FRUST
0000005da828ba80 21600 0 FRUT
0000006151a51100 25200 1 FRUST
00000064ffd9e680 21600 0 FRUT
00000068ae7c9900 25200 1 FRUST
0000006c582fde00 21600 0 FRUT
0000007001754600 25200 1 FRUST
00000073aabaae00 21600 0 FRUT
0000007754001600 25200 1 FRUST
0000007afd457e00 21600 0 FRUT
0000007ea68ae600 25200 1 FRUST
000000824fd04e00 21600 0 FRUT
00000085f915b600 25200 1 FRUST
00000089a25b1e00 21600 0 FRUT
0000008d4ba08600 25200 1 FRUST
00000090f4e5ee00 21600 0 FRUT
000000949e2b5600 25200 1 FRUST
000000986b7d4200 21600 0 FRUT
0000009c14c2aa00 21600 1 FRUST
0000009f28afa600 21600 0 KGT
000000a3af2f9380 21600 1 KGST
000000a710250500 18000 0 KGT
000000ab01ba6380 21600 1 KGST
000000ae62afd500 18000 0 KGT
000000b254453380 21600 1 KGST
000000b5b53aa500 18000 0 KGT
000000b9a6d00380 21600 1 KGST
000000bd07c57500 18000 0 KGT
000000c0f95ad380 21600 1 KGST
000000c47e5cc900 18000 0 KGT
000000c8286273c0 21600 1 KGST
000000cc61a2fd40 18000 0 KGT
000000cf7aed43c0 21600 1 KGST
000000d3b42dcd40 18000 0 KGT
000000d6cd7813c0 21600 1 KGST
000000db2ac52140 18000 0 KGT
000000de2002e3c0 21600 1 KGST
000000e27d4ff140 18000 0 KGT
000000e5728db3c0 21600 1 KGST
000000e9cfdac140 18000 0 KGT
000000ece92507c0 21600 1 KGST
000000f122659140 18000 0 KGT
000000f43bafd7c0 21600 1 KGST
000000f874f06140 18000 0 KGT
000000fb8e3aa7c0 21600 1 KGST
000000ffeb87b540 18000 0 KGT
00000102e0c577c0 21600 1 KGST
00000105a6b2cd00 21600 0 KGT
