=Asia/Choibalsan
8000000000000000 27480 0 LMT
fffffe26abbef440 25200 0 ULAT
0000003ac6559280 28800 0 ULAT
0000006151373400 36000 0 CHOST
00000064ff351b00 32400 0 CHOT
00000068add7cd80 36000 1 CHOST
0000006c56e64700 32400 0 CHOT
0000007000629d80 36000 1 CHOST
00000073a9711700 32400 0 CHOT
0000007752ed6d80 36000 1 CHOST
0000007afbfbe700 32400 0 CHOT
0000007ea5783d80 36000 1 CHOST
000000824e86b700 32400 0 CHOT
00000085f8030d80 36000 1 CHOST
00000089a1118700 32400 0 CHOT
0000008d4a8ddd80 36000 1 CHOST
00000090f39c5700 32400 0 CHOT
000000949d18ad80 36000 1 CHOST
000000986a33ab00 32400 0 CHOT
0000009c13b00180 36000 1 CHOST
0000009fbcbe7b00 32400 0 CHOT
000000a3663ad180 36000 1 CHOST
000000a70f494b00 32400 0 CHOT
000000aab8c5a180 36000 1 CHOST
000000ae61d41b00 32400 0 CHOT
000000b20b507180 36000 1 CHOST
000000b5b45eeb00 32400 0 CHOT
000000b95ddb4180 36000 1 CHOST
000000bd06e9bb00 32400 0 CHOT
000000c0d4729580 36000 1 CHOST
000000c47d810f00 32400 0 CHOT
000000c826fd6580 36000 1 CHOST
000000cbd00bdf00 32400 0 CHOT
000000cf79883580 36000 1 CHOST
000000d32296af00 32400 0 CHOT
000000e620aeba80 36000 1 CHOST
000000e9398b2400 32400 0 CHOT
000000ece3077a80 36000 1 CHOST
000000f08c15f400 32400 0 CHOT
000000f435924a80 36000 1 CHOST
000000f7dea0c400 32400 0 CHOT
000000fb881d1a80 36000 1 CHOST
000000ff312b9400 32400 0 CHOT
00000102daa7ea80 36000 1 CHOST
0000010683b66400 32400 0 CHOT
0000010a2d32ba80 36000 1 CHOST
0000010dfa4db800 32400 0 CHOT
