=Asia/Damascus
8000000000000000 8712 0 LMT
fffffe909bedccc0 7200 0 EET
fffffe92c8a18c00 10800 1 EEST
fffffe962996fd80 7200 0 EET
fffffe9a1b2c5c00 10800 1 EEST
fffffe9d7c21cd80 7200 0 EET
fffffea16db72c00 10800 1 EEST
fffffea4ceac9d80 7200 0 EET
fffffea8c041fc00 10800 1 EEST
fffffeac4543f180 7200 0 EET
ffffffc797d85000 10800 1 EEST
ffffffcab5db1580 7200 0 EET
ffffffcef9d63400 10800 1 EEST
ffffffd20865e580 7200 0 EET
ffffffd656adbc00 10800 1 EEST
ffffffd96a63c980 7200 0 EET
ffffffddae5ee800 10800 1 EEST
ffffffe0bcee9980 7200 0 EET
ffffffe4e2039000 10800 1 EEST
ffffffe819c62180 7200 0 EET
ffffffec5dc14000 10800 1 EEST
ffffffef71774d80 7200 0 EET
fffffff3ba98c800 10800 1 EEST
fffffff6ce4ed580 7200 0 EET
fffffffb1249f400 10800 1 EEST
fffffffe26000180 7200 0 EET
0000000269fb2000 10800 1 EEST
000000057db12d80 7200 0 EET
00000009c1ac4c00 10800 1 EEST
0000000cd5625980 7200 0 EET
000000111e83d400 10800 1 EEST
000000143239e180 7200 0 EET
0000001876350000 10800 1 EEST
0000001b89eb0d80 7200 0 EET
0000001fcde62c00 10800 1 EEST
00000022e19c3980 7200 0 EET
0000002725975800 10800 1 EEST
0000002a394d6580 7200 0 EET
0000002e826ee000 10800 1 EEST
000000319624ed80 7200 0 EET
00000035da200c00 10800 1 EEST
0000003853575180 7200 0 EET
0000003d31d13800 10800 1 EEST
0000003fab087d80 7200 0 EET
000000617c218800 10800 1 EEST
0000006501237d80 7200 0 EET
00000068d8f91000 10800 1 EEST
0000006c5dfb0580 7200 0 EET
000000767c90b800 10800 1 EEST
0000007b36903d80 7200 0 EET
0000007e17349000 10800 1 EEST
00000082ff8d5180 7200 0 EET
00000085bc252000 10800 1 EEST
0000008a5c64d980 7200 0 EET
0000008d663c0c00 10800 1 EEST
0000009119973d80 7200 0 EET
00000094c3139400 10800 1 EEST
000000986c220d80 7200 0 EET
0000009c1a56e300 10800 1 EEST
0000009fc88bb880 7200 0 EET
000000a39b3aef00 10800 1 EEST
000000a725634080 7200 0 EET
000000aaaff96f00 10800 1 EEST
000000ae5e2e4480 7200 0 EET
000000b22690c300 10800 1 EEST
000000b5d4c59880 7200 0 EET
000000b97e41ef00 10800 1 EEST
000000bd2c76c480 7200 0 EET
000000c0db197700 10800 1 EEST
000000c4894e4c80 7200 0 EET
000000c82da44700 10800 1 EEST
000000cbe0ff7880 7200 0 EET
000000cf802f1700 10800 1 EEST
000000d338b0a480 7200 0 EET
000000d6e22cfb00 10800 1 EEST
000000da9061d080 7200 0 EET
000000de3f048300 10800 1 EEST
000000e1ed395880 7200 0 EET
000000e596b5af00 10800 1 EEST
000000e944ea8480 7200 0 EET
000000ecee66db00 10800 1 EEST
000000f09c9bb080 7200 0 EET
000000f446180700 10800 1 EEST
000000f7f44cdc80 7200 0 EET
000000fba2ef8f00 10800 1 EEST
000000ff51246480 7200 0 EET
00000102faa0bb00 10800 1 EEST
00000106a8d59080 7200 0 EET
0000010a5251e700 10800 1 EEST
0000010dd22d8080 7200 0 EET
000001119fb65b00 10800 1 EEST
00000115fd036880 7200 0 EET
00000119164daf00 10800 1 EEST
0000011d54b49480 7200 0 EET
0000012044cbfb00 10800 1 EEST
00000124a2190880 7200 0 EET
00000127bb634f00 10800 1 EEST
0000012bf4a3d880 7200 0 EET
0000012f0dee1f00 10800 1 EEST
00000133472ea880 7200 0 EET
000001366078ef00 10800 1 EEST
0000013a99b97880 7200 0 EET
0000013db303bf00 10800 1 EEST
00000141ec444880 7200 0 EET
00000145058e8f00 10800 1 EEST
0000014962db9c80 7200 0 EET
0000014c58195f00 10800 1 EEST
00000150b5666c80 7200 0 EET
00000153aaa42f00 10800 1 EEST
0000015807f13c80 7200 0 EET
0000015b213b8300 10800 1 EEST
0000015f5a7c0c80 7200 0 EET
0000016273c65300 10800 1 EEST
00000166ad06dc80 7200 0 EET
00000169c6512300 10800 1 EEST
0000016dff91ac80 7200 0 EET
0000017118dbf300 10800 1 EEST
0000017576290080 7200 0 EET
000001786b66c300 10800 1 EEST
0000017cc8b3d080 7200 0 EET
0000017fbdf19300 10800 1 EEST
000001841b3ea080 7200 0 EET
000001873488e700 10800 1 EEST
0000018b6dc97080 7200 0 EET
0000018e8713b700 10800 1 EEST
00000192c0544080 7200 0 EET
00000195d99e8700 10800 1 EEST
0000019a36eb9480 7200 0 EET
0000019d2c295700 10800 1 EEST
000001a189766480 7200 0 EET
000001a47eb42700 10800 1 EEST
000001a8dc013480 7200 0 EET
000001abf54b7b00 10800 1 EEST
000001b02e8c0480 7200 0 EET
000001b347d64b00 10800 1 EEST
000001b78116d480 7200 0 EET
000001ba9a611b00 10800 1 EEST
000001bed3a1a480 7200 0 EET
000001c1ecebeb00 10800 1 EEST
000001c64a38f880 7200 0 EET
000001c93f76bb00 10800 1 EEST
000001cd9cc3c880 7200 0 EET
000001d092018b00 10800 1 EEST
000001d4ef4e9880 7200 0 EET
000001d80898df00 10800 1 EEST
000001dc41d96880 7200 0 EET
000001df5b23af00 10800 1 EEST
000001e394643880 7200 0 EET
000001e6adae7f00 10800 1 EEST
000001eb0afb8c80 7200 0 EET
000001ee00394f00 10800 1 EEST
000001f25d865c80 7200 0 EET
000001f552c41f00 10800 1 EEST
000001f9b0112c80 7200 0 EET
000001fca54eef00 10800 1 EEST
00000201029bfc80 7200 0 EET
000002041be64300 10800 1 EEST
000002085526cc80 7200 0 EET
0000020b6e711300 10800 1 EEST
0000020fa7b19c80 7200 0 EET
00000212c0fbe300 10800 1 EEST
000002171e48f080 7200 0 EET
0000021a1386b300 10800 1 EEST
0000021e70d3c080 7200 0 EET
0000022166118300 10800 1 EEST
00000225c35e9080 7200 0 EET
00000228dca8d700 10800 1 EEST
0000022d15e96080 7200 0 EET
000002302f33a700 10800 1 EEST
0000023468743080 7200 0 EET
0000023781be7700 10800 1 EEST
0000023bbaff0080 7200 0 EET
0000023ed4494700 10800 1 EEST
0000024331965480 7200 0 EET
0000024626d41700 10800 1 EEST
0000024a84212480 7200 0 EET
0000024d795ee700 10800 1 EEST
00000251d6abf480 7200 0 EET
00000254eff63b00 10800 1 EEST
000002592936c480 7200 0 EET
0000025c42810b00 10800 1 EEST
000002607bc19480 7200 0 EET
00000263950bdb00 10800 1 EEST
00000267f258e880 7200 0 EET
0000026ae796ab00 10800 1 EEST
0000026f44e3b880 7200 0 EET
000002723a217b00 10800 1 EEST
00000276976e8880 7200 0 EET
00000279b0b8cf00 10800 1 EEST
0000027de9f95880 7200 0 EET
0000028103439f00 10800 1 EEST
000002853c842880 7200 0 EET
0000028855ce6f00 10800 1 EEST
0000028c8f0ef880 7200 0 EET
0000028fa8593f00 10800 1 EEST
0000029405a64c80 7200 0 EET
00000296fae40f00 10800 1 EEST
0000029b58311c80 7200 0 EET
0000029e4d6edf00 10800 1 EEST
000002a2aabbec80 7200 0 EET
000002a5c4063300 10800 1 EEST
