=Asia/Dushanbe
8000000000000000 16512 0 LMT
fffffeb073a9ac00 18000 0 DUST
fffffedd885e5380 21600 0 DUST
00000052a242b900 25200 1 DUSST
0000005650778e80 21600 0 DUST
00000059f9f3e500 25200 1 DUSST
0000005da828ba80 21600 0 DUST
0000006151a51100 25200 1 DUSST
00000064ffd9e680 21600 0 DUST
00000068ae7c9900 25200 1 DUSST
0000006c582fde00 21600 0 DUST
0000007001754600 25200 1 DUSST
00000073aabaae00 21600 0 DUST
0000007754001600 25200 1 DUSST
0000007afd457e00 21600 0 DUST
0000007ea68ae600 25200 1 DUSST
000000824fd04e00 21600 0 DUST
00000085f915b600 25200 1 DUSST
00000089a25b1e00 21600 0 DUST
0000008d4ba08600 25200 1 DUSST
00000090f4e5ee00 21600 0 DUST
000000949e2b5600 25200 1 DUSST
000000986b7d4200 21600 0 DUST
0000009c14c2aa00 21600 1 DUSST
0000009f573fd080 18000 0 TJT
