=Asia/Gaza
8000000000000000 8272 0 LMT
fffffe032b6bbf80 7200 0 EET
ffffff269e62bb00 10800 1 EET
ffffff38617b2080 7200 0 EET
ffffff3b6bc03000 10800 1 EET
ffffff3fb92c4c80 7200 0 EET
ffffff42c829db00 10800 1 EET
ffffff471603d480 7200 0 EET
ffffff4a6d1a6b00 10800 1 EET
ffffff4e6e22dd80 7200 0 EET
ffffff51c5397400 10800 1 EET
ffffff55c5662c80 7200 0 EET
ffffff610eacb700 7200 0 EET
ffffffa314742f00 10800 1 EEST
ffffffa5f9d10080 7200 0 EET
ffffffaa3dcc1f00 10800 1 EEST
ffffffad51822c80 7200 0 EET
ffffffb195b43980 10800 1 EEST
ffffffb4a4b1c800 7200 0 EET
ffffffb8f28bc180 10800 1 EEST
ffffffbc01895000 7200 0 EET
ffffffc04a3ced80 10800 1 EEST
ffffffc3593a7c00 7200 0 EET
ffffffc7a1ee1980 10800 1 EEST
ffffffcab0eba800 7200 0 EET
ffffffcef99f4580 10800 1 EEST
ffffffd2089cd400 7200 0 EET
ffffffd65676cd80 10800 1 EEST
ffffffd965745c00 7200 0 EET
ffffffddae27f980 10800 1 EEST
ffffffe0bd258800 7200 0 EET
ffffffe505d92580 10800 1 EEST
ffffffe819fd1000 7200 0 EET
ffffffec5d8a5180 10800 1 EEST
ffffffed115b0880 10800 0 IST
00000021264b7480 10800 1 IDT
000000231efaac80 7200 0 IST
00000026ec838700 10800 1 IDT
00000029993a6480 7200 0 IST
0000007049fc2b00 10800 1 IDT
0000007362d89480 7200 0 IST
0000007850c58f00 10800 1 IDT
0000007a9156e080 7200 0 IST
0000007efe84df00 10800 1 IDT
0000008207ee3480 7200 0 IST
000000863c763f00 10800 1 IDT
0000008931462480 7200 0 IST
0000008e004cf700 10800 1 IDT
0000009088f75080 7200 0 IST
000000949e993300 10800 1 IDT
00000097b7759c80 7200 0 IST
0000009bf1240300 10800 1 IDT
0000009f2e0cf080 7200 0 IST
000000a367bb5700 10800 1 IDT
000000a6a4a44480 7200 0 IST
000000aad405f300 10800 1 IDT
000000adf72f1480 7200 0 IST
000000b22690c300 10800 1 IDT
000000b525ad6080 7200 0 IST
000000b9791b9300 10800 1 IDT
000000bc9c44b480 7200 0 IST
000000bf0676c300 7200 0 EET
000000c0efb2e700 10800 1 EEST
000000c450df4700 7200 0 EET
000000c8423db700 10800 1 EEST
000000cba36a1700 7200 0 EET
000000cf94c88700 10800 1 EEST
000000d2f5f4e700 7200 0 EET
000000d512b0a300 7200 0 EET
000000d72f6c5f00 10800 1 EEST
000000dad87ad880 7200 0 EET
000000dea603b300 10800 1 EEST
000000e24f122c80 7200 0 EET
000000e5f88e8300 10800 1 EEST
000000e9a19cfc80 7200 0 EET
000000ed4b195300 10800 1 EEST
000000f0f427cc80 7200 0 EET
000000f49da42300 10800 1 EEST
000000f846b29c80 7200 0 EET
000000fbf02ef300 10800 1 EEST
000000ff515b5300 7200 0 EET
0000010342b9c300 10800 1 EEST
00000106b8b68180 7200 0 EET
0000010a5251e700 10800 1 EEST
0000010dd22d8080 7200 0 EET
00000111aa031300 10800 1 EEST
00000114fbf34d80 7200 0 EET
0000011906da9b00 10800 1 EEST
0000011c0b1d9480 7200 0 EET
0000012044cbfb00 10800 1 EEST
000001238222c580 7200 0 EET
000001279c7e1160 10800 1 EEST
0000012a5dcd7480 7200 0 EET
0000012f15a89360 10800 1 EEST
0000013181ff0880 7200 0 EET
000001366078ef00 10800 1 EEST
00000139e5b1d300 7200 0 EET
