=Asia/Harbin
8000000000000000 30404 0 LMT
fffffecb6278e660 30600 0 CHAT
fffffee9fb5e84c0 28800 0 CST
ffffff238e528400 32400 0 CHAT
ffffffe50421b180 30600 0 CHAT
0000004be48700c0 28800 0 CST
000000780762f000 32400 1 CDT
0000007ab419cd80 28800 0 CST
0000007eedc83400 32400 1 CDT
0000008206a49d80 28800 0 CST
0000008640530400 32400 1 CDT
00000089592f6d80 28800 0 CST
0000008db6ea5800 32400 1 CDT
00000090cfc6c180 28800 0 CST
0000009509752800 32400 1 CDT
0000009822519180 28800 0 CST
0000009c5bfff800 32400 1 CDT
0000009f74dc6180 28800 0 CST
