=Asia/Hovd
8000000000000000 21996 0 LMT
fffffe26ac12a220 21600 0 HOVT
0000003ac68c8100 25200 0 HOVT
00000061516e2280 28800 1 HOVST
00000064ffa2f800 25200 0 HOVT
00000068ae45aa80 28800 1 HOVST
0000006c57542400 25200 0 HOVT
0000007000d07a80 28800 1 HOVST
00000073a9def400 25200 0 HOVT
00000077535b4a80 28800 1 HOVST
0000007afc69c400 25200 0 HOVT
0000007ea5e61a80 28800 1 HOVST
000000824ef49400 25200 0 HOVT
00000085f870ea80 28800 1 HOVST
00000089a17f6400 25200 0 HOVT
0000008d4afbba80 28800 1 HOVST
00000090f40a3400 25200 0 HOVT
000000949d868a80 28800 1 HOVST
000000986aa18800 25200 0 HOVT
0000009c141dde80 28800 1 HOVST
0000009fbd2c5800 25200 0 HOVT
000000a366a8ae80 28800 1 HOVST
000000a70fb72800 25200 0 HOVT
000000aab9337e80 28800 1 HOVST
000000ae6241f800 25200 0 HOVT
000000b20bbe4e80 28800 1 HOVST
000000b5b4ccc800 25200 0 HOVT
000000b95e491e80 28800 1 HOVST
000000bd07579800 25200 0 HOVT
000000c0d4e07280 28800 1 HOVST
000000c47deeec00 25200 0 HOVT
000000c8276b4280 28800 1 HOVST
000000cbd079bc00 25200 0 HOVT
000000cf79f61280 28800 1 HOVST
000000d323048c00 25200 0 HOVT
000000e6211c9780 28800 1 HOVST
000000e939f90100 25200 0 HOVT
000000ece3755780 28800 1 HOVST
000000f08c83d100 25200 0 HOVT
000000f436002780 28800 1 HOVST
000000f7df0ea100 25200 0 HOVT
000000fb888af780 28800 1 HOVST
000000ff31997100 25200 0 HOVT
00000102db15c780 28800 1 HOVST
0000010684244100 25200 0 HOVT
0000010a2da09780 28800 1 HOVST
0000010dfabb9500 25200 0 HOVT
