=Asia/Irkutsk
8000000000000000 25040 0 LMT
fffffd6ab8ec8b80 25040 0 IMT
fffffe91168d4780 25200 0 IRKT
fffffedd87f07680 28800 0 IRKMMTT
00000052a1d4dc00 32400 1 IRKST
000000565009b180 28800 0 IRKT
00000059f9860800 32400 1 IRKST
0000005da7badd80 28800 0 IRKT
0000006151373400 32400 1 IRKST
00000064ff6c0980 28800 0 IRKT
00000068ae0ebc00 32400 1 IRKST
0000006c57c20100 28800 0 IRKT
0000007001076900 32400 1 IRKST
00000073aa4cd100 28800 0 IRKT
0000007753923900 32400 1 IRKST
0000007afcd7a100 28800 0 IRKT
0000007ea61d0900 32400 1 IRKST
000000824f627100 28800 0 IRKT
00000085f8a7d900 32400 1 IRKST
00000089a1ed4100 28800 0 IRKT
0000008d4b32a900 32400 1 IRKST
00000090f4781100 28800 0 IRKT
000000949dbd7900 32400 1 IRKST
000000986b0f6500 28800 0 IRKT
0000009c1454cd00 25200 0 IRKMMTT
0000009c148bbb80 28800 1 IRKST
0000009fbdd12380 25200 0 IRKT
000000a1fe996380 28800 0 IRKMMTT
000000a3663ad180 32400 1 IRKST
000000a70f494b00 28800 0 IRKT
000000aab96a6d00 32400 1 IRKST
000000ae62afd500 28800 0 IRKT
000000b20bf53d00 32400 1 IRKST
000000b5b53aa500 28800 0 IRKT
000000b95e800d00 32400 1 IRKST
000000bd07c57500 28800 0 IRKT
000000c0d5176100 32400 1 IRKST
000000c50e8ed900 28800 0 IRKT
000000c827a23100 32400 1 IRKST
000000cc6119a900 28800 0 IRKT
000000cf7a2d0100 32400 1 IRKST
000000d3b3a47900 28800 0 IRKT
000000d6ccb7d100 32400 1 IRKST
000000db2a3bcd00 28800 0 IRKT
000000de1f42a100 32400 1 IRKST
000000e27cc69d00 28800 0 IRKT
000000e571cd7100 32400 1 IRKST
000000e9cf516d00 28800 0 IRKT
000000ece864c500 32400 1 IRKST
000000f121dc3d00 28800 0 IRKT
000000f43aef9500 32400 1 IRKST
000000f874670d00 28800 0 IRKT
000000fb8d7a6500 32400 1 IRKST
000000ffeafe6100 28800 0 IRKT
00000102e0053500 32400 1 IRKST
000001073d893100 28800 0 IRKT
0000010a32900500 32400 1 IRKST
0000010e90140100 28800 0 IRKT
00000111851ad500 32400 1 IRKST
00000115e29ed100 28800 0 IRKT
00000118fbb22900 32400 1 IRKST
0000011d3529a100 28800 0 IRKT
000001204e3cf900 32400 1 IRKST
0000012487b47100 28800 0 IRKT
00000127a0c7c900 32400 1 IRKST
0000012bfe4bc500 28800 0 IRKT
0000012ef3529900 32400 0 IRKT
