=Asia/Jerusalem
8000000000000000 8456 0 LMT
fffffd6ab9e998c0 8440 0 JMT
fffffe81ec8f9b40 7200 0 IST
ffffff269e62bb00 10800 1 IDT
ffffff38617b2080 7200 0 IST
ffffff3b6bc03000 10800 1 IDT
ffffff3fb92c4c80 7200 0 IST
ffffff42c829db00 10800 1 IDT
ffffff471603d480 7200 0 IST
ffffff4a6d1a6b00 10800 1 IDT
ffffff4e6e22dd80 7200 0 IST
ffffff51c5397400 10800 1 IDT
ffffff55c5662c80 7200 0 IST
ffffff6137df9700 14400 1 IDDT
ffffff633f940600 10800 1 IDT
ffffff647a5cbd80 7200 0 IST
ffffff681e44db00 10800 1 IDT
ffffff6bd20de980 7200 0 IST
ffffff6f28b6a300 10800 1 IDT
ffffff7237eb2000 7200 0 IST
ffffff7633286b00 10800 1 IDT
ffffff7ab526c800 7200 0 IST
ffffff7df246a400 10800 1 IDT
ffffff819b8c0c00 7200 0 IST
ffffff8520c4f000 10800 1 IDT
ffffff8839d84800 7200 0 IST
ffffff8db7528700 10800 1 IDT
ffffff8f8bbe4c80 7200 0 IST
ffffff950524d800 10800 1 IDT
ffffff96de491c80 7200 0 IST
ffffff9c385ba300 10800 1 IDT
ffffff9e9d9e4400 7200 0 IST
ffffffa2dc3c1800 10800 1 IDT
ffffffa5cb77c480 7200 0 IST
0000002126826300 10800 1 IDT
000000231efaac80 7200 0 IST
00000026ec838700 10800 1 IDT
00000029993a6480 7200 0 IST
0000007049fc2b00 10800 1 IDT
0000007362d89480 7200 0 IST
0000007850c58f00 10800 1 IDT
0000007a9156e080 7200 0 IST
0000007efe84df00 10800 1 IDT
0000008207ee3480 7200 0 IST
000000863c763f00 10800 1 IDT
0000008931462480 7200 0 IST
0000008e004cf700 10800 1 IDT
0000009088f75080 7200 0 IST
000000949e993300 10800 1 IDT
00000097b7759c80 7200 0 IST
0000009bf1240300 10800 1 IDT
0000009f2e0cf080 7200 0 IST
000000a367bb5700 10800 1 IDT
000000a6a4a44480 7200 0 IST
000000aad405f300 10800 1 IDT
000000adf72f1480 7200 0 IST
000000b22690c300 10800 1 IDT
