=Asia/Kamchatka
8000000000000000 38076 0 LMT
fffffea59a9ceda0 39600 0 PETT
fffffedd8714bc80 43200 0 PETMMTT
00000052a0f92200 46800 1 PETST
000000564f2df780 43200 0 PETT
00000059f8aa4e00 46800 1 PETST
0000005da6df2380 43200 0 PETT
00000061505b7a00 46800 1 PETST
00000064fe904f80 43200 0 PETT
00000068ad330200 46800 1 PETST
0000006c56e64700 43200 0 PETT
00000070002baf00 46800 1 PETST
00000073a9711700 43200 0 PETT
0000007752b67f00 46800 1 PETST
0000007afbfbe700 43200 0 PETT
0000007ea5414f00 46800 1 PETST
000000824e86b700 43200 0 PETT
00000085f7cc1f00 46800 1 PETST
00000089a1118700 43200 0 PETT
0000008d4a56ef00 46800 1 PETST
00000090f39c5700 43200 0 PETT
000000949ce1bf00 46800 1 PETST
000000986a33ab00 43200 0 PETT
0000009c13791300 39600 0 PETMMTT
0000009c13b00180 43200 1 PETST
0000009fbcf56980 39600 0 PETT
000000a1fdbda980 43200 0 PETMMTT
000000a3655f1780 46800 1 PETST
000000a70e6d9100 43200 0 PETT
000000aab88eb300 46800 1 PETST
000000ae61d41b00 43200 0 PETT
000000b20b198300 46800 1 PETST
000000b5b45eeb00 43200 0 PETT
000000b95da45300 46800 1 PETST
000000bd06e9bb00 43200 0 PETT
000000c0d43ba700 46800 1 PETST
000000c50db31f00 43200 0 PETT
000000c826c67700 46800 1 PETST
000000cc603def00 43200 0 PETT
000000cf79514700 46800 1 PETST
000000d3b2c8bf00 43200 0 PETT
000000d6cbdc1700 46800 1 PETST
000000db29601300 43200 0 PETT
000000de1e66e700 46800 1 PETST
000000e27beae300 43200 0 PETT
000000e570f1b700 46800 1 PETST
000000e9ce75b300 43200 0 PETT
000000ece7890b00 46800 1 PETST
000000f121008300 43200 0 PETT
000000f43a13db00 46800 1 PETST
000000f8738b5300 43200 0 PETT
000000fb8c9eab00 46800 1 PETST
000000ffea22a700 43200 0 PETT
00000102df297b00 46800 1 PETST
000001073cad7700 43200 0 PETT
0000010a31b44b00 46800 1 PETST
0000010e8f384700 43200 0 PETT
00000111843f1b00 46800 1 PETST
00000115e1c31700 43200 0 PETT
00000118fad66f00 46800 1 PETST
0000011d344de700 43200 0 PETT
000001204d613f00 46800 1 PETST
0000012486d8b700 43200 0 PETT
000001279fec0f00 39600 0 PETMMTT
00000127a022fd80 43200 1 PETST
0000012bfda6f980 39600 0 PETT
0000012ef2adcd80 43200 0 PETT
