=Asia/Krasnoyarsk
8000000000000000 22280 0 LMT
fffffe90b4de90c0 21600 0 KRAT
fffffedd88276500 25200 0 KRAMMTT
00000052a20bca80 28800 1 KRAST
000000565040a000 25200 0 KRAT
00000059f9bcf680 28800 1 KRAST
0000005da7f1cc00 25200 0 KRAT
00000061516e2280 28800 1 KRAST
00000064ffa2f800 25200 0 KRAT
00000068ae45aa80 28800 1 KRAST
0000006c57f8ef80 25200 0 KRAT
00000070013e5780 28800 1 KRAST
00000073aa83bf80 25200 0 KRAT
0000007753c92780 28800 1 KRAST
0000007afd0e8f80 25200 0 KRAT
0000007ea653f780 28800 1 KRAST
000000824f995f80 25200 0 KRAT
00000085f8dec780 28800 1 KRAST
00000089a2242f80 25200 0 KRAT
0000008d4b699780 28800 1 KRAST
00000090f4aeff80 25200 0 KRAT
000000949df46780 28800 1 KRAST
000000986b465380 25200 0 KRAT
0000009c148bbb80 21600 0 KRAMMTT
0000009c14c2aa00 25200 1 KRAST
0000009fbe081200 21600 0 KRAT
000000a1fed05200 25200 0 KRAMMTT
000000a36671c000 28800 1 KRAST
000000a70f803980 25200 0 KRAT
000000aab9a15b80 28800 1 KRAST
000000ae62e6c380 25200 0 KRAT
000000b20c2c2b80 28800 1 KRAST
000000b5b5719380 25200 0 KRAT
000000b95eb6fb80 28800 1 KRAST
000000bd07fc6380 25200 0 KRAT
000000c0d54e4f80 28800 1 KRAST
000000c50ec5c780 25200 0 KRAT
000000c827d91f80 28800 1 KRAST
000000cc61509780 25200 0 KRAT
000000cf7a63ef80 28800 1 KRAST
000000d3b3db6780 25200 0 KRAT
000000d6cceebf80 28800 1 KRAST
000000db2a72bb80 25200 0 KRAT
000000de1f798f80 28800 1 KRAST
000000e27cfd8b80 25200 0 KRAT
000000e572045f80 28800 1 KRAST
000000e9cf885b80 25200 0 KRAT
000000ece89bb380 28800 1 KRAST
000000f122132b80 25200 0 KRAT
000000f43b268380 28800 1 KRAST
000000f8749dfb80 25200 0 KRAT
000000fb8db15380 28800 1 KRAST
000000ffeb354f80 25200 0 KRAT
00000102e03c2380 28800 1 KRAST
000001073dc01f80 25200 0 KRAT
0000010a32c6f380 28800 1 KRAST
0000010e904aef80 25200 0 KRAT
000001118551c380 28800 1 KRAST
00000115e2d5bf80 25200 0 KRAT
00000118fbe91780 28800 1 KRAST
0000011d35608f80 25200 0 KRAT
000001204e73e780 28800 1 KRAST
0000012487eb5f80 25200 0 KRAT
00000127a0feb780 28800 1 KRAST
0000012bfe82b380 25200 0 KRAT
0000012ef3898780 28800 0 KRAT
