=Asia/Kuching
8000000000000000 26480 0 LMT
fffffebde329a280 27000 0 BORT
fffffef0236f6b40 28800 0 BORT
ffffff03f9124c00 30000 1 BORTST
ffffff05cda2b080 28800 0 BORT
ffffff0b55e9d400 30000 1 BORTST
ffffff0d2a7a3880 28800 0 BORT
ffffff12ad9b0000 30000 1 BORTST
ffffff14822b6480 28800 0 BORT
ffffff1a054c2c00 30000 1 BORTST
ffffff1bd9dc9080 28800 0 BORT
ffffff215cfd5800 30000 1 BORTST
ffffff23318dbc80 28800 0 BORT
ffffff28b9d4e000 30000 1 BORTST
ffffff2a8e654480 28800 0 BORT
ffffff3011860c00 30000 1 BORTST
ffffff31e6167080 28800 0 BORT
ffffff332fbfc000 32400 0 JST
ffffff4d6aed7180 28800 0 BORT
000000582a09b000 28800 0 MYT
