=Asia/Macau
8000000000000000 27260 0 LMT
fffffe55d2fcafa0 28800 0 MOT
ffffffbf6c0b36c0 32400 1 MOST
ffffffc411714c40 28800 0 MOT
ffffffc6be9606c0 32400 1 MOST
ffffffcb63fc1c40 28800 0 MOT
ffffffce10609400 32400 1 MOST
ffffffd2b686ec40 28800 0 MOT
ffffffd587b82ac0 32400 1 MOST
ffffffda0911bc40 28800 0 MOT
ffffffdcd982b800 32400 1 MOST
ffffffe15adc4980 28800 0 MOT
ffffffe4bcffdac0 32400 1 MOST
ffffffe8660e5440 28800 0 MOT
ffffffec0f8aaac0 32400 1 MOST
ffffffefdca5a840 28800 0 MOT
fffffff38621fec0 32400 1 MOST
fffffff72f307840 28800 0 MOT
fffffffad8accec0 32400 1 MOST
fffffffe81bb4840 28800 0 MOT
000000022b379ec0 32400 1 MOST
00000005d4461840 28800 0 MOT
000000097dc26ec0 32400 1 MOST
0000000d26d0e840 28800 0 MOT
00000010cf8cfc00 32400 1 MOST
00000014789b7580 28800 0 MOT
000000182217cc00 32400 1 MOST
0000001bef32c980 28800 0 MOT
0000001f98af2000 32400 1 MOST
00000023427ddc40 28800 0 MOT
00000026ebfa32c0 32400 1 MOST
0000002a9508ac40 28800 0 MOT
0000002e3e8502c0 32400 1 MOST
00000031e7937c40 28800 0 MOT
00000035910fd2c0 32400 1 MOST
000000393a1e4c40 28800 0 MOT
0000003ce2da6000 32400 1 MOST
000000408be8d980 28800 0 MOT
0000004435653000 32400 1 MOST
0000004802802d80 28800 0 MOT
0000004babfc8400 32400 1 MOST
0000004f550afd80 28800 0 MOT
