=Asia/Magadan
8000000000000000 36192 0 LMT
fffffeb0727d6100 36000 0 MAGT
fffffedd874bab00 39600 0 MAGMMTT
00000052a1301080 43200 1 MAGST
000000564f64e600 39600 0 MAGT
00000059f8e13c80 43200 1 MAGST
0000005da7161200 39600 0 MAGT
0000006150926880 43200 1 MAGST
00000064fec73e00 39600 0 MAGT
00000068ad69f080 43200 1 MAGST
0000006c571d3580 39600 0 MAGT
0000007000629d80 43200 1 MAGST
00000073a9a80580 39600 0 MAGT
0000007752ed6d80 43200 1 MAGST
0000007afc32d580 39600 0 MAGT
0000007ea5783d80 43200 1 MAGST
000000824ebda580 39600 0 MAGT
00000085f8030d80 43200 1 MAGST
00000089a1487580 39600 0 MAGT
0000008d4a8ddd80 43200 1 MAGST
00000090f3d34580 39600 0 MAGT
000000949d18ad80 43200 1 MAGST
000000986a6a9980 39600 0 MAGT
0000009c13b00180 36000 0 MAGMMTT
0000009c13e6f000 39600 1 MAGST
0000009fbd2c5800 36000 0 MAGT
000000a1fdf49800 39600 0 MAGMMTT
000000a365960600 43200 1 MAGST
000000a70ea47f80 39600 0 MAGT
000000aab8c5a180 43200 1 MAGST
000000ae620b0980 39600 0 MAGT
000000b20b507180 43200 1 MAGST
000000b5b495d980 39600 0 MAGT
000000b95ddb4180 43200 1 MAGST
000000bd0720a980 39600 0 MAGT
000000c0d4729580 43200 1 MAGST
000000c50dea0d80 39600 0 MAGT
000000c826fd6580 43200 1 MAGST
000000cc6074dd80 39600 0 MAGT
000000cf79883580 43200 1 MAGST
000000d3b2ffad80 39600 0 MAGT
000000d6cc130580 43200 1 MAGST
000000db29970180 39600 0 MAGT
000000de1e9dd580 43200 1 MAGST
000000e27c21d180 39600 0 MAGT
000000e57128a580 43200 1 MAGST
000000e9ceaca180 39600 0 MAGT
000000ece7bff980 43200 1 MAGST
000000f121377180 39600 0 MAGT
000000f43a4ac980 43200 1 MAGST
000000f873c24180 39600 0 MAGT
000000fb8cd59980 43200 1 MAGST
000000ffea599580 39600 0 MAGT
00000102df606980 43200 1 MAGST
000001073ce46580 39600 0 MAGT
0000010a31eb3980 43200 1 MAGST
0000010e8f6f3580 39600 0 MAGT
0000011184760980 43200 1 MAGST
00000115e1fa0580 39600 0 MAGT
00000118fb0d5d80 43200 1 MAGST
0000011d3484d580 39600 0 MAGT
000001204d982d80 43200 1 MAGST
00000124870fa580 39600 0 MAGT
00000127a022fd80 43200 1 MAGST
0000012bfda6f980 39600 0 MAGT
0000012ef2adcd80 43200 0 MAGT
