=Asia/Novosibirsk
8000000000000000 19900 0 LMT
fffffe903fda34a0 21600 0 NOVT
fffffedd88276500 25200 0 NOVMMTT
00000052a20bca80 28800 1 NOVST
000000565040a000 25200 0 NOVT
00000059f9bcf680 28800 1 NOVST
0000005da7f1cc00 25200 0 NOVT
00000061516e2280 28800 1 NOVST
00000064ffa2f800 25200 0 NOVT
00000068ae45aa80 28800 1 NOVST
0000006c57f8ef80 25200 0 NOVT
00000070013e5780 28800 1 NOVST
00000073aa83bf80 25200 0 NOVT
0000007753c92780 28800 1 NOVST
0000007afd0e8f80 25200 0 NOVT
0000007ea653f780 28800 1 NOVST
000000824f995f80 25200 0 NOVT
00000085f8dec780 28800 1 NOVST
00000089a2242f80 25200 0 NOVT
0000008d4b699780 28800 1 NOVST
00000090f4aeff80 25200 0 NOVT
000000949df46780 28800 1 NOVST
000000986b465380 25200 0 NOVT
0000009c148bbb80 21600 0 NOVMMTT
0000009c14c2aa00 25200 1 NOVST
0000009fbe081200 21600 0 NOVT
000000a1fed05200 25200 0 NOVMMTT
000000a36671c000 28800 1 NOVST
000000a70f803980 25200 0 NOVT
000000aab9a15b80 28800 1 NOVST
000000abd9979e80 25200 0 NOVST
000000ae631db200 21600 0 NOVT
000000b20c631a00 25200 1 NOVST
000000b5b5a88200 21600 0 NOVT
000000b95eedea00 25200 1 NOVST
000000bd08335200 21600 0 NOVT
000000c0d5853e00 25200 1 NOVST
000000c50efcb600 21600 0 NOVT
000000c828100e00 25200 1 NOVST
000000cc61878600 21600 0 NOVT
000000cf7a9ade00 25200 1 NOVST
000000d3b4125600 21600 0 NOVT
000000d6cd25ae00 25200 1 NOVST
000000db2aa9aa00 21600 0 NOVT
000000de1fb07e00 25200 1 NOVST
000000e27d347a00 21600 0 NOVT
000000e5723b4e00 25200 1 NOVST
000000e9cfbf4a00 21600 0 NOVT
000000ece8d2a200 25200 1 NOVST
000000f1224a1a00 21600 0 NOVT
000000f43b5d7200 25200 1 NOVST
000000f874d4ea00 21600 0 NOVT
000000fb8de84200 25200 1 NOVST
000000ffeb6c3e00 21600 0 NOVT
00000102e0731200 25200 1 NOVST
000001073df70e00 21600 0 NOVT
0000010a32fde200 25200 1 NOVST
0000010e9081de00 21600 0 NOVT
000001118588b200 25200 1 NOVST
00000115e30cae00 21600 0 NOVT
00000118fc200600 25200 1 NOVST
0000011d35977e00 21600 0 NOVT
000001204eaad600 25200 1 NOVST
0000012488224e00 21600 0 NOVT
00000127a135a600 25200 1 NOVST
0000012bfeb9a200 21600 0 NOVT
0000012ef3c07600 25200 0 NOVT
